,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.90625,0.8571428571428571
1,acronym_identification,acronym_identification_32_13,0.875,0.8640776699029126
2,acronym_identification,acronym_identification_32_21,0.875,0.8585298196948682
3,acronym_identification,acronym_identification_32_42,0.96875,0.8682385575589459
4,acronym_identification,acronym_identification_32_87,0.90625,0.8446601941747572
5,acronym_identification,mean,0.90625,0.8585298196948681
6,acronym_identification,std,0.03423265984407288,0.007991600716165287
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2240802675585284
9,ai2_arc,ai2_arc_32_13,0.375,0.2541806020066889
10,ai2_arc,ai2_arc_32_21,0.375,0.2742474916387959
11,ai2_arc,ai2_arc_32_42,0.40625,0.2307692307692307
12,ai2_arc,ai2_arc_32_87,0.4375,0.2541806020066889
13,ai2_arc,mean,0.38125,0.24749163879598654
14,ai2_arc,std,0.0414578098794425,0.018072583392784336
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.84375,0.74
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.875,0.775
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.8125,0.71
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,1.0,0.98
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.75,0.69
21,blimp-anaphor_gender_agreement,mean,0.85625,0.779
22,blimp-anaphor_gender_agreement,std,0.082915619758885,0.10451794104363137
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.75,0.74
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.71875,0.605
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,0.63
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,0.995
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.90625,0.785
29,blimp-ellipsis_n_bar_1,mean,0.875,0.7510000000000001
30,blimp-ellipsis_n_bar_1,std,0.12022115038544591,0.13911865439257237
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0354381443298969
33,break-QDMR,break-QDMR_32_13,0.03125,0.0146907216494845
34,break-QDMR,break-QDMR_32_21,0.0625,0.0373711340206185
35,break-QDMR,break-QDMR_32_42,0.09375,0.0342783505154639
36,break-QDMR,break-QDMR_32_87,0.0625,0.0212628865979381
37,break-QDMR,mean,0.075,0.028608247422680377
38,break-QDMR,std,0.03186887195995491,0.008980396334990487
39,,,,
40,common_gen,common_gen_32_100,0.4317688060609448,0.4637586784864925
41,common_gen,common_gen_32_13,0.4230992130724047,0.4139186488535938
42,common_gen,common_gen_32_21,0.5045339924729731,0.4652599840732923
43,common_gen,common_gen_32_42,0.4789239446207315,0.405124237912171
44,common_gen,common_gen_32_87,0.4759188509745242,0.438416632451125
45,common_gen,mean,0.4628489614403157,0.43729563635533497
46,common_gen,std,0.03070142492653641,0.024758983811208383
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.5985663082437276
49,crawl_domain,crawl_domain_32_13,0.625,0.5965181771633384
50,crawl_domain,crawl_domain_32_21,0.65625,0.5934459805427548
51,crawl_domain,crawl_domain_32_42,0.71875,0.6001024065540195
52,crawl_domain,crawl_domain_32_87,0.75,0.611879160266257
53,crawl_domain,mean,0.7125,0.6001024065540195
54,crawl_domain,std,0.0667317390751957,0.006296129502893741
55,,,,
56,multi_news,multi_news_32_100,0.2610485733489582,0.2471960877010689
57,multi_news,multi_news_32_13,0.279718455554295,0.2424106881868176
58,multi_news,multi_news_32_21,0.259304025481705,0.249856770870047
59,multi_news,multi_news_32_42,0.2670927837050469,0.2493873858752843
60,multi_news,multi_news_32_87,0.2713004753526418,0.2528315700249163
61,multi_news,mean,0.2676928626885294,0.24833650053162684
62,multi_news,std,0.007382533687080259,0.003465170270762766
63,,,,
64,quail,quail_32_100,0.4375,0.27
65,quail,quail_32_13,0.4375,0.331
66,quail,quail_32_21,0.34375,0.272
67,quail,quail_32_42,0.53125,0.316
68,quail,quail_32_87,0.65625,0.309
69,quail,mean,0.48125,0.2996
70,quail,std,0.10569709078304852,0.02441802612825205
71,,,,
72,quoref,quoref_32_100,0.5714285714285714,0.3366352469330136
73,quoref,quoref_32_13,0.5177083333333332,0.3762042616881326
74,quoref,quoref_32_21,0.4416666666666666,0.3398728660825434
75,quoref,quoref_32_42,0.4999999999999999,0.3881316711961872
76,quoref,quoref_32_87,0.5208333333333333,0.4066956788730982
77,quoref,mean,0.510327380952381,0.36950794495459494
78,quoref,std,0.041759208456694986,0.027325678640728462
79,,,,
80,samsum,samsum_32_100,0.4236594048937945,0.3793310975956383
81,samsum,samsum_32_13,0.4462505746779502,0.3555564785229319
82,samsum,samsum_32_21,0.3983202863059575,0.3766587043973293
83,samsum,samsum_32_42,0.3723093972030195,0.372632100400418
84,samsum,samsum_32_87,0.4278627362805252,0.3830898028912605
85,samsum,mean,0.4136804798722493,0.37345363676151566
86,samsum,std,0.025725584326449218,0.009577639553630534
87,,,,
88,search_qa,search_qa_32_100,0.0625,0.017
89,search_qa,search_qa_32_13,0.0625,0.017
90,search_qa,search_qa_32_21,0.125,0.019
91,search_qa,search_qa_32_42,0.0625,0.01
92,search_qa,search_qa_32_87,0.09375,0.01
93,search_qa,mean,0.08125,0.014599999999999998
94,search_qa,std,0.025,0.0038262252939417984
95,,,,
96,squad-with_context,squad-with_context_32_100,0.83125,0.708182683982684
97,squad-with_context,squad-with_context_32_13,0.699262360446571,0.6534291613615143
98,squad-with_context,mean,0.7652561802232856,0.6808059226720992
99,squad-with_context,std,0.06599381977671454,0.027376761310584863
100,,,,
101,superglue-copa,superglue-copa_32_100,0.65625,0.46
102,superglue-copa,superglue-copa_32_13,0.71875,0.55
103,superglue-copa,superglue-copa_32_21,0.6875,0.54
104,superglue-copa,superglue-copa_32_42,0.65625,0.5
105,superglue-copa,superglue-copa_32_87,0.75,0.48
106,superglue-copa,mean,0.69375,0.506
107,superglue-copa,std,0.03644344934278313,0.03440930106817053
108,,,,
109,wiki_split,wiki_split_32_100,0.8831335199840911,0.8759228774739709
110,wiki_split,wiki_split_32_13,0.8851824939236896,0.8875611802903633
111,wiki_split,wiki_split_32_21,0.8959636248865186,0.8741763631142625
112,wiki_split,wiki_split_32_42,0.911159881096246,0.8875456076997914
113,wiki_split,wiki_split_32_87,0.8806850308457694,0.8860424622488315
114,wiki_split,mean,0.8912249101472629,0.8822496981654441
115,wiki_split,std,0.011251034871499295,0.0059304461630176174
116,,,,
