,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.9375,0.840499306518724
1,acronym_identification,acronym_identification_32_13,0.75,0.8515950069348127
2,acronym_identification,acronym_identification_32_21,0.90625,0.8460471567267683
3,acronym_identification,acronym_identification_32_42,0.96875,0.8613037447988904
4,acronym_identification,acronym_identification_32_87,0.875,0.8474341192787794
5,acronym_identification,mean,0.8875,0.8493758668515949
6,acronym_identification,std,0.07551903733496608,0.006940358392896975
7,,,,
8,ai2_arc,ai2_arc_32_100,0.34375,0.2207357859531772
9,ai2_arc,ai2_arc_32_13,0.375,0.2408026755852843
10,ai2_arc,ai2_arc_32_21,0.40625,0.2274247491638795
11,ai2_arc,ai2_arc_32_42,0.4375,0.1806020066889632
12,ai2_arc,ai2_arc_32_87,0.375,0.2474916387959866
13,ai2_arc,mean,0.3875,0.22341137123745813
14,ai2_arc,std,0.0318688719599549,0.02340181362479719
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.90625,0.845
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.875,0.745
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.8125,0.74
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,1.0,0.975
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.625,0.6
21,blimp-anaphor_gender_agreement,mean,0.84375,0.781
22,blimp-anaphor_gender_agreement,std,0.125,0.12447489706764171
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.71875,0.665
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.65625,0.545
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,1.0
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,0.995
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.75,0.61
29,blimp-ellipsis_n_bar_1,mean,0.825,0.763
30,blimp-ellipsis_n_bar_1,std,0.14604151806934904,0.19520758181996925
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0367268041237113
33,break-QDMR,break-QDMR_32_13,0.0625,0.0243556701030927
34,break-QDMR,break-QDMR_32_21,0.0625,0.0318298969072164
35,break-QDMR,break-QDMR_32_42,0.09375,0.0320876288659793
36,break-QDMR,break-QDMR_32_87,0.09375,0.0216494845360824
37,break-QDMR,mean,0.0875,0.029329896907216418
38,break-QDMR,std,0.023385358667337132,0.005519075799721317
39,,,,
40,common_gen,common_gen_32_100,0.441562092396375,0.416505880259524
41,common_gen,common_gen_32_13,0.3937171760014928,0.3808488719219162
42,common_gen,common_gen_32_21,0.4734032037885255,0.4486154944331245
43,common_gen,common_gen_32_42,0.4742958393079516,0.4136080104313377
44,common_gen,common_gen_32_87,0.4680571026072739,0.4085029474630655
45,common_gen,mean,0.45020708282032373,0.41361624090179355
46,common_gen,std,0.03066854041299182,0.021601592861466203
47,,,,
48,crawl_domain,crawl_domain_32_100,0.78125,0.601126472094214
49,crawl_domain,crawl_domain_32_13,0.625,0.579621095750128
50,crawl_domain,crawl_domain_32_21,0.6875,0.5791090629800307
51,crawl_domain,crawl_domain_32_42,0.75,0.6067588325652842
52,crawl_domain,crawl_domain_32_87,0.75,0.6026625704045059
53,crawl_domain,mean,0.71875,0.5938556067588325
54,crawl_domain,std,0.05590169943749474,0.011975000498294707
55,,,,
56,multi_news,multi_news_32_100,0.2529041154777676,0.2450323708257946
57,multi_news,multi_news_32_13,0.2718877493136052,0.2321316398916352
58,multi_news,multi_news_32_21,0.2554481148048077,0.2477337159846628
59,multi_news,multi_news_32_42,0.2692355817869992,0.2500937321016613
60,multi_news,multi_news_32_87,0.2691029910684015,0.2505408953667265
61,multi_news,mean,0.2637157104903162,0.24510647083409606
