,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.84375,0.8446601941747572
1,acronym_identification,acronym_identification_32_13,0.78125,0.8335644937586685
2,acronym_identification,acronym_identification_32_21,0.84375,0.7905686546463245
3,acronym_identification,acronym_identification_32_42,0.90625,0.841886269070735
4,acronym_identification,acronym_identification_32_87,0.84375,0.8280166435506241
5,acronym_identification,mean,0.84375,0.827739251040222
6,acronym_identification,std,0.03952847075210474,0.019504461393893967
7,,,,
8,ai2_arc,ai2_arc_32_100,0.34375,0.197324414715719
9,ai2_arc,ai2_arc_32_13,0.46875,0.2575250836120401
10,ai2_arc,ai2_arc_32_21,0.4375,0.2541806020066889
11,ai2_arc,ai2_arc_32_42,0.375,0.2140468227424749
12,ai2_arc,ai2_arc_32_87,0.375,0.2240802675585284
13,ai2_arc,mean,0.4,0.22943143812709024
14,ai2_arc,std,0.045927932677184584,0.0232291041527563
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.8125,0.715
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.78125,0.485
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.75,0.74
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.84375,0.54
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.635
21,blimp-anaphor_gender_agreement,mean,0.775,0.623
22,blimp-anaphor_gender_agreement,std,0.053764532919016415,0.09821405194777373
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.75,0.495
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.78125,0.56
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,0.71875,0.54
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.59375,0.395
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.71875,0.465
29,blimp-ellipsis_n_bar_1,mean,0.7125,0.491
30,blimp-ellipsis_n_bar_1,std,0.06373774391990981,0.05842944463196618
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0404639175257732
33,break-QDMR,break-QDMR_32_13,0.03125,0.0362113402061855
34,break-QDMR,break-QDMR_32_21,0.0625,0.0329896907216494
35,break-QDMR,break-QDMR_32_42,0.09375,0.0386597938144329
36,break-QDMR,break-QDMR_32_87,0.09375,0.0177835051546391
37,break-QDMR,mean,0.08125,0.03322164948453603
38,break-QDMR,std,0.03186887195995491,0.00811606081745868
39,,,,
40,common_gen,common_gen_32_100,0.4368931225671578,0.404778411189843
41,common_gen,common_gen_32_13,0.3713700924680339,0.4126060255605062
42,common_gen,common_gen_32_21,0.4513029549015033,0.4311313256387075
43,common_gen,common_gen_32_42,0.464137774996482,0.3731864856177067
44,common_gen,common_gen_32_87,0.4701506281715203,0.4258154441777633
45,common_gen,mean,0.4387709146209395,0.40950353843690535
46,common_gen,std,0.035585426768010825,0.02041920677925848
47,,,,
48,crawl_domain,crawl_domain_32_100,0.78125,0.5847414234511009
49,crawl_domain,crawl_domain_32_13,0.5625,0.5944700460829493
50,crawl_domain,crawl_domain_32_21,0.65625,0.6062467997951869
51,crawl_domain,crawl_domain_32_42,0.75,0.6257040450588838
52,crawl_domain,crawl_domain_32_87,0.75,0.593958013312852
53,crawl_domain,mean,0.7,0.6010240655401946
54,crawl_domain,std,0.08052561704203204,0.014102390156765593
55,,,,
56,multi_news,multi_news_32_100,0.250757317972048,0.2276481675483783
57,multi_news,multi_news_32_13,0.2709607862847486,0.2401081581132774
58,multi_news,multi_news_32_21,0.2541555296231682,0.2433655720004858
59,multi_news,multi_news_32_42,0.2700758378551129,0.2398988618240473
60,multi_news,multi_news_32_87,0.2679489577543328,0.2429323292035863
61,multi_news,mean,0.2627796858978821,0.238790617737955
62,multi_news,std,0.008553350342920561,0.005748083057697611
63,,,,
64,quail,quail_32_100,0.28125,0.243
65,quail,quail_32_13,0.34375,0.305
66,quail,quail_32_21,0.34375,0.239
67,quail,quail_32_42,0.4375,0.265
68,quail,quail_32_87,0.5,0.299
69,quail,mean,0.38125,0.2702
70,quail,std,0.07756046028744285,0.027498363587675538
71,,,,
72,quoref,quoref_32_100,0.486111111111111,0.2984115048631177
