,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4311051693404634,0.0365756944564277
1,anli,anli_16_13,0.4421197668256492,0.2569280580655506
2,anli,anli_16_21,0.4358506780691274,0.0469379468426165
3,anli,anli_16_42,0.3611793611793611,0.1573585425818193
4,anli,anli_16_87,0.3771790485500163,0.157602579788468
5,anli,mean,0.4094868047929235,0.1310805643469764
6,anli,std,0.033480495613989955,0.08153856956306103
7,,,,
8,glue-mnli,glue-mnli_16_100,0.5,0.277
9,glue-mnli,glue-mnli_16_13,0.4791666666666667,0.336
10,glue-mnli,glue-mnli_16_21,0.6458333333333334,0.334
11,glue-mnli,glue-mnli_16_42,0.3958333333333333,0.331
12,glue-mnli,glue-mnli_16_87,0.3958333333333333,0.303
13,glue-mnli,mean,0.4833333333333334,0.3162
14,glue-mnli,std,0.09166666666666669,0.022973027662891977
15,,,,
16,glue-qnli,glue-qnli_16_100,0.75,0.496
17,glue-qnli,glue-qnli_16_13,0.6875,0.55
18,glue-qnli,glue-qnli_16_21,0.65625,0.525
19,glue-qnli,glue-qnli_16_42,0.71875,0.503
20,glue-qnli,glue-qnli_16_87,0.53125,0.496
21,glue-qnli,mean,0.66875,0.514
22,glue-qnli,std,0.07551903733496608,0.020909328061896222
23,,,,
24,glue-rte,glue-rte_16_100,0.65625,0.4981949458483754
25,glue-rte,glue-rte_16_13,0.6875,0.4945848375451263
26,glue-rte,glue-rte_16_21,0.65625,0.5018050541516246
27,glue-rte,glue-rte_16_42,0.625,0.51985559566787
28,glue-rte,glue-rte_16_87,0.65625,0.4548736462093863
29,glue-rte,mean,0.65625,0.49386281588447645
30,glue-rte,std,0.01976423537605237,0.021345480865118362
31,,,,
32,glue-wnli,glue-wnli_16_100,0.6875,0.352112676056338
33,glue-wnli,glue-wnli_16_13,0.65625,0.4647887323943662
34,glue-wnli,glue-wnli_16_21,0.59375,0.5352112676056338
35,glue-wnli,glue-wnli_16_42,0.90625,0.4366197183098591
36,glue-wnli,glue-wnli_16_87,0.5625,0.4929577464788732
37,glue-wnli,mean,0.68125,0.45633802816901403
38,glue-wnli,std,0.12086924753633572,0.061457533040201205
39,,,,
40,scitail,scitail_16_100,0.6190476190476191,0.4832847688560532
41,scitail,scitail_16_13,0.6761133603238867,0.5174755778912772
42,scitail,scitail_16_21,0.6825396825396826,0.0288702200431195
43,scitail,scitail_16_42,0.5555555555555556,0.3626895669651014
44,scitail,scitail_16_87,0.7184750733137829,0.2287888996418844
45,scitail,mean,0.6503462581561054,0.32422180667948713
46,scitail,std,0.0571082790705588,0.17914676334202723
47,,,,
48,sick,sick_16_100,0.7232843137254902,0.0575155514832384
49,sick,sick_16_13,0.7054137470804137,0.224050396538179
50,sick,sick_16_21,0.6187590187590187,0.3166087679188929
51,sick,sick_16_42,0.530952380952381,0.3619741220378614
52,sick,sick_16_87,0.6084656084656085,0.1661614622140937
53,sick,mean,0.6373750137965823,0.2252620600384531
54,sick,std,0.07002537084580732,0.10832141880609186
55,,,,
56,superglue-cb,superglue-cb_16_100,0.65625,0.5
57,superglue-cb,superglue-cb_16_13,0.71875,0.5178571428571429
58,superglue-cb,superglue-cb_16_21,0.875,0.5535714285714286
59,superglue-cb,superglue-cb_16_42,0.75,0.3392857142857143
60,superglue-cb,superglue-cb_16_87,0.84375,0.3571428571428571
61,superglue-cb,mean,0.76875,0.45357142857142857
62,superglue-cb,std,0.08052561704203204,0.08791809732207982
63,,,,
64,superglue-rte,superglue-rte_16_100,0.65625,0.4801444043321299
65,superglue-rte,superglue-rte_16_13,0.75,0.5054151624548736
66,superglue-rte,superglue-rte_16_21,0.625,0.4945848375451263
67,superglue-rte,superglue-rte_16_42,0.59375,0.4945848375451263
68,superglue-rte,superglue-rte_16_87,0.65625,0.5054151624548736
69,superglue-rte,mean,0.65625,0.49602888086642594
70,superglue-rte,std,0.05229125165837972,0.009302598358646311
71,,,,
