,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.3125,0.2441471571906354
1,ai2_arc,ai2_arc_32_13,0.28125,0.2775919732441471
2,ai2_arc,ai2_arc_32_21,0.375,0.2709030100334448
3,ai2_arc,ai2_arc_32_42,0.34375,0.2140468227424749
4,ai2_arc,ai2_arc_32_87,0.375,0.2374581939799331
5,ai2_arc,mean,0.3375,0.2488294314381271
6,ai2_arc,std,0.03644344934278313,0.02313259727864959
7,,,,
8,codah,codah_32_100,0.28,0.1761853448275862
9,codah,codah_32_13,0.28,0.1980889378904814
10,codah,codah_32_21,0.26,0.1677442528735632
11,codah,codah_32_42,0.1636363636363636,0.1821454283657307
12,codah,codah_32_87,0.3061224489795918,0.1909420289855072
13,codah,mean,0.2579517625231911,0.18302119858857374
14,codah,std,0.04938067299924369,0.010683232304424
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.40625,0.239
17,cosmos_qa,cosmos_qa_32_13,0.375,0.244
18,cosmos_qa,cosmos_qa_32_21,0.4375,0.275
19,cosmos_qa,cosmos_qa_32_42,0.4375,0.275
20,cosmos_qa,cosmos_qa_32_87,0.3125,0.307
21,cosmos_qa,mean,0.39375,0.26799999999999996
22,cosmos_qa,std,0.046770717334674264,0.024641428530018307
23,,,,
24,dream,dream_32_100,0.53125,0.403
25,dream,dream_32_13,0.375,0.315
26,dream,dream_32_21,0.53125,0.38
27,dream,dream_32_42,0.40625,0.347
28,dream,dream_32_87,0.40625,0.341
29,dream,mean,0.45,0.35719999999999996
30,dream,std,0.0673145600891813,0.030870050210519587
31,,,,
32,hellaswag,hellaswag_32_100,0.4375,0.299
33,hellaswag,hellaswag_32_13,0.5,0.309
34,hellaswag,hellaswag_32_21,0.34375,0.274
35,hellaswag,hellaswag_32_42,0.46875,0.283
36,hellaswag,hellaswag_32_87,0.46875,0.261
37,hellaswag,mean,0.44375,0.2852
38,hellaswag,std,0.053764532919016415,0.01716275036233994
39,,,,
40,openbookqa,openbookqa_32_100,0.40625,0.226
41,openbookqa,openbookqa_32_13,0.4375,0.26
42,openbookqa,openbookqa_32_21,0.4375,0.25
43,openbookqa,openbookqa_32_42,0.40625,0.332
44,openbookqa,openbookqa_32_87,0.5,0.32
45,openbookqa,mean,0.4375,0.2776
46,openbookqa,std,0.03423265984407288,0.041209707594206495
47,,,,
48,qasc,qasc_32_100,0.25,0.1457883369330453
49,qasc,qasc_32_13,0.28125,0.1317494600431965
50,qasc,qasc_32_21,0.25,0.0961123110151187
51,qasc,qasc_32_42,0.25,0.1565874730021598
52,qasc,qasc_32_87,0.1875,0.0842332613390928
53,qasc,mean,0.24375,0.12289416846652261
54,qasc,std,0.030618621784789725,0.02810598348279489
55,,,,
56,quail,quail_32_100,0.3125,0.245
57,quail,quail_32_13,0.375,0.294
58,quail,quail_32_21,0.25,0.249
59,quail,quail_32_42,0.53125,0.292
60,quail,quail_32_87,0.53125,0.294
61,quail,mean,0.4,0.2748
62,quail,std,0.11422291801560666,0.022745549015137
63,,,,
64,quarel,quarel_32_100,0.75,0.5035971223021583
65,quarel,quarel_32_13,0.5,0.5143884892086331
66,quarel,quarel_32_21,0.65625,0.5143884892086331
67,quarel,quarel_32_42,0.5,0.4100719424460431
68,quarel,quarel_32_87,0.5625,0.4640287769784172
69,quarel,mean,0.59375,0.4812949640287769
70,quarel,std,0.09682458365518543,0.04014620554907544
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.65625,0.4635416666666667
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.65625,0.4947916666666667
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.65625,0.4947916666666667
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.6875,0.4765625
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.59375,0.5078125
77,quartz-no_knowledge,mean,0.65,0.4875
78,quartz-no_knowledge,std,0.030618621784789725,0.01557282957054797
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.625,0.4635416666666667
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.59375,0.484375
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.6875,0.4713541666666667
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.65625,0.4765625
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.5625,0.5234375
85,quartz-with_knowledge,mean,0.625,0.4838541666666667
86,quartz-with_knowledge,std,0.04419417382415922,0.020924280652709022
87,,,,
88,sciq,sciq_32_100,0.875,0.8613303269447576
89,sciq,sciq_32_13,0.96875,0.8680947012401353
90,sciq,sciq_32_21,0.9375,0.85456595264938
91,sciq,sciq_32_42,0.96875,0.8331454340473506
92,sciq,sciq_32_87,0.96875,0.8804960541149943
93,sciq,mean,0.94375,0.8595264937993236
94,sciq,std,0.03644344934278313,0.01572868548058198
95,,,,
96,superglue-copa,superglue-copa_32_100,0.625,0.42
97,superglue-copa,superglue-copa_32_13,0.71875,0.51
98,superglue-copa,superglue-copa_32_21,0.53125,0.48
99,superglue-copa,superglue-copa_32_42,0.6875,0.48
100,superglue-copa,superglue-copa_32_87,0.625,0.58
101,superglue-copa,mean,0.6375,0.49399999999999994
102,superglue-copa,std,0.06434768838116875,0.05199999999999999
103,,,,
104,swag,swag_32_100,0.4375,0.284
105,swag,swag_32_13,0.46875,0.276
106,swag,swag_32_21,0.40625,0.295
107,swag,swag_32_42,0.4375,0.285
108,swag,swag_32_87,0.46875,0.289
109,swag,mean,0.44375,0.28579999999999994
110,swag,std,0.023385358667337132,0.006241794613730881
111,,,,
112,wino_grande,wino_grande_32_100,0.5625,0.51
113,wino_grande,wino_grande_32_13,0.6875,0.496
114,wino_grande,wino_grande_32_21,0.71875,0.474
115,wino_grande,wino_grande_32_42,0.75,0.488
116,wino_grande,wino_grande_32_87,0.625,0.508
117,wino_grande,mean,0.66875,0.4952
118,wino_grande,std,0.0673145600891813,0.013302631318652725
119,,,,
120,wiqa,wiqa_32_100,0.4375,0.393
121,wiqa,wiqa_32_13,0.53125,0.428
122,wiqa,wiqa_32_21,0.46875,0.408
123,wiqa,wiqa_32_42,0.5,0.389
124,wiqa,wiqa_32_87,0.53125,0.367
125,wiqa,mean,0.49375,0.39699999999999996
126,wiqa,std,0.03644344934278313,0.020307634032550412
127,,,,
