,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.3125,0.2575250836120401
1,ai2_arc,ai2_arc_32_13,0.4375,0.2575250836120401
2,ai2_arc,ai2_arc_32_21,0.40625,0.2742474916387959
3,ai2_arc,ai2_arc_32_42,0.4375,0.2240802675585284
4,ai2_arc,ai2_arc_32_87,0.375,0.2374581939799331
5,ai2_arc,mean,0.39375,0.25016722408026754
6,ai2_arc,std,0.046770717334674264,0.017493908803507704
7,,,,
8,codah,codah_32_100,0.28,0.1961836612999403
9,codah,codah_32_13,0.2549019607843137,0.167204879799067
10,codah,codah_32_21,0.3333333333333333,0.183063063063063
11,codah,codah_32_42,0.2549019607843137,0.1754197927831368
12,codah,codah_32_87,0.3333333333333333,0.2254572601717058
13,codah,mean,0.2912941176470588,0.18946573142338258
14,codah,std,0.035527247477689886,0.020368351886813546
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.5,0.257
17,cosmos_qa,cosmos_qa_32_13,0.4375,0.224
18,cosmos_qa,cosmos_qa_32_21,0.375,0.297
19,cosmos_qa,cosmos_qa_32_42,0.4375,0.299
20,cosmos_qa,cosmos_qa_32_87,0.375,0.287
21,cosmos_qa,mean,0.425,0.2728
22,cosmos_qa,std,0.046770717334674264,0.028652399550473943
23,,,,
24,dream,dream_32_100,0.40625,0.383
25,dream,dream_32_13,0.40625,0.327
26,dream,dream_32_21,0.5,0.404
27,dream,dream_32_42,0.34375,0.303
28,dream,dream_32_87,0.375,0.391
29,dream,mean,0.40625,0.3616
30,dream,std,0.05229125165837972,0.03937308725512899
31,,,,
32,hellaswag,hellaswag_32_100,0.5,0.331
33,hellaswag,hellaswag_32_13,0.5,0.303
34,hellaswag,hellaswag_32_21,0.34375,0.276
35,hellaswag,hellaswag_32_42,0.5,0.28
36,hellaswag,hellaswag_32_87,0.375,0.224
37,hellaswag,mean,0.44375,0.2828
38,hellaswag,std,0.06959705453537526,0.035334968515622026
39,,,,
40,openbookqa,openbookqa_32_100,0.375,0.264
