,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4437095919448859,0.3323224454469017
1,anli,anli_16_13,0.371741784785263,0.235035059238418
2,anli,anli_16_21,0.4157894736842105,0.3112750117414505
3,anli,anli_16_42,0.4384002294752802,0.3046675666131482
4,anli,anli_16_87,0.4330128205128205,0.366158881428537
5,anli,mean,0.42053078008049205,0.30989179289369106
6,anli,std,0.02613511784068878,0.043132020203785135
7,,,,
8,glue-mnli,glue-mnli_16_100,0.4166666666666667,0.316
9,glue-mnli,glue-mnli_16_13,0.4791666666666667,0.323
10,glue-mnli,glue-mnli_16_21,0.4583333333333333,0.374
11,glue-mnli,glue-mnli_16_42,0.4375,0.346
12,glue-mnli,glue-mnli_16_87,0.5208333333333334,0.487
13,glue-mnli,mean,0.4625,0.36920000000000003
14,glue-mnli,std,0.03584302194601095,0.062294140976499546
15,,,,
16,glue-qnli,glue-qnli_16_100,0.6875,0.551
17,glue-qnli,glue-qnli_16_13,0.53125,0.535
18,glue-qnli,glue-qnli_16_21,0.5,0.473
19,glue-qnli,glue-qnli_16_42,0.59375,0.564
20,glue-qnli,glue-qnli_16_87,0.5625,0.509
21,glue-qnli,mean,0.575,0.5264
22,glue-qnli,std,0.06434768838116875,0.03239506135200241
23,,,,
24,glue-rte,glue-rte_16_100,0.65625,0.5054151624548736
25,glue-rte,glue-rte_16_13,0.6875,0.5090252707581228
26,glue-rte,glue-rte_16_21,0.5625,0.4765342960288808
27,glue-rte,glue-rte_16_42,0.59375,0.51985559566787
28,glue-rte,glue-rte_16_87,0.53125,0.3898916967509025
29,glue-rte,mean,0.60625,0.48014440433212985
30,glue-rte,std,0.05796011559684815,0.047346126529256315
31,,,,
32,glue-wnli,glue-wnli_16_100,0.5625,0.4225352112676056
33,glue-wnli,glue-wnli_16_13,0.53125,0.5492957746478874
34,glue-wnli,glue-wnli_16_21,0.53125,0.5774647887323944
35,glue-wnli,glue-wnli_16_42,0.59375,0.6056338028169014
36,glue-wnli,glue-wnli_16_87,0.6875,0.5211267605633803
37,glue-wnli,mean,0.58125,0.5352112676056338
38,glue-wnli,std,0.05796011559684815,0.06298783035210674
39,,,,
40,scitail,scitail_16_100,0.46843853820598,0.3749970181155444
41,scitail,scitail_16_13,0.5555555555555556,0.5113667312837438
42,scitail,scitail_16_21,0.6476476476476476,0.5289855072463768
43,scitail,scitail_16_42,0.6666666666666667,0.5774359510522716
44,scitail,scitail_16_87,0.4181818181818182,0.4965319245594068
45,scitail,mean,0.5512980452515336,0.4978634264514687
46,scitail,std,0.09715649118840654,0.06720213838919438
47,,,,
48,sick,sick_16_100,0.6816176470588236,0.625828843254539
49,sick,sick_16_13,0.6914786967418546,0.5827269708208309
50,sick,sick_16_21,0.7008258258258259,0.3296590737779146
51,sick,sick_16_42,0.7523935002195872,0.5801023924409681
52,sick,sick_16_87,0.649460188933873,0.5679345598538745
53,sick,mean,0.6951551717559928,0.5372503680296254
54,sick,std,0.03344606123732929,0.1056278644560778
55,,,,
56,superglue-cb,superglue-cb_16_100,0.84375,0.8392857142857143
57,superglue-cb,superglue-cb_16_13,0.8125,0.9107142857142856
58,superglue-cb,superglue-cb_16_21,0.90625,0.7678571428571429
59,superglue-cb,superglue-cb_16_42,0.78125,0.6964285714285714
60,superglue-cb,superglue-cb_16_87,0.9375,0.7321428571428571
61,superglue-cb,mean,0.85625,0.7892857142857144
62,superglue-cb,std,0.057960115596848154,0.07693092581620718
63,,,,
64,superglue-rte,superglue-rte_16_100,0.6875,0.5379061371841155
65,superglue-rte,superglue-rte_16_13,0.625,0.5379061371841155
66,superglue-rte,superglue-rte_16_21,0.53125,0.4765342960288808
67,superglue-rte,superglue-rte_16_42,0.59375,0.4620938628158845
68,superglue-rte,superglue-rte_16_87,0.59375,0.5126353790613718
69,superglue-rte,mean,0.60625,0.5054151624548735
70,superglue-rte,std,0.05077524002897475,0.03122274124251213
71,,,,
