,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.8125,0.7184466019417476
1,acronym_identification,acronym_identification_32_13,0.8125,0.7073509015256588
2,acronym_identification,acronym_identification_32_21,0.75,0.8210818307905686
3,acronym_identification,acronym_identification_32_42,0.6875,0.7656033287101248
4,acronym_identification,acronym_identification_32_87,0.84375,0.8155339805825242
5,acronym_identification,mean,0.78125,0.7656033287101248
6,acronym_identification,std,0.05590169943749474,0.047303353669441765
7,,,,
8,ai2_arc,ai2_arc_32_100,0.09375,0.1103678929765886
9,ai2_arc,ai2_arc_32_13,0.15625,0.1404682274247491
10,ai2_arc,ai2_arc_32_21,0.15625,0.1705685618729097
11,ai2_arc,ai2_arc_32_42,0.21875,0.0568561872909698
12,ai2_arc,ai2_arc_32_87,0.15625,0.1538461538461538
13,ai2_arc,mean,0.15625,0.1264214046822742
14,ai2_arc,std,0.03952847075210474,0.03998858910404049
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.71875,0.57
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.78125,0.67
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.65625,0.555
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.75,0.51
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.51
21,blimp-anaphor_gender_agreement,mean,0.71875,0.563
22,blimp-anaphor_gender_agreement,std,0.04419417382415922,0.058617403559011384
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.65625,0.515
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.625,0.62
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,0.71875,0.52
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.6875,0.49
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.625,0.515
29,blimp-ellipsis_n_bar_1,mean,0.6625,0.532
30,blimp-ellipsis_n_bar_1,std,0.03644344934278313,0.045232731511594564
31,,,,
32,break-QDMR,break-QDMR_32_100,0.0,0.0
33,break-QDMR,break-QDMR_32_13,0.03125,0.0006443298969072
34,break-QDMR,break-QDMR_32_21,0.03125,0.0024484536082474
35,break-QDMR,break-QDMR_32_42,0.0,0.0
36,break-QDMR,break-QDMR_32_87,0.0,0.0
37,break-QDMR,mean,0.0125,0.00061855670103092
38,break-QDMR,std,0.015309310892394864,0.0009483695614935013
39,,,,
40,common_gen,common_gen_32_100,0.2115854333849867,0.233713176488768
41,common_gen,common_gen_32_13,0.1977887133770343,0.2028018918090855
42,common_gen,common_gen_32_21,0.2612779467427592,0.2570832739930332
43,common_gen,common_gen_32_42,0.2343319667323448,0.1753771339774703
44,common_gen,common_gen_32_87,0.2870420904574644,0.2282391658218665
45,common_gen,mean,0.2384052301389179,0.21944292841804472
46,common_gen,std,0.03247860758424019,0.02798759627609564
47,,,,
48,crawl_domain,crawl_domain_32_100,0.09375,0.0051203277009728
49,crawl_domain,crawl_domain_32_13,0.09375,0.028673835125448
