,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.09375,0.1103678929765886
1,ai2_arc,ai2_arc_32_13,0.15625,0.1404682274247491
2,ai2_arc,ai2_arc_32_21,0.15625,0.1705685618729097
3,ai2_arc,ai2_arc_32_42,0.21875,0.0568561872909698
4,ai2_arc,ai2_arc_32_87,0.15625,0.1538461538461538
5,ai2_arc,mean,0.15625,0.1264214046822742
6,ai2_arc,std,0.03952847075210474,0.03998858910404049
7,,,,
8,codah,codah_32_100,0.1034482758620689,0.0588435374149659
9,codah,codah_32_13,0.1228070175438596,0.0875886524822695
10,codah,codah_32_21,0.1034482758620689,0.0700531208499335
11,codah,codah_32_42,0.1428571428571428,0.1068331599028789
12,codah,codah_32_87,0.0392156862745098,0.051223241590214
13,codah,mean,0.10235527967993,0.07490834244805236
14,codah,std,0.034778361201156904,0.020112778884339978
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.25,0.146
17,cosmos_qa,cosmos_qa_32_13,0.1875,0.034
18,cosmos_qa,cosmos_qa_32_21,0.125,0.077
19,cosmos_qa,cosmos_qa_32_42,0.0625,0.019
20,cosmos_qa,cosmos_qa_32_87,0.25,0.116
21,cosmos_qa,mean,0.175,0.0784
22,cosmos_qa,std,0.07288689868556625,0.04792744516454011
23,,,,
24,dream,dream_32_100,0.21875,0.158
25,dream,dream_32_13,0.125,0.113
26,dream,dream_32_21,0.34375,0.202
27,dream,dream_32_42,0.15625,0.052
28,dream,dream_32_87,0.21875,0.216
29,dream,mean,0.2125,0.1482
30,dream,std,0.075,0.06013451587898584
31,,,,
32,hellaswag,hellaswag_32_100,0.0625,0.106
33,hellaswag,hellaswag_32_13,0.0625,0.05
34,hellaswag,hellaswag_32_21,0.03125,0.029
35,hellaswag,hellaswag_32_42,0.03125,0.055
36,hellaswag,hellaswag_32_87,0.0625,0.045
37,hellaswag,mean,0.05,0.056999999999999995
38,hellaswag,std,0.015309310892394862,0.026007691170113506
39,,,,
40,openbookqa,openbookqa_32_100,0.21875,0.092
41,openbookqa,openbookqa_32_13,0.15625,0.124
42,openbookqa,openbookqa_32_21,0.1875,0.104
43,openbookqa,openbookqa_32_42,0.09375,0.07
44,openbookqa,openbookqa_32_87,0.125,0.034
45,openbookqa,mean,0.15625,0.08480000000000001
46,openbookqa,std,0.04419417382415922,0.0308441242378512
47,,,,
48,qasc,qasc_32_100,0.03125,0.0
49,qasc,qasc_32_13,0.0625,0.0658747300215982
50,qasc,qasc_32_21,0.15625,0.0950323974082073
51,qasc,qasc_32_42,0.0625,0.0205183585313174
52,qasc,qasc_32_87,0.0625,0.029157667386609
53,qasc,mean,0.075,0.04211663066954638
54,qasc,std,0.04238956239453293,0.03397868838564205
55,,,,
56,quail,quail_32_100,0.28125,0.165
57,quail,quail_32_13,0.1875,0.204
58,quail,quail_32_21,0.09375,0.114
59,quail,quail_32_42,0.15625,0.111
60,quail,quail_32_87,0.15625,0.059
61,quail,mean,0.175,0.1306
62,quail,std,0.06123724356957945,0.049713579633737896
63,,,,
64,quarel,quarel_32_100,0.375,0.2014388489208633
65,quarel,quarel_32_13,0.28125,0.2913669064748201
66,quarel,quarel_32_21,0.15625,0.1079136690647482
67,quarel,quarel_32_42,0.3125,0.2625899280575539
68,quarel,quarel_32_87,0.3125,0.2338129496402877
69,quarel,mean,0.2875,0.21942446043165464
70,quarel,std,0.0723489806424389,0.06325209968441227
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.28125,0.3098958333333333
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.34375,0.2213541666666666
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.1875,0.1484375
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.09375,0.0703125
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.125,0.0963541666666666
77,quartz-no_knowledge,mean,0.20625,0.16927083333333331
78,quartz-no_knowledge,std,0.09395810236483067,0.08721431537056032
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.5625,0.3958333333333333
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.375,0.3489583333333333
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.25,0.3515625
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.28125,0.3125
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.09375,0.109375
85,quartz-with_knowledge,mean,0.3125,0.3036458333333333
86,quartz-with_knowledge,std,0.15436361294035586,0.10066510587918072
87,,,,
88,sciq,sciq_32_100,0.65625,0.6324689966178129
89,sciq,sciq_32_13,0.46875,0.370913190529876
90,sciq,sciq_32_21,0.5625,0.4994363021420518
91,sciq,sciq_32_42,0.625,0.62119503945885
92,sciq,sciq_32_87,0.6875,0.6155580608793687
93,sciq,mean,0.6,0.5479143179255919
94,sciq,std,0.07756046028744285,0.10077177274578421
95,,,,
96,superglue-copa,superglue-copa_32_100,0.21875,0.1
97,superglue-copa,superglue-copa_32_13,0.4375,0.37
98,superglue-copa,superglue-copa_32_21,0.21875,0.09
99,superglue-copa,superglue-copa_32_42,0.21875,0.28
100,superglue-copa,superglue-copa_32_87,0.3125,0.3
101,superglue-copa,mean,0.28125,0.22799999999999998
102,superglue-copa,std,0.08615030470056388,0.11267652816802619
103,,,,
104,swag,swag_32_100,0.125,0.112
105,swag,swag_32_13,0.0625,0.039
106,swag,swag_32_21,0.0625,0.065
107,swag,swag_32_42,0.21875,0.138
108,swag,swag_32_87,0.09375,0.047
109,swag,mean,0.1125,0.0802
110,swag,std,0.05796011559684815,0.03842603284233229
111,,,,
112,wino_grande,wino_grande_32_100,0.59375,0.5
113,wino_grande,wino_grande_32_13,0.5,0.395
114,wino_grande,wino_grande_32_21,0.625,0.445
115,wino_grande,wino_grande_32_42,0.59375,0.487
116,wino_grande,wino_grande_32_87,0.53125,0.453
117,wino_grande,mean,0.56875,0.45599999999999996
118,wino_grande,std,0.045927932677184584,0.036736902427940206
119,,,,
120,wiqa,wiqa_32_100,0.46875,0.332
121,wiqa,wiqa_32_13,0.46875,0.347
122,wiqa,wiqa_32_21,0.46875,0.378
123,wiqa,wiqa_32_42,0.375,0.347
124,wiqa,wiqa_32_87,0.5,0.313
125,wiqa,mean,0.45625,0.3434
126,wiqa,std,0.042389562394532926,0.02134104027455081
127,,,,
