,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.90625,0.840499306518724
1,acronym_identification,acronym_identification_32_13,0.8125,0.840499306518724
2,acronym_identification,acronym_identification_32_21,0.875,0.8765603328710125
3,acronym_identification,acronym_identification_32_42,0.9375,0.8793342579750347
4,acronym_identification,acronym_identification_32_87,0.875,0.8488210818307905
5,acronym_identification,mean,0.88125,0.8571428571428571
6,acronym_identification,std,0.0414578098794425,0.01727868127866572
7,,,,
8,ai2_arc,ai2_arc_32_100,0.28125,0.2040133779264214
9,ai2_arc,ai2_arc_32_13,0.34375,0.2274247491638795
10,ai2_arc,ai2_arc_32_21,0.375,0.2575250836120401
11,ai2_arc,ai2_arc_32_42,0.375,0.217391304347826
12,ai2_arc,ai2_arc_32_87,0.40625,0.2207357859531772
13,ai2_arc,mean,0.35625,0.22541806020066885
14,ai2_arc,std,0.042389562394532926,0.01777301706432965
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.84375,0.78
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.75,0.71
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.75,0.78
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.875,0.745
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.71875,0.635
21,blimp-anaphor_gender_agreement,mean,0.7875,0.7300000000000001
22,blimp-anaphor_gender_agreement,std,0.06059599821770412,0.054129474410897445
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.96875,0.875
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,0.965
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,0.995
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.71875,0.605
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.8125,0.655
29,blimp-ellipsis_n_bar_1,mean,0.9,0.819
30,blimp-ellipsis_n_bar_1,std,0.11422291801560666,0.16007498243010992
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0300257731958762
33,break-QDMR,break-QDMR_32_13,0.03125,0.0372422680412371
34,break-QDMR,break-QDMR_32_21,0.125,0.0346649484536082
35,break-QDMR,break-QDMR_32_42,0.0625,0.040721649484536
36,break-QDMR,break-QDMR_32_87,0.09375,0.0213917525773195
37,break-QDMR,mean,0.0875,0.032809278350515406
38,break-QDMR,std,0.036443449342783124,0.00669041585881678
39,,,,
40,common_gen,common_gen_32_100,0.4179555588971826,0.4119032398507872
41,common_gen,common_gen_32_13,0.4077043697111397,0.4030961766948158
42,common_gen,common_gen_32_21,0.4836045539283733,0.4648438936524138
43,common_gen,common_gen_32_42,0.4784414408919009,0.3744890456779558
44,common_gen,common_gen_32_87,0.4714717590716234,0.4187427111921067
45,common_gen,mean,0.45183553650004404,0.41461501341361584
46,common_gen,std,0.032243258576859765,0.029292008811031472
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.6246799795186891
49,crawl_domain,crawl_domain_32_13,0.65625,0.6001024065540195
50,crawl_domain,crawl_domain_32_21,0.71875,0.6108550947260625
51,crawl_domain,crawl_domain_32_42,0.71875,0.620583717357911
52,crawl_domain,crawl_domain_32_87,0.71875,0.6123911930363544
53,crawl_domain,mean,0.725,0.6137224782386074
54,crawl_domain,std,0.049999999999999996,0.008516384182812805
55,,,,
56,multi_news,multi_news_32_100,0.2553745264176858,0.2456232118230156
57,multi_news,multi_news_32_13,0.272104900541156,0.2350336956793224
58,multi_news,multi_news_32_21,0.2484175692020363,0.2430133919419423
59,multi_news,multi_news_32_42,0.2639903683409995,0.2440690266184002
60,multi_news,multi_news_32_87,0.2666373542929386,0.2507377272199179
61,multi_news,mean,0.26130494375896324,0.24369541065651967
62,multi_news,std,0.008408798327919857,0.00507820213612781
63,,,,
64,quail,quail_32_100,0.34375,0.243
65,quail,quail_32_13,0.3125,0.311
66,quail,quail_32_21,0.3125,0.249
67,quail,quail_32_42,0.40625,0.269
68,quail,quail_32_87,0.59375,0.289
69,quail,mean,0.39375,0.2722
70,quail,std,0.10569709078304852,0.025253910588263352
71,,,,
72,quoref,quoref_32_100,0.5173611111111112,0.3504543246478731
73,quoref,quoref_32_13,0.5,0.3413755300852074
74,quoref,quoref_32_21,0.4208333333333333,0.3107931196640874
75,quoref,quoref_32_42,0.4470238095238095,0.3268761704245574
76,quoref,quoref_32_87,0.5406249999999999,0.4071704832250737
77,quoref,mean,0.4851686507936508,0.34733392560935983
78,quoref,std,0.04455511659975698,0.03280061963137833
79,,,,
80,samsum,samsum_32_100,0.4306458714804082,0.3821139349732637
81,samsum,samsum_32_13,0.4178586747729316,0.3439750401566347
82,samsum,samsum_32_21,0.391394730535453,0.374440487878651
83,samsum,samsum_32_42,0.3806689932619347,0.3687876232823413
84,samsum,samsum_32_87,0.4215158967681665,0.3615866934043553
85,samsum,mean,0.40841683336377876,0.3661807559390492
86,samsum,std,0.01905024189806486,0.012985255847906753
87,,,,
88,search_qa,search_qa_32_100,0.0625,0.013
89,search_qa,search_qa_32_13,0.09375,0.013
90,search_qa,search_qa_32_21,0.125,0.015
91,search_qa,search_qa_32_42,0.0625,0.009
92,search_qa,search_qa_32_87,0.03125,0.008
93,search_qa,mean,0.075,0.0116
94,search_qa,std,0.03186887195995491,0.0026532998322843196
95,,,,
96,squad-with_context,squad-with_context_32_100,0.7845238095238095,0.661101600033953
97,squad-with_context,squad-with_context_32_13,0.6682017543859649,0.6488328410151939
98,squad-with_context,mean,0.7263627819548872,0.6549672205245735
99,squad-with_context,std,0.05816102756892233,0.006134379509379562
100,,,,
101,superglue-copa,superglue-copa_32_100,0.78125,0.45
102,superglue-copa,superglue-copa_32_13,0.6875,0.58
103,superglue-copa,superglue-copa_32_21,0.59375,0.53
104,superglue-copa,superglue-copa_32_42,0.65625,0.44
105,superglue-copa,superglue-copa_32_87,0.6875,0.54
106,superglue-copa,mean,0.68125,0.508
107,superglue-copa,std,0.06059599821770411,0.05418486873657626
108,,,,
109,wiki_split,wiki_split_32_100,0.8872487442220982,0.8676571521142523
110,wiki_split,wiki_split_32_13,0.8827344917770584,0.8818224066515803
111,wiki_split,wiki_split_32_21,0.883853538382655,0.8526515532665899
112,wiki_split,wiki_split_32_42,0.902122442153004,0.8793338210306659
113,wiki_split,wiki_split_32_87,0.8667818642362743,0.8801598860568196
114,wiki_split,mean,0.884548216154218,0.8723249638239816
115,wiki_split,std,0.011274410894557996,0.011041223257583301
116,,,,
