,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.8307905686546463
1,acronym_identification,acronym_identification_32_13,0.75,0.8058252427184466
2,acronym_identification,acronym_identification_32_21,0.84375,0.8085991678224688
3,acronym_identification,acronym_identification_32_42,0.875,0.8377253814147018
4,acronym_identification,acronym_identification_32_87,0.875,0.7877947295423023
5,acronym_identification,mean,0.84375,0.814147018030513
6,acronym_identification,std,0.04841229182759271,0.018041178964226457
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2474916387959866
9,ai2_arc,ai2_arc_32_13,0.40625,0.2207357859531772
10,ai2_arc,ai2_arc_32_21,0.40625,0.2675585284280936
11,ai2_arc,ai2_arc_32_42,0.5,0.1872909698996655
12,ai2_arc,ai2_arc_32_87,0.3125,0.2541806020066889
13,ai2_arc,mean,0.3875,0.23545150501672235
14,ai2_arc,std,0.0701560760020114,0.02850471672596992
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.875,0.765
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.78125,0.525
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.75,0.675
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.875,0.605
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.54
21,blimp-anaphor_gender_agreement,mean,0.79375,0.6220000000000001
22,blimp-anaphor_gender_agreement,std,0.07288689868556626,0.08908422980528036
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.6875,0.4
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.90625,0.845
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,0.99
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.71875,0.505
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.71875,0.505
29,blimp-ellipsis_n_bar_1,mean,0.80625,0.649
30,blimp-ellipsis_n_bar_1,std,0.12405895775799505,0.2272311598350895
31,,,,
32,break-QDMR,break-QDMR_32_100,0.09375,0.0295103092783505
33,break-QDMR,break-QDMR_32_13,0.03125,0.0149484536082474
34,break-QDMR,break-QDMR_32_21,0.09375,0.0284793814432989
35,break-QDMR,break-QDMR_32_42,0.0625,0.0302835051546391
36,break-QDMR,break-QDMR_32_87,0.0625,0.0239690721649484
37,break-QDMR,mean,0.06875,0.025438144329896863
38,break-QDMR,std,0.023385358667337132,0.00568332572585771
39,,,,
40,common_gen,common_gen_32_100,0.4262266583859464,0.4144863421932915
41,common_gen,common_gen_32_13,0.4006199741771693,0.3764744828575068
42,common_gen,common_gen_32_21,0.4592673128676564,0.4516346950012768
43,common_gen,common_gen_32_42,0.5000739889563898,0.3519278414848407
44,common_gen,common_gen_32_87,0.4491341609362099,0.371391800007287
45,common_gen,mean,0.44706441906467437,0.39318303230884055
46,common_gen,std,0.03333018955751298,0.03557092094240987
47,,,,
