,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.840499306518724
1,acronym_identification,acronym_identification_32_13,0.875,0.8626907073509015
2,acronym_identification,acronym_identification_32_21,0.875,0.8280166435506241
3,acronym_identification,acronym_identification_32_42,0.90625,0.841886269070735
4,acronym_identification,acronym_identification_32_87,0.84375,0.8391123439667129
5,acronym_identification,mean,0.875,0.8424410540915395
6,acronym_identification,std,0.01976423537605237,0.011254070887711947
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2474916387959866
9,ai2_arc,ai2_arc_32_13,0.375,0.2374581939799331
10,ai2_arc,ai2_arc_32_21,0.375,0.2809364548494983
11,ai2_arc,ai2_arc_32_42,0.4375,0.1705685618729097
12,ai2_arc,ai2_arc_32_87,0.4375,0.2374581939799331
13,ai2_arc,mean,0.3875,0.23478260869565215
14,ai2_arc,std,0.046770717334674264,0.03585933151486343
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.78125,0.74
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.875,0.7
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.8125,0.73
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.84375,0.695
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.84375,0.695
21,blimp-anaphor_gender_agreement,mean,0.83125,0.712
22,blimp-anaphor_gender_agreement,std,0.03186887195995491,0.01913112646970901
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.96875,0.96
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,1.0
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,0.9375,0.815
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.9375,0.73
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.71875,0.48
29,blimp-ellipsis_n_bar_1,mean,0.9125,0.7969999999999999
30,blimp-ellipsis_n_bar_1,std,0.09960860906568267,0.18605375567292373
31,,,,
32,break-QDMR,break-QDMR_32_100,0.09375,0.0242268041237113
33,break-QDMR,break-QDMR_32_13,0.03125,0.0344072164948453
34,break-QDMR,break-QDMR_32_21,0.0625,0.0332474226804123
35,break-QDMR,break-QDMR_32_42,0.0625,0.0368556701030927
36,break-QDMR,break-QDMR_32_87,0.09375,0.0244845360824742
37,break-QDMR,mean,0.06875,0.030644329896907165
38,break-QDMR,std,0.023385358667337132,0.005265811459431789
39,,,,
40,common_gen,common_gen_32_100,0.446540179022442,0.4348807181361345
41,common_gen,common_gen_32_13,0.4128404543173486,0.3944687441373403
42,common_gen,common_gen_32_21,0.4474435081819324,0.394395573968062
43,common_gen,common_gen_32_42,0.4661664807859211,0.3853912855254767
44,common_gen,common_gen_32_87,0.4566786267164784,0.3854230725355249
45,common_gen,mean,0.44593384980482453,0.39891187886050766
46,common_gen,std,0.018014600277134318,0.018431767115986458
47,,,,
48,crawl_domain,crawl_domain_32_100,0.78125,0.5960061443932412
49,crawl_domain,crawl_domain_32_13,0.59375,0.6062467997951869
50,crawl_domain,crawl_domain_32_21,0.6875,0.6180235535074244
51,crawl_domain,crawl_domain_32_42,0.78125,0.6129032258064516
52,crawl_domain,crawl_domain_32_87,0.78125,0.6041986687147978
53,crawl_domain,mean,0.725,0.6074756784434203
54,crawl_domain,std,0.075,0.00754340885231044
55,,,,
56,multi_news,multi_news_32_100,0.2520075744342908,0.2498442597785502
57,multi_news,multi_news_32_13,0.2726348239894222,0.2416345510107429
58,multi_news,multi_news_32_21,0.244769718343747,0.2430143768798295
59,multi_news,multi_news_32_42,0.2706244228831631,0.2442135397447106
60,multi_news,multi_news_32_87,0.2681612780056092,0.2510697396337434
61,multi_news,mean,0.26163956353124646,0.24595529340951533
62,multi_news,std,0.01114919818117904,0.0037850529808708066
63,,,,
64,quail,quail_32_100,0.3125,0.256
65,quail,quail_32_13,0.46875,0.329
66,quail,quail_32_21,0.3125,0.229
67,quail,quail_32_42,0.5,0.255
68,quail,quail_32_87,0.53125,0.303
69,quail,mean,0.425,0.2744
70,quail,std,0.09395810236483068,0.036263480252176565
71,,,,
72,quoref,quoref_32_100,0.5364583333333333,0.2957128594225368
73,quoref,quoref_32_13,0.5416666666666666,0.3641458899523415
74,quoref,quoref_32_21,0.4270833333333332,0.3356759130952679
75,quoref,quoref_32_42,0.40625,0.4019220922446728
76,quoref,quoref_32_87,0.5052083333333333,0.3884034424357004
77,quoref,mean,0.4833333333333333,0.35717203943010384
78,quoref,std,0.056230706567774076,0.038120641669093056
79,,,,
80,samsum,samsum_32_100,0.4201244054297701,0.3743111501470439
81,samsum,samsum_32_13,0.4177787383349517,0.3379451341121337
82,samsum,samsum_32_21,0.3943325411394796,0.3587741778676516
83,samsum,samsum_32_42,0.3864698873955,0.3683917381967932
84,samsum,samsum_32_87,0.4259588898532656,0.3516079742799859
85,samsum,mean,0.40893289243059333,0.3582060349207216
86,samsum,std,0.015563678191493131,0.012786591257123246
87,,,,
88,search_qa,search_qa_32_100,0.09375,0.009
89,search_qa,search_qa_32_13,0.125,0.017
90,search_qa,search_qa_32_21,0.15625,0.009
91,search_qa,search_qa_32_42,0.0625,0.012
92,search_qa,search_qa_32_87,0.0625,0.01
93,search_qa,mean,0.1,0.0114
94,search_qa,std,0.036443449342783124,0.0030066592756745826
95,,,,
96,squad-with_context,squad-with_context_32_100,0.7729166666666667,0.6277250488074017
97,squad-with_context,squad-with_context_32_13,0.710738384422595,0.6444416821740351
98,squad-with_context,mean,0.7418275255446308,0.6360833654907183
99,squad-with_context,std,0.031089141122035868,0.008358316683316713
100,,,,
101,superglue-copa,superglue-copa_32_100,0.71875,0.51
102,superglue-copa,superglue-copa_32_13,0.78125,0.54
103,superglue-copa,superglue-copa_32_21,0.65625,0.46
104,superglue-copa,superglue-copa_32_42,0.625,0.55
105,superglue-copa,superglue-copa_32_87,0.65625,0.5
106,superglue-copa,mean,0.6875,0.512
107,superglue-copa,std,0.05590169943749474,0.031874754901018466
108,,,,
109,wiki_split,wiki_split_32_100,0.8812731049544222,0.8677193528102074
110,wiki_split,wiki_split_32_13,0.8792881854805684,0.8869952648629045
111,wiki_split,wiki_split_32_21,0.8934810721631206,0.8640350782593467
112,wiki_split,wiki_split_32_42,0.9022327339158004,0.8808057471023487
113,wiki_split,wiki_split_32_87,0.8755869234516032,0.8810047682586919
114,wiki_split,mean,0.8863724039931029,0.8761120422586999
115,wiki_split,std,0.009945841558546274,0.008725874887293202
116,,,,
