,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.28125,0.1739130434782608
1,ai2_arc,ai2_arc_32_13,0.21875,0.2073578595317725
2,ai2_arc,ai2_arc_32_21,0.28125,0.2608695652173913
3,ai2_arc,ai2_arc_32_42,0.3125,0.177257525083612
4,ai2_arc,ai2_arc_32_87,0.34375,0.2107023411371237
5,ai2_arc,mean,0.2875,0.20602006688963206
6,ai2_arc,std,0.0414578098794425,0.03127403271588218
7,,,,
8,codah,codah_32_100,0.1428571428571428,0.147099930118798
9,codah,codah_32_13,0.2549019607843137,0.1765127103472968
10,codah,codah_32_21,0.1428571428571428,0.081
11,codah,codah_32_42,0.1851851851851851,0.1743479814219364
12,codah,codah_32_87,0.2075471698113207,0.1277033985581874
13,codah,mean,0.186669720299021,0.14133280408924373
14,codah,std,0.042267704618270445,0.035175830980024796
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.34375,0.185
17,cosmos_qa,cosmos_qa_32_13,0.28125,0.139
18,cosmos_qa,cosmos_qa_32_21,0.25,0.241
19,cosmos_qa,cosmos_qa_32_42,0.46875,0.243
20,cosmos_qa,cosmos_qa_32_87,0.03125,0.008
21,cosmos_qa,mean,0.275,0.16319999999999998
22,cosmos_qa,std,0.14306903927824496,0.08668194737083379
23,,,,
24,dream,dream_32_100,0.28125,0.247
25,dream,dream_32_13,0.34375,0.267
26,dream,dream_32_21,0.0625,0.002
27,dream,dream_32_42,0.375,0.297
28,dream,dream_32_87,0.125,0.13
29,dream,mean,0.2375,0.1886
30,dream,std,0.12279301690242812,0.1091432086755745
31,,,,
32,hellaswag,hellaswag_32_100,0.375,0.256
33,hellaswag,hellaswag_32_13,0.28125,0.235
34,hellaswag,hellaswag_32_21,0.375,0.238
35,hellaswag,hellaswag_32_42,0.3125,0.253
36,hellaswag,hellaswag_32_87,0.3125,0.245
37,hellaswag,mean,0.33125,0.24539999999999998
38,hellaswag,std,0.0375,0.008163332652783427
39,,,,
40,openbookqa,openbookqa_32_100,0.3125,0.212
41,openbookqa,openbookqa_32_13,0.1875,0.192
42,openbookqa,openbookqa_32_21,0.3125,0.21
43,openbookqa,openbookqa_32_42,0.4375,0.314
44,openbookqa,openbookqa_32_87,0.28125,0.206
45,openbookqa,mean,0.30625,0.22679999999999997
46,openbookqa,std,0.08003905296791061,0.04415608678313784
47,,,,
48,qasc,qasc_32_100,0.1875,0.0885529157667386
49,qasc,qasc_32_13,0.1875,0.1004319654427645
50,qasc,qasc_32_21,0.21875,0.0842332613390928
51,qasc,qasc_32_42,0.21875,0.091792656587473
52,qasc,qasc_32_87,0.15625,0.0928725701943844
53,qasc,mean,0.19375,0.09157667386609065
54,qasc,std,0.023385358667337132,0.005351840904260849
55,,,,
56,quail,quail_32_100,0.1875,0.191
57,quail,quail_32_13,0.1875,0.161
58,quail,quail_32_21,0.0,0.0
59,quail,quail_32_42,0.15625,0.14
60,quail,quail_32_87,0.4375,0.223
61,quail,mean,0.19375,0.143
62,quail,std,0.1403121520040228,0.0767932288681756
63,,,,
64,quarel,quarel_32_100,0.5,0.420863309352518
65,quarel,quarel_32_13,0.34375,0.39568345323741
66,quarel,quarel_32_21,0.5,0.3633093525179856
67,quarel,quarel_32_42,0.4375,0.3992805755395683
68,quarel,quarel_32_87,0.53125,0.4172661870503597
69,quarel,mean,0.4625,0.3992805755395683
70,quarel,std,0.0667317390751957,0.020475179094615423
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.65625,0.4453125
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.5625,0.4713541666666667
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.1875,0.1171875
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.21875,0.375
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.59375,0.4765625
77,quartz-no_knowledge,mean,0.44375,0.3770833333333333
78,quartz-no_knowledge,std,0.19902104160113324,0.1348988497088755
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.5,0.4036458333333333
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.5625,0.4609375
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.40625,0.4270833333333333
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.5,0.484375
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.625,0.4713541666666667
85,quartz-with_knowledge,mean,0.51875,0.4494791666666666
86,quartz-with_knowledge,std,0.07288689868556625,0.02976506679631157
87,,,,
88,sciq,sciq_32_100,0.5625,0.5963923337091319
89,sciq,sciq_32_13,0.34375,0.2874859075535513
90,sciq,sciq_32_21,0.84375,0.657271702367531
91,sciq,sciq_32_42,0.59375,0.5445321307779031
92,sciq,sciq_32_87,0.625,0.6606538895152199
93,sciq,mean,0.59375,0.5492671927846674
94,sciq,std,0.15934435979977452,0.1377277105853375
95,,,,
96,superglue-copa,superglue-copa_32_100,0.6875,0.41
97,superglue-copa,superglue-copa_32_13,0.6875,0.47
98,superglue-copa,superglue-copa_32_21,0.625,0.48
99,superglue-copa,superglue-copa_32_42,0.59375,0.43
100,superglue-copa,superglue-copa_32_87,0.5,0.55
101,superglue-copa,mean,0.61875,0.46799999999999997
102,superglue-copa,std,0.06959705453537526,0.04833218389437831
103,,,,
104,swag,swag_32_100,0.28125,0.224
105,swag,swag_32_13,0.3125,0.258
106,swag,swag_32_21,0.40625,0.269
107,swag,swag_32_42,0.375,0.294
108,swag,swag_32_87,0.0,0.011
109,swag,mean,0.275,0.21119999999999997
110,swag,std,0.14442775010364178,0.10259707598172571
111,,,,
112,wino_grande,wino_grande_32_100,0.4375,0.445
113,wino_grande,wino_grande_32_13,0.625,0.465
114,wino_grande,wino_grande_32_21,0.625,0.44
115,wino_grande,wino_grande_32_42,0.59375,0.442
116,wino_grande,wino_grande_32_87,0.65625,0.461
117,wino_grande,mean,0.5875,0.4506
118,wino_grande,std,0.07756046028744285,0.010326664514740477
119,,,,
120,wiqa,wiqa_32_100,0.4375,0.328
121,wiqa,wiqa_32_13,0.4375,0.353
122,wiqa,wiqa_32_21,0.46875,0.314
123,wiqa,wiqa_32_42,0.375,0.353
124,wiqa,wiqa_32_87,0.46875,0.339
125,wiqa,mean,0.4375,0.33740000000000003
126,wiqa,std,0.03423265984407288,0.01500133327407933
127,,,,
