,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.8807212205270458
1,acronym_identification,acronym_identification_32_13,0.84375,0.869625520110957
2,acronym_identification,acronym_identification_32_21,0.875,0.8918169209431346
3,acronym_identification,acronym_identification_32_42,0.9375,0.8904299583911235
4,acronym_identification,acronym_identification_32_87,0.875,0.871012482662968
5,acronym_identification,mean,0.88125,0.8807212205270458
6,acronym_identification,std,0.03061862178478973,0.009324680340622298
7,,,,
8,ai2_arc,ai2_arc_32_100,0.375,0.2441471571906354
9,ai2_arc,ai2_arc_32_13,0.40625,0.2675585284280936
10,ai2_arc,ai2_arc_32_21,0.3125,0.2541806020066889
11,ai2_arc,ai2_arc_32_42,0.34375,0.2240802675585284
12,ai2_arc,ai2_arc_32_87,0.375,0.2307692307692307
13,ai2_arc,mean,0.3625,0.24414715719063537
14,ai2_arc,std,0.0318688719599549,0.015687009230178687
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.65625,0.6
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.9375,0.715
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.8125,0.72
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.96875,0.925
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.525
21,blimp-anaphor_gender_agreement,mean,0.8125,0.697
22,blimp-anaphor_gender_agreement,std,0.12655285457072865,0.13552121605121467
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.875,0.605
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,1.0
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,1.0
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,0.995
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,1.0,1.0
29,blimp-ellipsis_n_bar_1,mean,0.975,0.9199999999999999
30,blimp-ellipsis_n_bar_1,std,0.049999999999999996,0.15751190431202336
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0439432989690721
33,break-QDMR,break-QDMR_32_13,0.03125,0.0333762886597938
34,break-QDMR,break-QDMR_32_21,0.0625,0.0313144329896907
35,break-QDMR,break-QDMR_32_42,0.09375,0.0344072164948453
36,break-QDMR,break-QDMR_32_87,0.125,0.0231958762886597
37,break-QDMR,mean,0.0875,0.03324742268041232
38,break-QDMR,std,0.036443449342783124,0.006641288003466565
39,,,,
40,common_gen,common_gen_32_100,0.4334782655507657,0.455388502095855
41,common_gen,common_gen_32_13,0.4365839790057881,0.4321273671165936
42,common_gen,common_gen_32_21,0.4738568169745017,0.4762518547182474
43,common_gen,common_gen_32_42,0.4925518235260427,0.4425028386741345
44,common_gen,common_gen_32_87,0.4658448750524508,0.4409785961593034
45,common_gen,mean,0.46046315202190974,0.44944983175282677
46,common_gen,std,0.022523032852323894,0.015321269966109347
47,,,,
48,crawl_domain,crawl_domain_32_100,0.84375,0.6390168970814132
49,crawl_domain,crawl_domain_32_13,0.6875,0.6052227342549923
50,crawl_domain,crawl_domain_32_21,0.65625,0.6323604710701485
51,crawl_domain,crawl_domain_32_42,0.6875,0.6144393241167435
52,crawl_domain,crawl_domain_32_87,0.75,0.6021505376344086
53,crawl_domain,mean,0.725,0.6186379928315412
54,crawl_domain,std,0.0667317390751957,0.01464950721331093
55,,,,
56,multi_news,multi_news_32_100,0.2560758503680174,0.2457565351758142
57,multi_news,multi_news_32_13,0.2776651138720266,0.2492107531061645
58,multi_news,multi_news_32_21,0.258906477763709,0.2536652562112296
59,multi_news,multi_news_32_42,0.2755843235568871,0.2517433482337642
