,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.90625,0.8862690707350902
1,acronym_identification,acronym_identification_32_13,0.78125,0.8640776699029126
2,acronym_identification,acronym_identification_32_21,0.84375,0.8918169209431346
3,acronym_identification,acronym_identification_32_42,0.875,0.883495145631068
4,acronym_identification,acronym_identification_32_87,0.84375,0.8640776699029126
5,acronym_identification,mean,0.85,0.8779472954230236
6,acronym_identification,std,0.041457809879442496,0.011637268773039177
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2374581939799331
9,ai2_arc,ai2_arc_32_13,0.3125,0.2140468227424749
10,ai2_arc,ai2_arc_32_21,0.3125,0.2608695652173913
11,ai2_arc,ai2_arc_32_42,0.34375,0.2073578595317725
12,ai2_arc,ai2_arc_32_87,0.4375,0.2709030100334448
13,ai2_arc,mean,0.34375,0.23812709030100332
14,ai2_arc,std,0.04841229182759271,0.02497412000347088
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.65625,0.6
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.71875,0.645
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.6875,0.545
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.65625,0.535
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.5625,0.515
21,blimp-anaphor_gender_agreement,mean,0.65625,0.5680000000000001
22,blimp-anaphor_gender_agreement,std,0.05229125165837972,0.04770744176750624
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.78125,0.495
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,1.0
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,1.0
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,1.0
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.8125,0.675
29,blimp-ellipsis_n_bar_1,mean,0.91875,0.834
30,blimp-ellipsis_n_bar_1,std,0.09999999999999999,0.2111255550614373
31,,,,
32,break-QDMR,break-QDMR_32_100,0.09375,0.0385309278350515
33,break-QDMR,break-QDMR_32_13,0.03125,0.0246134020618556
34,break-QDMR,break-QDMR_32_21,0.0625,0.0286082474226804
35,break-QDMR,break-QDMR_32_42,0.0625,0.045360824742268
36,break-QDMR,break-QDMR_32_87,0.0,0.0243556701030927
37,break-QDMR,mean,0.05,0.032293814432989634
38,break-QDMR,std,0.03186887195995491,0.00830944782513724
39,,,,
40,common_gen,common_gen_32_100,0.4277017216829629,0.4546812931242256
41,common_gen,common_gen_32_13,0.4286626089614376,0.4287572599927767
42,common_gen,common_gen_32_21,0.4687221192943115,0.4659430682415197
43,common_gen,common_gen_32_42,0.4702583427442716,0.4262035263660292
44,common_gen,common_gen_32_87,0.4632746124331711,0.4122473512810041
45,common_gen,mean,0.45172388102323086,0.43756649980111106
46,common_gen,std,0.019363740238864002,0.019727771997954946
47,,,,
48,crawl_domain,crawl_domain_32_100,0.84375,0.620583717357911
49,crawl_domain,crawl_domain_32_13,0.625,0.5847414234511009
50,crawl_domain,crawl_domain_32_21,0.71875,0.6169994879672299
51,crawl_domain,crawl_domain_32_42,0.6875,0.6359447004608295
52,crawl_domain,crawl_domain_32_87,0.75,0.6093189964157706
53,crawl_domain,mean,0.725,0.6135176651305685
54,crawl_domain,std,0.0723489806424389,0.016797172394316575
55,,,,
56,multi_news,multi_news_32_100,0.2509809268970291,0.24547488188791
57,multi_news,multi_news_32_13,0.2750148867341462,0.2425984651512667
58,multi_news,multi_news_32_21,0.2501127268090215,0.2541027045337773
59,multi_news,multi_news_32_42,0.2714012535574416,0.253427702180759
60,multi_news,multi_news_32_87,0.2736362139244053,0.2506199076726798
61,multi_news,mean,0.26422920158440877,0.24924473228527858
62,multi_news,std,0.011234347841280388,0.004502729787472922
63,,,,
64,quail,quail_32_100,0.28125,0.274
65,quail,quail_32_13,0.3125,0.312
66,quail,quail_32_21,0.40625,0.261
67,quail,quail_32_42,0.53125,0.303
68,quail,quail_32_87,0.59375,0.312
69,quail,mean,0.425,0.29240000000000005
70,quail,std,0.12119199643540822,0.02100095235935741
71,,,,
72,quoref,quoref_32_100,0.5333333333333333,0.3590662622920687
73,quoref,quoref_32_13,0.4947916666666666,0.3617721585463521
74,quoref,quoref_32_21,0.4434523809523809,0.3412183396054363
75,quoref,quoref_32_42,0.3760416666666666,0.3598710727742985
76,quoref,quoref_32_87,0.528125,0.3930691769401446
77,quoref,mean,0.4751488095238095,0.36299940203166003
78,quoref,std,0.05899940127583526,0.01676525098045258
79,,,,
80,samsum,samsum_32_100,0.4185448174510259,0.384563063237254
81,samsum,samsum_32_13,0.4212118422401995,0.3389539151310116
82,samsum,samsum_32_21,0.3994398445837681,0.3865660876963927
83,samsum,samsum_32_42,0.3757283654877496,0.3837145912321564
84,samsum,samsum_32_87,0.4326524706412161,0.3770276320120905
85,samsum,mean,0.40951546808079187,0.37416505786178106
86,samsum,std,0.019983701841722018,0.017894784421790863
87,,,,
88,search_qa,search_qa_32_100,0.0625,0.017
89,search_qa,search_qa_32_13,0.0625,0.014
90,search_qa,search_qa_32_21,0.125,0.013
91,search_qa,search_qa_32_42,0.0625,0.009
92,search_qa,search_qa_32_87,0.03125,0.011
93,search_qa,mean,0.06875,0.0128
94,search_qa,std,0.030618621784789725,0.0027129319932501076
95,,,,
96,squad-with_context,squad-with_context_32_100,0.6713068181818181,0.602792004074357
97,squad-with_context,squad-with_context_32_13,0.7162672305764411,0.6177393123216652
98,squad-with_context,mean,0.6937870243791296,0.610265658198011
99,squad-with_context,std,0.022480206197311503,0.007473654123654139
100,,,,
101,superglue-copa,superglue-copa_32_100,0.625,0.5
102,superglue-copa,superglue-copa_32_13,0.65625,0.56
103,superglue-copa,superglue-copa_32_21,0.53125,0.51
104,superglue-copa,superglue-copa_32_42,0.71875,0.54
105,superglue-copa,superglue-copa_32_87,0.625,0.56
106,superglue-copa,mean,0.63125,0.534
