,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.8932038834951457
1,acronym_identification,acronym_identification_32_13,0.84375,0.883495145631068
2,acronym_identification,acronym_identification_32_21,0.8125,0.8723994452149791
3,acronym_identification,acronym_identification_32_42,0.9375,0.8932038834951457
4,acronym_identification,acronym_identification_32_87,0.84375,0.8848821081830791
5,acronym_identification,mean,0.8625,0.8854368932038834
6,acronym_identification,std,0.042389562394532926,0.0076773106813304345
7,,,,
8,ai2_arc,ai2_arc_32_100,0.34375,0.2608695652173913
9,ai2_arc,ai2_arc_32_13,0.34375,0.3043478260869565
10,ai2_arc,ai2_arc_32_21,0.28125,0.294314381270903
11,ai2_arc,ai2_arc_32_42,0.4375,0.2709030100334448
12,ai2_arc,ai2_arc_32_87,0.34375,0.2608695652173913
13,ai2_arc,mean,0.35,0.2782608695652174
14,ai2_arc,std,0.05,0.017873430389146995
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.96875,0.985
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.96875,0.86
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.9375,0.99
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,1.0,0.985
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.96875,0.98
21,blimp-anaphor_gender_agreement,mean,0.96875,0.96
22,blimp-anaphor_gender_agreement,std,0.01976423537605237,0.05009990019950139
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.6875,0.51
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.78125,0.59
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,1.0
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.8125,0.845
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.6875,0.515
29,blimp-ellipsis_n_bar_1,mean,0.79375,0.6920000000000001
30,blimp-ellipsis_n_bar_1,std,0.11456439237389598,0.19653498416312554
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0324742268041237
33,break-QDMR,break-QDMR_32_13,0.03125,0.0304123711340206
34,break-QDMR,break-QDMR_32_21,0.09375,0.0371134020618556
35,break-QDMR,break-QDMR_32_42,0.09375,0.0479381443298969
36,break-QDMR,break-QDMR_32_87,0.0,0.0279639175257731
37,break-QDMR,mean,0.06875,0.03518041237113398
38,break-QDMR,std,0.04592793267718459,0.007051689574720452
39,,,,
40,common_gen,common_gen_32_100,0.4345701059799227,0.452757476318943
41,common_gen,common_gen_32_13,0.4205425830703103,0.4628483634556459
42,common_gen,common_gen_32_21,0.4501708043310978,0.4732590001023164
43,common_gen,common_gen_32_42,0.4632813084233931,0.4265387177273708
44,common_gen,common_gen_32_87,0.4908865202604223,0.4631434060920733
45,common_gen,mean,0.4518902644130292,0.45570939273926986
46,common_gen,std,0.024232562433417152,0.015961580543407728
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.6077828981054787
49,crawl_domain,crawl_domain_32_13,0.59375,0.593958013312852
50,crawl_domain,crawl_domain_32_21,0.6875,0.6226318484383001
51,crawl_domain,crawl_domain_32_42,0.6875,0.631336405529954
52,crawl_domain,crawl_domain_32_87,0.75,0.6108550947260625
53,crawl_domain,mean,0.70625,0.6133128520225295
54,crawl_domain,std,0.07288689868556626,0.01282905232636308
55,,,,
56,multi_news,multi_news_32_100,0.2594486613048389,0.2514306168527523
57,multi_news,multi_news_32_13,0.2711426833551175,0.2463369267205923
58,multi_news,multi_news_32_21,0.2525045136381076,0.25328798241181
59,multi_news,multi_news_32_42,0.2710460584122944,0.2596094542390094
60,multi_news,multi_news_32_87,0.2737599681775379,0.252433426982959
61,multi_news,mean,0.2655803769775793,0.2526196814414246
62,multi_news,std,0.008201155737403132,0.004247943553070066
63,,,,
64,quail,quail_32_100,0.4375,0.319
65,quail,quail_32_13,0.53125,0.389
66,quail,quail_32_21,0.375,0.311
67,quail,quail_32_42,0.5,0.387
68,quail,quail_32_87,0.625,0.372
69,quail,mean,0.49375,0.3556
70,quail,std,0.08477912478906585,0.033761516553614715
71,,,,
72,quoref,quoref_32_100,0.515625,0.3520658254529222
73,quoref,quoref_32_13,0.6,0.4290631113211758
74,quoref,quoref_32_21,0.5416666666666666,0.4002766200346845
75,quoref,quoref_32_42,0.4970238095238095,0.3877099006131264
76,quoref,quoref_32_87,0.5625,0.4577300536977955
77,quoref,mean,0.5433630952380952,0.4053691022239409
78,quoref,std,0.03603767279589815,0.03600582007746614
79,,,,
80,samsum,samsum_32_100,0.4347036288141139,0.3779549420701185
