,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4539682539682539,0.0314806234555533
1,anli,anli_16_13,0.4193817878028404,0.0342249945988095
2,anli,anli_16_21,0.4257703081232493,0.0242568881455324
3,anli,anli_16_42,0.4419265114917288,0.0205960879171534
4,anli,anli_16_87,0.3994601889338731,0.0322819529345584
5,anli,mean,0.4281014100639891,0.028568109410321403
6,anli,std,0.018772386313488952,0.005223322262763951
7,,,,
8,glue-mnli,glue-mnli_16_100,0.5416666666666666,0.439
9,glue-mnli,glue-mnli_16_13,0.4791666666666667,0.386
10,glue-mnli,glue-mnli_16_21,0.5208333333333334,0.403
11,glue-mnli,glue-mnli_16_42,0.4791666666666667,0.424
12,glue-mnli,glue-mnli_16_87,0.5833333333333334,0.396
13,glue-mnli,mean,0.5208333333333333,0.4096
14,glue-mnli,std,0.03952847075210474,0.019272778730634554
15,,,,
16,glue-qnli,glue-qnli_16_100,0.65625,0.498
17,glue-qnli,glue-qnli_16_13,0.59375,0.565
18,glue-qnli,glue-qnli_16_21,0.75,0.508
19,glue-qnli,glue-qnli_16_42,0.5625,0.502
20,glue-qnli,glue-qnli_16_87,0.59375,0.594
21,glue-qnli,mean,0.63125,0.5334
22,glue-qnli,std,0.0667317390751957,0.03887209796242028
23,,,,
24,glue-rte,glue-rte_16_100,0.65625,0.5451263537906137
25,glue-rte,glue-rte_16_13,0.625,0.5270758122743683
26,glue-rte,glue-rte_16_21,0.625,0.5054151624548736
27,glue-rte,glue-rte_16_42,0.625,0.5631768953068592
28,glue-rte,glue-rte_16_87,0.65625,0.483754512635379
29,glue-rte,mean,0.6375,0.5249097472924188
30,glue-rte,std,0.015309310892394862,0.0281125232258943
31,,,,
32,glue-wnli,glue-wnli_16_100,0.6875,0.4084507042253521
33,glue-wnli,glue-wnli_16_13,0.6875,0.4929577464788732
34,glue-wnli,glue-wnli_16_21,0.65625,0.5352112676056338
35,glue-wnli,glue-wnli_16_42,0.6875,0.4507042253521127
36,glue-wnli,glue-wnli_16_87,0.5,0.4366197183098591
37,glue-wnli,mean,0.64375,0.4647887323943662
38,glue-wnli,std,0.07288689868556626,0.04453912197420251
39,,,,
40,scitail,scitail_16_100,0.5636363636363637,0.0047563445866493
41,scitail,scitail_16_13,0.3992490613266583,0.0402182757312716
42,scitail,scitail_16_21,0.5588547189819725,0.027935193761474
43,scitail,scitail_16_42,0.3992490613266583,0.0280968105443345
44,scitail,scitail_16_87,0.4385964912280702,0.0190066287388723
45,scitail,mean,0.47191713929994455,0.02400265067252034
46,scitail,std,0.07435337729308099,0.011752055729624337
47,,,,
48,sick,sick_16_100,0.7083333333333334,0.143627114372726
49,sick,sick_16_13,0.5208333333333334,0.0622871734153397
50,sick,sick_16_21,0.5671335200746965,0.0765165734345133
51,sick,sick_16_42,0.6261699507389162,0.1150474493595662
52,sick,sick_16_87,0.6351531001416585,0.093623653733623
53,sick,mean,0.6115246475243875,0.09822039286315365
54,sick,std,0.06378118373524046,0.02873430784578622
55,,,,
56,superglue-cb,superglue-cb_16_100,0.6875,0.6785714285714286
57,superglue-cb,superglue-cb_16_13,0.71875,0.6964285714285714
58,superglue-cb,superglue-cb_16_21,0.90625,0.6964285714285714
59,superglue-cb,superglue-cb_16_42,0.625,0.7678571428571429
60,superglue-cb,superglue-cb_16_87,0.71875,0.7678571428571429
61,superglue-cb,mean,0.73125,0.7214285714285713
62,superglue-cb,std,0.09395810236483067,0.03846546290810362
63,,,,
64,superglue-rte,superglue-rte_16_100,0.6875,0.5740072202166066
65,superglue-rte,superglue-rte_16_13,0.65625,0.5126353790613718
66,superglue-rte,superglue-rte_16_21,0.65625,0.4801444043321299
67,superglue-rte,superglue-rte_16_42,0.625,0.555956678700361
68,superglue-rte,superglue-rte_16_87,0.75,0.516245487364621
69,superglue-rte,mean,0.675,0.5277978339350181
70,superglue-rte,std,0.042389562394532926,0.0333539623464292
71,,,,
