,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.21875,0.2508361204013378
1,ai2_arc,ai2_arc_32_13,0.46875,0.2408026755852843
2,ai2_arc,ai2_arc_32_21,0.28125,0.2441471571906354
3,ai2_arc,ai2_arc_32_42,0.40625,0.2842809364548495
4,ai2_arc,ai2_arc_32_87,0.375,0.2541806020066889
5,ai2_arc,mean,0.35,0.25484949832775916
6,ai2_arc,std,0.08926785535678562,0.015457150512764336
7,,,,
8,codah,codah_32_100,0.3061224489795918,0.2443052391799544
9,codah,codah_32_13,0.2549019607843137,0.1806752873563218
10,codah,codah_32_21,0.2307692307692307,0.1964220518437386
11,codah,codah_32_42,0.1636363636363636,0.2248322147651006
12,codah,codah_32_87,0.3333333333333333,0.2353603603603603
13,codah,mean,0.25775266750056663,0.21631903070109515
14,codah,std,0.05940737975660614,0.024019328093853032
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.4375,0.264
17,cosmos_qa,cosmos_qa_32_13,0.3125,0.209
18,cosmos_qa,cosmos_qa_32_21,0.34375,0.286
19,cosmos_qa,cosmos_qa_32_42,0.40625,0.291
20,cosmos_qa,cosmos_qa_32_87,0.28125,0.327
21,cosmos_qa,mean,0.35625,0.2754
22,cosmos_qa,std,0.05796011559684815,0.038877242700582564
23,,,,
24,dream,dream_32_100,0.4375,0.39
25,dream,dream_32_13,0.40625,0.33
26,dream,dream_32_21,0.5625,0.446
27,dream,dream_32_42,0.40625,0.352
28,dream,dream_32_87,0.34375,0.381
29,dream,mean,0.43125,0.37979999999999997
30,dream,std,0.0723489806424389,0.039346664407545404
31,,,,
32,hellaswag,hellaswag_32_100,0.5,0.347
33,hellaswag,hellaswag_32_13,0.53125,0.316
34,hellaswag,hellaswag_32_21,0.375,0.284
35,hellaswag,hellaswag_32_42,0.5,0.274
36,hellaswag,hellaswag_32_87,0.4375,0.269
37,hellaswag,mean,0.46875,0.29800000000000004
38,hellaswag,std,0.05590169943749474,0.029455050500720573
39,,,,
40,openbookqa,openbookqa_32_100,0.46875,0.286
41,openbookqa,openbookqa_32_13,0.375,0.302
42,openbookqa,openbookqa_32_21,0.53125,0.25
43,openbookqa,openbookqa_32_42,0.5625,0.322
44,openbookqa,openbookqa_32_87,0.53125,0.31
45,openbookqa,mean,0.49375,0.294
46,openbookqa,std,0.0667317390751957,0.0249158584038359
47,,,,
48,qasc,qasc_32_100,0.28125,0.2548596112311015
49,qasc,qasc_32_13,0.34375,0.2138228941684665
50,qasc,qasc_32_21,0.3125,0.1544276457883369
51,qasc,qasc_32_42,0.25,0.193304535637149
52,qasc,qasc_32_87,0.3125,0.1706263498920086
53,qasc,mean,0.3,0.19740820734341252
54,qasc,std,0.0318688719599549,0.035075753545264626
55,,,,
56,quail,quail_32_100,0.34375,0.266
57,quail,quail_32_13,0.34375,0.297
58,quail,quail_32_21,0.34375,0.251
59,quail,quail_32_42,0.4375,0.268
60,quail,quail_32_87,0.53125,0.283
61,quail,mean,0.4,0.27299999999999996
62,quail,std,0.075,0.015709869509324376
63,,,,
64,quarel,quarel_32_100,0.65625,0.4676258992805755
65,quarel,quarel_32_13,0.53125,0.5179856115107914
66,quarel,quarel_32_21,0.53125,0.4748201438848921
67,quarel,quarel_32_42,0.5,0.4316546762589928
68,quarel,quarel_32_87,0.5625,0.4748201438848921
69,quarel,mean,0.55625,0.47338129496402875
70,quarel,std,0.053764532919016415,0.027451487810559592
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.625,0.4765625
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.625,0.4765625
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.5625,0.4713541666666667
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.59375,0.4739583333333333
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.5625,0.4921875
77,quartz-no_knowledge,mean,0.59375,0.478125
78,quartz-no_knowledge,std,0.02795084971874737,0.007291666666666666
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.625,0.46875
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.625,0.4739583333333333
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.59375,0.4635416666666667
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.625,0.4713541666666667
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.46875,0.5286458333333334
85,quartz-with_knowledge,mean,0.5875,0.48125
86,quartz-with_knowledge,std,0.06059599821770412,0.023947008192859696
87,,,,
88,sciq,sciq_32_100,0.875,0.8737316798196166
89,sciq,sciq_32_13,0.90625,0.8365276211950394
90,sciq,sciq_32_21,0.875,0.85456595264938
91,sciq,sciq_32_42,0.875,0.7666290868094702
92,sciq,sciq_32_87,0.9375,0.8602029312288614
93,sciq,mean,0.89375,0.8383314543404735
94,sciq,std,0.025,0.03778777507121316
95,,,,
96,superglue-copa,superglue-copa_32_100,0.5625,0.48
