,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.375,0.2508361204013378
1,ai2_arc,ai2_arc_32_13,0.375,0.2408026755852843
2,ai2_arc,ai2_arc_32_21,0.34375,0.2909698996655518
3,ai2_arc,ai2_arc_32_42,0.4375,0.2140468227424749
4,ai2_arc,ai2_arc_32_87,0.375,0.2274247491638795
5,ai2_arc,mean,0.38125,0.24481605351170566
6,ai2_arc,std,0.030618621784789725,0.026198202043566744
7,,,,
8,codah,codah_32_100,0.3333333333333333,0.215478841870824
9,codah,codah_32_13,0.28,0.1925036390101892
10,codah,codah_32_21,0.391304347826087,0.2075055187637969
11,codah,codah_32_42,0.2549019607843137,0.2123893805309734
12,codah,codah_32_87,0.3061224489795918,0.2124219037118706
13,codah,mean,0.31313241818466514,0.20805985677753083
14,codah,std,0.047024696764106505,0.008186779233153158
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.5,0.308
17,cosmos_qa,cosmos_qa_32_13,0.375,0.256
18,cosmos_qa,cosmos_qa_32_21,0.4375,0.29
19,cosmos_qa,cosmos_qa_32_42,0.4375,0.313
20,cosmos_qa,cosmos_qa_32_87,0.4375,0.319
21,cosmos_qa,mean,0.4375,0.2972
22,cosmos_qa,std,0.03952847075210474,0.02276312808029687
23,,,,
24,dream,dream_32_100,0.5625,0.405
25,dream,dream_32_13,0.46875,0.324
26,dream,dream_32_21,0.5625,0.455
27,dream,dream_32_42,0.40625,0.329
28,dream,dream_32_87,0.375,0.402
29,dream,mean,0.475,0.383
30,dream,std,0.07756046028744286,0.049851780309232686
31,,,,
32,hellaswag,hellaswag_32_100,0.40625,0.342
33,hellaswag,hellaswag_32_13,0.34375,0.255
34,hellaswag,hellaswag_32_21,0.3125,0.259
35,hellaswag,hellaswag_32_42,0.4375,0.337
36,hellaswag,hellaswag_32_87,0.34375,0.255
37,hellaswag,mean,0.36875,0.28959999999999997
38,hellaswag,std,0.04592793267718459,0.04080000000000001
39,,,,
40,openbookqa,openbookqa_32_100,0.5,0.266
41,openbookqa,openbookqa_32_13,0.46875,0.298
42,openbookqa,openbookqa_32_21,0.4375,0.332
43,openbookqa,openbookqa_32_42,0.4375,0.324
44,openbookqa,openbookqa_32_87,0.53125,0.322
45,openbookqa,mean,0.475,0.30840000000000006
46,openbookqa,std,0.03644344934278313,0.024046621384302618
47,,,,
48,qasc,qasc_32_100,0.28125,0.3650107991360691
49,qasc,qasc_32_13,0.40625,0.2861771058315335
50,qasc,qasc_32_21,0.3125,0.244060475161987
51,qasc,qasc_32_42,0.3125,0.234341252699784
52,qasc,qasc_32_87,0.34375,0.2257019438444924
53,qasc,mean,0.33125,0.2710583153347732
54,qasc,std,0.042389562394532926,0.05136121792913225
55,,,,
56,quail,quail_32_100,0.375,0.308
57,quail,quail_32_13,0.375,0.347
58,quail,quail_32_21,0.34375,0.268
59,quail,quail_32_42,0.5625,0.31
60,quail,quail_32_87,0.5,0.321
61,quail,mean,0.43125,0.3108
62,quail,std,0.08477912478906585,0.025513917770503207
63,,,,
64,quarel,quarel_32_100,0.75,0.4712230215827338
