,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4738512949039264,0.109902596214066
1,anli,anli_16_13,0.5657451710083289,0.1015471441308838
2,anli,anli_16_21,0.4537574324808367,0.1320349452077906
3,anli,anli_16_42,0.3722222222222222,0.1544027443239014
4,anli,anli_16_87,0.4797338173018753,0.2393348143855242
5,anli,mean,0.4690619875834379,0.14744444885243319
6,anli,std,0.06180070053555121,0.04948871232204617
7,,,,
8,glue-mnli,glue-mnli_16_100,0.5416666666666666,0.302
9,glue-mnli,glue-mnli_16_13,0.5833333333333334,0.398
10,glue-mnli,glue-mnli_16_21,0.6041666666666666,0.373
11,glue-mnli,glue-mnli_16_42,0.4375,0.346
12,glue-mnli,glue-mnli_16_87,0.4375,0.345
13,glue-mnli,mean,0.5208333333333333,0.3528
14,glue-mnli,std,0.07095577652469334,0.03205869616812263
15,,,,
16,glue-qnli,glue-qnli_16_100,0.78125,0.506
17,glue-qnli,glue-qnli_16_13,0.75,0.566
18,glue-qnli,glue-qnli_16_21,0.6875,0.505
19,glue-qnli,glue-qnli_16_42,0.75,0.557
20,glue-qnli,glue-qnli_16_87,0.625,0.469
21,glue-qnli,mean,0.71875,0.5206
22,glue-qnli,std,0.05590169943749474,0.03606993207645393
23,,,,
24,glue-rte,glue-rte_16_100,0.71875,0.4620938628158845
25,glue-rte,glue-rte_16_13,0.6875,0.6101083032490975
26,glue-rte,glue-rte_16_21,0.59375,0.4259927797833935
27,glue-rte,glue-rte_16_42,0.59375,0.4729241877256318
28,glue-rte,glue-rte_16_87,0.71875,0.5054151624548736
29,glue-rte,mean,0.6625,0.4953068592057762
30,glue-rte,std,0.057282196186948006,0.06275361036141737
31,,,,
32,glue-wnli,glue-wnli_16_100,0.75,0.4084507042253521
33,glue-wnli,glue-wnli_16_13,0.65625,0.5915492957746479
34,glue-wnli,glue-wnli_16_21,0.71875,0.5070422535211268
35,glue-wnli,glue-wnli_16_42,0.875,0.4647887323943662
36,glue-wnli,glue-wnli_16_87,0.65625,0.4788732394366197
37,glue-wnli,mean,0.73125,0.4901408450704225
38,glue-wnli,std,0.08052561704203204,0.06002049507792258
39,,,,
40,scitail,scitail_16_100,0.6476476476476476,0.5014895252738805
41,scitail,scitail_16_13,0.6761133603238867,0.3342885919280648
42,scitail,scitail_16_21,0.746031746031746,0.5707148359125963
43,scitail,scitail_16_42,0.7757757757757757,0.2407812518884685
44,scitail,scitail_16_87,0.8125,0.3201729681151348
45,scitail,mean,0.7316137059558112,0.39348943462362895
46,scitail,std,0.06136994079790312,0.12269694010359777
47,,,,
48,sick,sick_16_100,0.7729575163398693,0.175052856403523
49,sick,sick_16_13,0.6604658957600135,0.3071748477519311
50,sick,sick_16_21,0.7024509803921569,0.2084508664916519
51,sick,sick_16_42,0.7240896358543417,0.1480448413786051
52,sick,sick_16_87,0.7857654889912954,0.5357278857870832
53,sick,mean,0.7291459034675354,0.27489025956255886
54,sick,std,0.04600078935461761,0.14110281501404176
55,,,,
56,superglue-cb,superglue-cb_16_100,0.71875,0.4464285714285714
57,superglue-cb,superglue-cb_16_13,0.78125,0.4821428571428571
58,superglue-cb,superglue-cb_16_21,0.84375,0.5178571428571429
59,superglue-cb,superglue-cb_16_42,0.78125,0.6428571428571429
60,superglue-cb,superglue-cb_16_87,0.78125,0.625
61,superglue-cb,mean,0.78125,0.5428571428571429
62,superglue-cb,std,0.03952847075210474,0.07791937224739798
63,,,,
64,superglue-rte,superglue-rte_16_100,0.71875,0.4801444043321299
65,superglue-rte,superglue-rte_16_13,0.6875,0.4981949458483754
66,superglue-rte,superglue-rte_16_21,0.6875,0.4548736462093863
67,superglue-rte,superglue-rte_16_42,0.59375,0.5487364620938628
68,superglue-rte,superglue-rte_16_87,0.6875,0.5234657039711191
69,superglue-rte,mean,0.675,0.5010830324909747
70,superglue-rte,std,0.042389562394532926,0.03272279911516148
71,,,,
