,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.90625,0.840499306518724
1,acronym_identification,acronym_identification_32_13,0.875,0.8210818307905686
2,acronym_identification,acronym_identification_32_21,0.90625,0.8391123439667129
3,acronym_identification,acronym_identification_32_42,0.90625,0.8793342579750347
4,acronym_identification,acronym_identification_32_87,0.875,0.871012482662968
5,acronym_identification,mean,0.89375,0.8502080443828015
6,acronym_identification,std,0.015309310892394862,0.021665047644678675
7,,,,
8,ai2_arc,ai2_arc_32_100,0.34375,0.2341137123745819
9,ai2_arc,ai2_arc_32_13,0.34375,0.2575250836120401
10,ai2_arc,ai2_arc_32_21,0.4375,0.2341137123745819
11,ai2_arc,ai2_arc_32_42,0.40625,0.2240802675585284
12,ai2_arc,ai2_arc_32_87,0.34375,0.1939799331103679
13,ai2_arc,mean,0.375,0.22876254180602004
14,ai2_arc,std,0.03952847075210474,0.020573319731410945
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.875,0.79
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.90625,0.62
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.78125,0.75
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.8125,0.54
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.62
21,blimp-anaphor_gender_agreement,mean,0.8125,0.664
22,blimp-anaphor_gender_agreement,std,0.07654655446197431,0.09221713506718802
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.96875,0.95
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.96875,0.98
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,0.98
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,1.0
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,1.0,0.985
29,blimp-ellipsis_n_bar_1,mean,0.9875,0.9790000000000001
30,blimp-ellipsis_n_bar_1,std,0.015309310892394862,0.016248076809271934
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0296391752577319
33,break-QDMR,break-QDMR_32_13,0.03125,0.0237113402061855
34,break-QDMR,break-QDMR_32_21,0.0625,0.0243556701030927
35,break-QDMR,break-QDMR_32_42,0.09375,0.0237113402061855
36,break-QDMR,break-QDMR_32_87,0.09375,0.0185567010309278
37,break-QDMR,mean,0.08125,0.02399484536082468
38,break-QDMR,std,0.03186887195995491,0.0035134831315364813
39,,,,
40,common_gen,common_gen_32_100,0.4396670541580241,0.3927733793839184
