,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.34375,0.2341137123745819
1,ai2_arc,ai2_arc_32_13,0.34375,0.2575250836120401
2,ai2_arc,ai2_arc_32_21,0.4375,0.2341137123745819
3,ai2_arc,ai2_arc_32_42,0.40625,0.2240802675585284
4,ai2_arc,ai2_arc_32_87,0.34375,0.1939799331103679
5,ai2_arc,mean,0.375,0.22876254180602004
6,ai2_arc,std,0.03952847075210474,0.020573319731410945
7,,,,
8,codah,codah_32_100,0.3061224489795918,0.1797891675754271
9,codah,codah_32_13,0.2549019607843137,0.143308746048472
10,codah,codah_32_21,0.2549019607843137,0.1548250265111346
11,codah,codah_32_42,0.2549019607843137,0.1538190777895107
12,codah,codah_32_87,0.28,0.157279489904357
13,codah,mean,0.27016566626650657,0.15780430156578026
14,codah,std,0.02043793755836985,0.011987401544084812
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.40625,0.245
17,cosmos_qa,cosmos_qa_32_13,0.4375,0.193
18,cosmos_qa,cosmos_qa_32_21,0.40625,0.233
19,cosmos_qa,cosmos_qa_32_42,0.34375,0.269
20,cosmos_qa,cosmos_qa_32_87,0.34375,0.236
21,cosmos_qa,mean,0.3875,0.23520000000000002
22,cosmos_qa,std,0.0375,0.024595934623429135
23,,,,
24,dream,dream_32_100,0.46875,0.29
25,dream,dream_32_13,0.46875,0.291
26,dream,dream_32_21,0.40625,0.312
27,dream,dream_32_42,0.375,0.306
28,dream,dream_32_87,0.375,0.279
29,dream,mean,0.41875,0.29560000000000003
30,dream,std,0.042389562394532926,0.011876026271442812
31,,,,
32,hellaswag,hellaswag_32_100,0.4375,0.253
33,hellaswag,hellaswag_32_13,0.40625,0.256
34,hellaswag,hellaswag_32_21,0.4375,0.269
35,hellaswag,hellaswag_32_42,0.46875,0.24
36,hellaswag,hellaswag_32_87,0.375,0.249
37,hellaswag,mean,0.425,0.25339999999999996
38,hellaswag,std,0.03186887195995491,0.009478396488858237
39,,,,
40,openbookqa,openbookqa_32_100,0.4375,0.25
41,openbookqa,openbookqa_32_13,0.59375,0.284
42,openbookqa,openbookqa_32_21,0.40625,0.284
43,openbookqa,openbookqa_32_42,0.40625,0.306
44,openbookqa,openbookqa_32_87,0.4375,0.306
45,openbookqa,mean,0.45625,0.28600000000000003
46,openbookqa,std,0.0701560760020114,0.020513410247932934
47,,,,
48,qasc,qasc_32_100,0.25,0.0907127429805615
49,qasc,qasc_32_13,0.25,0.1166306695464362
50,qasc,qasc_32_21,0.28125,0.1123110151187904
51,qasc,qasc_32_42,0.25,0.1187904967602591
52,qasc,qasc_32_87,0.15625,0.0971922246220302
53,qasc,mean,0.2375,0.10712742980561547
54,qasc,std,0.042389562394532926,0.011147721728348957
55,,,,
56,quail,quail_32_100,0.25,0.167
57,quail,quail_32_13,0.4375,0.235
58,quail,quail_32_21,0.34375,0.241
59,quail,quail_32_42,0.4375,0.266
60,quail,quail_32_87,0.375,0.218
61,quail,mean,0.36875,0.2254
62,quail,std,0.06959705453537526,0.033012724819378364
63,,,,
64,quarel,quarel_32_100,0.625,0.4136690647482014
65,quarel,quarel_32_13,0.53125,0.5215827338129496
66,quarel,quarel_32_21,0.53125,0.4712230215827338
67,quarel,quarel_32_42,0.59375,0.4244604316546763
68,quarel,quarel_32_87,0.65625,0.4712230215827338
69,quarel,mean,0.5875,0.46043165467625896
70,quarel,std,0.05,0.0386083679568309
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.59375,0.4557291666666667
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.53125,0.4348958333333333
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.59375,0.4765625
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.5625,0.4739583333333333
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.65625,0.4739583333333333
77,quartz-no_knowledge,mean,0.5875,0.4630208333333333
78,quartz-no_knowledge,std,0.0414578098794425,0.015917402906183466
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.625,0.4244791666666667
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.5625,0.4244791666666667
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.65625,0.4869791666666667
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.625,0.4765625
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.65625,0.4869791666666667
85,quartz-with_knowledge,mean,0.625,0.4598958333333333
86,quartz-with_knowledge,std,0.03423265984407288,0.029166666666666667
87,,,,
88,sciq,sciq_32_100,0.9375,0.8500563697857948
89,sciq,sciq_32_13,0.90625,0.8060879368658399
90,sciq,sciq_32_21,0.9375,0.7880496054114995
91,sciq,sciq_32_42,0.84375,0.7282976324689966
92,sciq,sciq_32_87,0.90625,0.8489289740698985
93,sciq,mean,0.90625,0.8042841037204059
94,sciq,std,0.03423265984407288,0.04500893545038244
95,,,,
96,superglue-copa,superglue-copa_32_100,0.65625,0.46
97,superglue-copa,superglue-copa_32_13,0.6875,0.49
98,superglue-copa,superglue-copa_32_21,0.71875,0.56
99,superglue-copa,superglue-copa_32_42,0.5625,0.49
100,superglue-copa,superglue-copa_32_87,0.625,0.5
101,superglue-copa,mean,0.65,0.5
102,superglue-copa,std,0.053764532919016415,0.03286335345030998
103,,,,
104,swag,swag_32_100,0.4375,0.27
105,swag,swag_32_13,0.40625,0.275
106,swag,swag_32_21,0.5,0.28
107,swag,swag_32_42,0.40625,0.275
108,swag,swag_32_87,0.40625,0.263
109,swag,mean,0.43125,0.2726
110,swag,std,0.03644344934278313,0.005748043145279971
111,,,,
112,wino_grande,wino_grande_32_100,0.625,0.493
113,wino_grande,wino_grande_32_13,0.6875,0.477
114,wino_grande,wino_grande_32_21,0.6875,0.483
115,wino_grande,wino_grande_32_42,0.75,0.485
116,wino_grande,wino_grande_32_87,0.625,0.485
117,wino_grande,mean,0.675,0.4845999999999999
118,wino_grande,std,0.046770717334674264,0.005122499389946284
119,,,,
120,wiqa,wiqa_32_100,0.53125,0.391
121,wiqa,wiqa_32_13,0.5,0.353
122,wiqa,wiqa_32_21,0.5,0.317
123,wiqa,wiqa_32_42,0.5,0.385
124,wiqa,wiqa_32_87,0.46875,0.343
125,wiqa,mean,0.5,0.3578
126,wiqa,std,0.01976423537605237,0.02738174574419973
127,,,,
