,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.71875,0.5880721220527045
1,acronym_identification,acronym_identification_32_13,0.6875,0.7350901525658807
2,acronym_identification,acronym_identification_32_21,0.84375,0.8335644937586685
3,acronym_identification,acronym_identification_32_42,0.6875,0.6629680998613038
4,acronym_identification,acronym_identification_32_87,0.6875,0.6282940360610264
5,acronym_identification,mean,0.725,0.6895977808599169
6,acronym_identification,std,0.06059599821770412,0.08668416088190393
7,,,,
8,ai2_arc,ai2_arc_32_100,0.25,0.2441471571906354
9,ai2_arc,ai2_arc_32_13,0.34375,0.217391304347826
10,ai2_arc,ai2_arc_32_21,0.3125,0.2374581939799331
11,ai2_arc,ai2_arc_32_42,0.4375,0.1839464882943143
12,ai2_arc,ai2_arc_32_87,0.34375,0.2207357859531772
13,ai2_arc,mean,0.3375,0.2207357859531772
14,ai2_arc,std,0.06059599821770411,0.020939767013375975
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.5625,0.56
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.59375,0.505
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.9375,0.585
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.59375,0.505
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.495
21,blimp-anaphor_gender_agreement,mean,0.675,0.53
22,blimp-anaphor_gender_agreement,std,0.13778379803155377,0.03577708763999663
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.78125,0.815
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,0.8125,0.53
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,0.8125,0.51
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.53125,0.49
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.6875,0.505
29,blimp-ellipsis_n_bar_1,mean,0.725,0.57
30,blimp-ellipsis_n_bar_1,std,0.10716517624676404,0.12316655390161728
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0268041237113402
33,break-QDMR,break-QDMR_32_13,0.0625,0.0220360824742268
34,break-QDMR,break-QDMR_32_21,0.09375,0.0342783505154639
35,break-QDMR,break-QDMR_32_42,0.09375,0.0411082474226804
36,break-QDMR,break-QDMR_32_87,0.0625,0.0224226804123711
37,break-QDMR,mean,0.0875,0.029329896907216484
38,break-QDMR,std,0.023385358667337132,0.007355346802220352
39,,,,
40,common_gen,common_gen_32_100,0.4153151578302535,0.4600894271344081
41,common_gen,common_gen_32_13,0.4077289202973391,0.4174378137879839
42,common_gen,common_gen_32_21,0.4715812337486443,0.4276095517690454
43,common_gen,common_gen_32_42,0.4826357921362555,0.3748105078476963
44,common_gen,common_gen_32_87,0.4656280708647521,0.4407608579851284
45,common_gen,mean,0.4485778349754489,0.4241416317048524
46,common_gen,std,0.030837804286984728,0.0284919992406445
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.5990783410138248
49,crawl_domain,crawl_domain_32_13,0.625,0.5791090629800307
50,crawl_domain,crawl_domain_32_21,0.6875,0.5908858166922683
51,crawl_domain,crawl_domain_32_42,0.71875,0.6185355862775218
52,crawl_domain,crawl_domain_32_87,0.75,0.6149513568868408
53,crawl_domain,mean,0.71875,0.6005120327700972
54,crawl_domain,std,0.0625,0.014738718979931223
55,,,,
56,multi_news,multi_news_32_100,0.2435641076999955,0.2471099953161868
57,multi_news,multi_news_32_13,0.2708665841151626,0.247664523585374
58,multi_news,multi_news_32_21,0.2470258995505754,0.2508775855702864
59,multi_news,multi_news_32_42,0.2642771567736864,0.2484596720405088
60,multi_news,multi_news_32_87,0.2694353788053326,0.2545995515725366
61,multi_news,mean,0.2590338253889505,0.2497422656169785
62,multi_news,std,0.011482172833332884,0.0027485662960593992
63,,,,
64,quail,quail_32_100,0.34375,0.213
65,quail,quail_32_13,0.25,0.171
66,quail,quail_32_21,0.28125,0.162
67,quail,quail_32_42,0.28125,0.2
68,quail,quail_32_87,0.46875,0.294
69,quail,mean,0.325,0.20800000000000002
70,quail,std,0.07806247497997998,0.046840153714521465
71,,,,
72,quoref,quoref_32_100,0.3645833333333333,0.2567606527283946
73,quoref,quoref_32_13,0.40625,0.2230776392066714
74,quoref,quoref_32_21,0.30625,0.2181771633384536
75,quoref,quoref_32_42,0.2343749999999999,0.1729252826027019
76,quoref,quoref_32_87,0.4062499999999999,0.280838158257513
77,quoref,mean,0.3435416666666667,0.2303557792267469
78,quoref,std,0.06575021123751451,0.03672938846982021
79,,,,
80,samsum,samsum_32_100,0.4081538102957584,0.3613014690523959
81,samsum,samsum_32_13,0.4102449648886863,0.3655977882590372
82,samsum,samsum_32_21,0.3826830412924108,0.3627891448647395
83,samsum,samsum_32_42,0.373267138930146,0.3970478675489032
84,samsum,samsum_32_87,0.4418446346089697,0.3651922106206611
85,samsum,mean,0.40323871800319433,0.37038569606914734
86,samsum,std,0.024018716959101745,0.01342384826352507
87,,,,
88,search_qa,search_qa_32_100,0.0,0.003
89,search_qa,search_qa_32_13,0.03125,0.005
90,search_qa,search_qa_32_21,0.0625,0.01
91,search_qa,search_qa_32_42,0.03125,0.006
92,search_qa,search_qa_32_87,0.0,0.005
93,search_qa,mean,0.025,0.0058000000000000005
94,search_qa,std,0.023385358667337135,0.002315167380558045
95,,,,
96,squad-with_context,squad-with_context_32_100,0.3817708333333333,0.3461495798319328
97,squad-with_context,squad-with_context_32_13,0.5518823099415204,0.5519880952380953
98,squad-with_context,mean,0.46682657163742686,0.44906883753501403
99,squad-with_context,std,0.08505573830409358,0.10291925770308127
100,,,,
101,superglue-copa,superglue-copa_32_100,0.6875,0.4
102,superglue-copa,superglue-copa_32_13,0.71875,0.51
103,superglue-copa,superglue-copa_32_21,0.71875,0.5
104,superglue-copa,superglue-copa_32_42,0.59375,0.56
105,superglue-copa,superglue-copa_32_87,0.65625,0.5
106,superglue-copa,mean,0.675,0.49400000000000005
107,superglue-copa,std,0.04677071733467427,0.052000000000000005
108,,,,
109,wiki_split,wiki_split_32_100,0.8853700942222158,0.8758946571265744
110,wiki_split,wiki_split_32_13,0.8787838136807226,0.8882504757463683
111,wiki_split,wiki_split_32_21,0.8969498758560646,0.8868256980979972
112,wiki_split,wiki_split_32_42,0.9063491358037624,0.8888110107981343
113,wiki_split,wiki_split_32_87,0.8745883879144616,0.8847630392759184
114,wiki_split,mean,0.8884082614954455,0.8849089762089986
115,wiki_split,std,0.011727604262978746,0.00471899485062259
116,,,,
