,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.8432732316227461
1,acronym_identification,acronym_identification_32_13,0.78125,0.8335644937586685
2,acronym_identification,acronym_identification_32_21,0.8125,0.8183079056865464
3,acronym_identification,acronym_identification_32_42,0.90625,0.840499306518724
4,acronym_identification,acronym_identification_32_87,0.8125,0.7933425797503467
5,acronym_identification,mean,0.8375,0.8257975034674063
6,acronym_identification,std,0.04592793267718459,0.018391771932594475
7,,,,
8,ai2_arc,ai2_arc_32_100,0.28125,0.2374581939799331
9,ai2_arc,ai2_arc_32_13,0.375,0.2642140468227424
10,ai2_arc,ai2_arc_32_21,0.375,0.2374581939799331
11,ai2_arc,ai2_arc_32_42,0.40625,0.2207357859531772
12,ai2_arc,ai2_arc_32_87,0.375,0.1839464882943143
13,ai2_arc,mean,0.3625,0.22876254180602001
14,ai2_arc,std,0.042389562394532926,0.026385395215138507
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.75,0.665
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.6875,0.485
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.84375,0.63
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.71875,0.53
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.625,0.6
21,blimp-anaphor_gender_agreement,mean,0.725,0.582
22,blimp-anaphor_gender_agreement,std,0.0723489806424389,0.06577233460962141
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,1.0,0.995
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,0.985
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,0.995
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,0.96875,0.975
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,0.875,0.585
29,blimp-ellipsis_n_bar_1,mean,0.96875,0.907
30,blimp-ellipsis_n_bar_1,std,0.04841229182759271,0.16117071694324625
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0375
33,break-QDMR,break-QDMR_32_13,0.03125,0.0309278350515463
34,break-QDMR,break-QDMR_32_21,0.0625,0.0225515463917525
35,break-QDMR,break-QDMR_32_42,0.09375,0.0327319587628866
36,break-QDMR,break-QDMR_32_87,0.125,0.0302835051546391
37,break-QDMR,mean,0.0875,0.0307989690721649
38,break-QDMR,std,0.036443449342783124,0.004836166973968801
39,,,,
40,common_gen,common_gen_32_100,0.4545488774509728,0.4576096975154931
41,common_gen,common_gen_32_13,0.3982695381280977,0.4315115740573177
42,common_gen,common_gen_32_21,0.4523803359070553,0.4051193397695158
43,common_gen,common_gen_32_42,0.4788531585379141,0.3536223887467966
44,common_gen,common_gen_32_87,0.4634814845546576,0.4369477865661217
45,common_gen,mean,0.4495066789157395,0.416962157331049
46,common_gen,std,0.027259630685412164,0.035820418864510296
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.6082949308755761
49,crawl_domain,crawl_domain_32_13,0.59375,0.5837173579109063
50,crawl_domain,crawl_domain_32_21,0.65625,0.5985663082437276
51,crawl_domain,crawl_domain_32_42,0.78125,0.6006144393241167
52,crawl_domain,crawl_domain_32_87,0.78125,0.6221198156682027
53,crawl_domain,mean,0.725,0.6026625704045059
54,crawl_domain,std,0.08477912478906585,0.01257142123045481
55,,,,
56,multi_news,multi_news_32_100,0.250614765800408,0.2483661134376485
57,multi_news,multi_news_32_13,0.262726479401037,0.2404428119688962
58,multi_news,multi_news_32_21,0.2397774511881422,0.2475663089660975
59,multi_news,multi_news_32_42,0.26553648617519,0.2468543894135174
60,multi_news,multi_news_32_87,0.2725830186810686,0.2449687506432872
61,multi_news,mean,0.25824764024916913,0.24563967488588934
62,multi_news,std,0.011645591493504946,0.00283119907306069
63,,,,
64,quail,quail_32_100,0.34375,0.215
65,quail,quail_32_13,0.28125,0.201
66,quail,quail_32_21,0.21875,0.162
67,quail,quail_32_42,0.34375,0.004
68,quail,quail_32_87,0.46875,0.262
69,quail,mean,0.33125,0.1688
70,quail,std,0.082915619758885,0.08838868705892174
71,,,,
72,quoref,quoref_32_100,0.3614583333333333,0.2404890211341824
73,quoref,quoref_32_13,0.4735119047619047,0.2378549765646539
74,quoref,quoref_32_21,0.3333333333333333,0.2601385173965819
75,quoref,quoref_32_42,0.2395833333333333,0.2288254755996691
76,quoref,quoref_32_87,0.3177083333333333,0.3296911571105119
77,quoref,mean,0.34511904761904755,0.25939982956111984
78,quoref,std,0.07586795810041634,0.03660056522660249
79,,,,
80,samsum,samsum_32_100,0.424788850281257,0.375398732610557
81,samsum,samsum_32_13,0.4185372495112834,0.332648445438532
82,samsum,samsum_32_21,0.3879813598504131,0.3824299463962114
83,samsum,samsum_32_42,0.3821880423568893,0.3732516868624363
84,samsum,samsum_32_87,0.4256613531885937,0.3525372130284044
85,samsum,mean,0.40783137103768735,0.36325320486722823
86,samsum,std,0.01882383302972854,0.01825768157691445
87,,,,
88,search_qa,search_qa_32_100,0.03125,0.004
89,search_qa,search_qa_32_13,0.03125,0.005
90,search_qa,search_qa_32_21,0.0625,0.004
91,search_qa,search_qa_32_42,0.03125,0.004
92,search_qa,search_qa_32_87,0.0,0.001
93,search_qa,mean,0.03125,0.0036000000000000003
94,search_qa,std,0.01976423537605237,0.0013564659966250536
95,,,,
96,squad-with_context,squad-with_context_32_100,0.5023065476190476,0.3886825396825397
97,squad-with_context,squad-with_context_32_13,0.578057523616734,0.5085013708513709
98,squad-with_context,mean,0.5401820356178908,0.4485919552669553
99,squad-with_context,std,0.037875487998843216,0.05990941558441562
100,,,,
101,superglue-copa,superglue-copa_32_100,0.625,0.43
102,superglue-copa,superglue-copa_32_13,0.6875,0.51
103,superglue-copa,superglue-copa_32_21,0.6875,0.47
104,superglue-copa,superglue-copa_32_42,0.59375,0.47
105,superglue-copa,superglue-copa_32_87,0.59375,0.65
106,superglue-copa,mean,0.6375,0.506
107,superglue-copa,std,0.042389562394532926,0.07631513611335566
108,,,,
109,wiki_split,wiki_split_32_100,0.8945489400124247,0.8555845233264067
110,wiki_split,wiki_split_32_13,0.8850242304698748,0.8895667006974863
111,wiki_split,wiki_split_32_21,0.908319176968016,0.8672351063014572
112,wiki_split,wiki_split_32_42,0.9035347462720352,0.8900034587296637
113,wiki_split,wiki_split_32_87,0.8762783825684133,0.8833317829473469
114,wiki_split,mean,0.8935410952581527,0.877144314400472
115,wiki_split,std,0.01174579708567864,0.013571846134676942
116,,,,
