,task,entry,dev_performance,test_performance
0,acronym_identification,acronym_identification_32_100,0.875,0.8474341192787794
1,acronym_identification,acronym_identification_32_13,0.875,0.8515950069348127
2,acronym_identification,acronym_identification_32_21,0.84375,0.8543689320388349
3,acronym_identification,acronym_identification_32_42,0.875,0.8488210818307905
4,acronym_identification,acronym_identification_32_87,0.84375,0.8515950069348127
5,acronym_identification,mean,0.8625,0.850762829403606
6,acronym_identification,std,0.015309310892394862,0.0024182518410766555
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2508361204013378
9,ai2_arc,ai2_arc_32_13,0.4375,0.2341137123745819
10,ai2_arc,ai2_arc_32_21,0.375,0.2140468227424749
11,ai2_arc,ai2_arc_32_42,0.40625,0.2341137123745819
12,ai2_arc,ai2_arc_32_87,0.375,0.1906354515050167
13,ai2_arc,mean,0.38125,0.22474916387959865
14,ai2_arc,std,0.041457809879442496,0.020660127373218058
15,,,,
16,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_100,0.8125,0.705
17,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_13,0.84375,0.735
18,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_21,0.78125,0.76
19,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_42,0.9375,0.73
20,blimp-anaphor_gender_agreement,blimp-anaphor_gender_agreement_16_87,0.6875,0.66
21,blimp-anaphor_gender_agreement,mean,0.8125,0.7180000000000001
22,blimp-anaphor_gender_agreement,std,0.08149003006503311,0.033852621759621504
23,,,,
24,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_100,0.6875,0.445
25,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_13,1.0,0.985
26,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_21,1.0,1.0
27,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_42,1.0,0.98
28,blimp-ellipsis_n_bar_1,blimp-ellipsis_n_bar_1_16_87,1.0,1.0
29,blimp-ellipsis_n_bar_1,mean,0.9375,0.882
30,blimp-ellipsis_n_bar_1,std,0.125,0.2186458323407972
31,,,,
32,break-QDMR,break-QDMR_32_100,0.125,0.0266752577319587
33,break-QDMR,break-QDMR_32_13,0.09375,0.0345360824742268
34,break-QDMR,break-QDMR_32_21,0.09375,0.0342783505154639
35,break-QDMR,break-QDMR_32_42,0.09375,0.0331185567010309
36,break-QDMR,break-QDMR_32_87,0.09375,0.0201030927835051
37,break-QDMR,mean,0.1,0.02974226804123708
38,break-QDMR,std,0.012499999999999999,0.005608498516210428
39,,,,
40,common_gen,common_gen_32_100,0.4204225029034872,0.4163184054630106
41,common_gen,common_gen_32_13,0.3886226226181595,0.3952599977349949
42,common_gen,common_gen_32_21,0.4526629895146873,0.415245727063132
43,common_gen,common_gen_32_42,0.4751464849598414,0.4066942562388912
44,common_gen,common_gen_32_87,0.4678419330920187,0.4227642251899625
45,common_gen,mean,0.44093930661763886,0.4112565223379983
46,common_gen,std,0.03221584008332612,0.009493858134320037
47,,,,
48,crawl_domain,crawl_domain_32_100,0.8125,0.5995903737839222
49,crawl_domain,crawl_domain_32_13,0.625,0.6031746031746031
50,crawl_domain,crawl_domain_32_21,0.6875,0.5980542754736303
51,crawl_domain,crawl_domain_32_42,0.78125,0.5954941116231439
52,crawl_domain,crawl_domain_32_87,0.78125,0.6041986687147978
53,crawl_domain,mean,0.7375,0.6001024065540195
54,crawl_domain,std,0.0701560760020114,0.003222146998986627
55,,,,
56,multi_news,multi_news_32_100,0.252234346976054,0.2385521460632642
57,multi_news,multi_news_32_13,0.2656283073272933,0.2223212057150651
58,multi_news,multi_news_32_21,0.2394741496143313,0.2311056394900591
