,task,entry,dev_performance,test_performance
0,anli,anli_16_100,0.4259634888438133,0.1687588315886893
1,anli,anli_16_13,0.4297973932120273,0.1931256841491213
2,anli,anli_16_21,0.3680555555555555,0.1655379984951091
3,anli,anli_16_42,0.394524959742351,0.2729019686929246
4,anli,anli_16_87,0.4192018105061583,0.0786889629740618
5,anli,mean,0.40750864157198113,0.1758026891799812
6,anli,std,0.02323455197456608,0.062152090646822714
7,,,,
8,glue-mnli,glue-mnli_16_100,0.5,0.352
9,glue-mnli,glue-mnli_16_13,0.3958333333333333,0.34
10,glue-mnli,glue-mnli_16_21,0.4583333333333333,0.34
11,glue-mnli,glue-mnli_16_42,0.4166666666666667,0.351
12,glue-mnli,glue-mnli_16_87,0.3541666666666667,0.34
13,glue-mnli,mean,0.425,0.3446
14,glue-mnli,std,0.05034602488997738,0.005642694391866332
15,,,,
16,glue-qnli,glue-qnli_16_100,0.65625,0.532
17,glue-qnli,glue-qnli_16_13,0.625,0.528
18,glue-qnli,glue-qnli_16_21,0.5,0.527
19,glue-qnli,glue-qnli_16_42,0.5625,0.527
20,glue-qnli,glue-qnli_16_87,0.5625,0.527
21,glue-qnli,mean,0.58125,0.5282000000000001
22,glue-qnli,std,0.054486236794258416,0.0019390719429665333
23,,,,
24,glue-rte,glue-rte_16_100,0.625,0.4729241877256318
25,glue-rte,glue-rte_16_13,0.65625,0.4801444043321299
26,glue-rte,glue-rte_16_21,0.5625,0.4729241877256318
27,glue-rte,glue-rte_16_42,0.5625,0.4729241877256318
28,glue-rte,glue-rte_16_87,0.59375,0.4765342960288808
29,glue-rte,mean,0.6,0.4750902527075812
30,glue-rte,std,0.03644344934278313,0.0028880866425992496
31,,,,
32,glue-wnli,glue-wnli_16_100,0.59375,0.5633802816901409
33,glue-wnli,glue-wnli_16_13,0.53125,0.5633802816901409
34,glue-wnli,glue-wnli_16_21,0.625,0.5633802816901409
35,glue-wnli,glue-wnli_16_42,0.71875,0.5633802816901409
36,glue-wnli,glue-wnli_16_87,0.625,0.5633802816901409
37,glue-wnli,mean,0.61875,0.5633802816901409
38,glue-wnli,std,0.06059599821770411,0.0
39,,,,
40,scitail,scitail_16_100,0.6113360323886641,0.3401375227405877
41,scitail,scitail_16_13,0.3333333333333333,0.3220338983050847
42,scitail,scitail_16_21,0.4980392156862745,0.3220338983050847
43,scitail,scitail_16_42,0.5555555555555556,0.3220338983050847
44,scitail,scitail_16_87,0.7490196078431373,0.3493808121874853
45,scitail,mean,0.549456748961393,0.3311240059686654
46,scitail,std,0.13641456616889377,0.011510383398616488
47,,,,
48,sick,sick_16_100,0.4336043360433604,0.1291856925418569
49,sick,sick_16_13,0.5218312153796024,0.0836277974087161
50,sick,sick_16_21,0.6069849690539346,0.1273961629633469
51,sick,sick_16_42,0.3500417710944026,0.2654618253928127
52,sick,sick_16_87,0.5096109934819611,0.3905865376453611
53,sick,mean,0.4844146570106522,0.19925160319041874
54,sick,std,0.08682867820300012,0.11352017552457441
55,,,,
56,superglue-cb,superglue-cb_16_100,0.75,0.625
57,superglue-cb,superglue-cb_16_13,0.6875,0.5535714285714286
58,superglue-cb,superglue-cb_16_21,0.875,0.4464285714285714
59,superglue-cb,superglue-cb_16_42,0.625,0.4107142857142857
60,superglue-cb,superglue-cb_16_87,0.78125,0.5357142857142857
61,superglue-cb,mean,0.74375,0.5142857142857142
62,superglue-cb,std,0.08477912478906585,0.07693092581620721
63,,,,
64,superglue-rte,superglue-rte_16_100,0.5625,0.4801444043321299
65,superglue-rte,superglue-rte_16_13,0.65625,0.5018050541516246
66,superglue-rte,superglue-rte_16_21,0.59375,0.483754512635379
67,superglue-rte,superglue-rte_16_42,0.5625,0.4729241877256318
68,superglue-rte,superglue-rte_16_87,0.6875,0.5126353790613718
69,superglue-rte,mean,0.6125,0.49025270758122746
70,superglue-rte,std,0.05077524002897475,0.01469096747247351
71,,,,
