,task,entry,dev_performance,test_performance
0,ai2_arc,ai2_arc_32_100,0.3125,0.217391304347826
1,ai2_arc,ai2_arc_32_13,0.34375,0.2307692307692307
2,ai2_arc,ai2_arc_32_21,0.375,0.2575250836120401
3,ai2_arc,ai2_arc_32_42,0.4375,0.1839464882943143
4,ai2_arc,ai2_arc_32_87,0.375,0.2274247491638795
5,ai2_arc,mean,0.36875,0.22341137123745808
6,ai2_arc,std,0.041457809879442496,0.023781122186797572
7,,,,
8,codah,codah_32_100,0.28,0.1763250547150061
9,codah,codah_32_13,0.2549019607843137,0.1537645811240721
10,codah,codah_32_21,0.3061224489795918,0.1735657225853304
11,codah,codah_32_42,0.28,0.1498245614035087
12,codah,codah_32_87,0.2307692307692307,0.1601731601731601
13,codah,mean,0.2703587281066272,0.1627306160002155
14,codah,std,0.025578084109671183,0.010542342298006964
15,,,,
16,cosmos_qa,cosmos_qa_32_100,0.375,0.234
17,cosmos_qa,cosmos_qa_32_13,0.34375,0.182
18,cosmos_qa,cosmos_qa_32_21,0.34375,0.257
19,cosmos_qa,cosmos_qa_32_42,0.40625,0.295
20,cosmos_qa,cosmos_qa_32_87,0.46875,0.162
21,cosmos_qa,mean,0.3875,0.22599999999999998
22,cosmos_qa,std,0.046770717334674264,0.04861686950020538
23,,,,
24,dream,dream_32_100,0.4375,0.266
25,dream,dream_32_13,0.46875,0.289
26,dream,dream_32_21,0.46875,0.256
27,dream,dream_32_42,0.40625,0.3
28,dream,dream_32_87,0.40625,0.328
29,dream,mean,0.4375,0.2878
30,dream,std,0.02795084971874737,0.025506077707087772
31,,,,
32,hellaswag,hellaswag_32_100,0.40625,0.273
33,hellaswag,hellaswag_32_13,0.46875,0.277
34,hellaswag,hellaswag_32_21,0.375,0.232
35,hellaswag,hellaswag_32_42,0.5,0.252
36,hellaswag,hellaswag_32_87,0.4375,0.23
37,hellaswag,mean,0.4375,0.2528
38,hellaswag,std,0.04419417382415922,0.019732207175072944
39,,,,
40,openbookqa,openbookqa_32_100,0.4375,0.232
41,openbookqa,openbookqa_32_13,0.5,0.26
42,openbookqa,openbookqa_32_21,0.40625,0.246
43,openbookqa,openbookqa_32_42,0.4375,0.306
44,openbookqa,openbookqa_32_87,0.4375,0.312
45,openbookqa,mean,0.44375,0.2712
46,openbookqa,std,0.03061862178478973,0.0321645767887594
47,,,,
48,qasc,qasc_32_100,0.25,0.1058315334773218
49,qasc,qasc_32_13,0.25,0.1220302375809935
50,qasc,qasc_32_21,0.28125,0.0907127429805615
51,qasc,qasc_32_42,0.21875,0.0961123110151187
52,qasc,qasc_32_87,0.1875,0.1187904967602591
53,qasc,mean,0.2375,0.1066954643628509
54,qasc,std,0.0318688719599549,0.012244525082555831
55,,,,
56,quail,quail_32_100,0.25,0.281
57,quail,quail_32_13,0.375,0.297
58,quail,quail_32_21,0.25,0.238
59,quail,quail_32_42,0.5,0.234
60,quail,quail_32_87,0.40625,0.225
61,quail,mean,0.35625,0.255
62,quail,std,0.0960143218483576,0.02853068523537421
63,,,,
64,quarel,quarel_32_100,0.65625,0.4820143884892086
65,quarel,quarel_32_13,0.46875,0.5251798561151079
66,quarel,quarel_32_21,0.5625,0.4640287769784172
67,quarel,quarel_32_42,0.5625,0.3848920863309352
68,quarel,quarel_32_87,0.65625,0.4424460431654676
69,quarel,mean,0.58125,0.4597122302158273
70,quarel,std,0.0701560760020114,0.046256251527132405
71,,,,
72,quartz-no_knowledge,quartz-no_knowledge_32_100,0.625,0.4817708333333333
73,quartz-no_knowledge,quartz-no_knowledge_32_13,0.59375,0.4765625
74,quartz-no_knowledge,quartz-no_knowledge_32_21,0.59375,0.4557291666666667
75,quartz-no_knowledge,quartz-no_knowledge_32_42,0.59375,0.4791666666666667
76,quartz-no_knowledge,quartz-no_knowledge_32_87,0.59375,0.4791666666666667
77,quartz-no_knowledge,mean,0.6,0.4744791666666667
78,quartz-no_knowledge,std,0.012499999999999999,0.009518576501300549
79,,,,
80,quartz-with_knowledge,quartz-with_knowledge_32_100,0.65625,0.4427083333333333
81,quartz-with_knowledge,quartz-with_knowledge_32_13,0.59375,0.4765625
82,quartz-with_knowledge,quartz-with_knowledge_32_21,0.5625,0.4817708333333333
83,quartz-with_knowledge,quartz-with_knowledge_32_42,0.59375,0.4791666666666667
84,quartz-with_knowledge,quartz-with_knowledge_32_87,0.59375,0.5026041666666666
85,quartz-with_knowledge,mean,0.6,0.4765625
86,quartz-with_knowledge,std,0.03061862178478973,0.019277870336793484
87,,,,
88,sciq,sciq_32_100,0.90625,0.8128523111612176
89,sciq,sciq_32_13,0.9375,0.818489289740699
90,sciq,sciq_32_21,0.90625,0.8049605411499436
91,sciq,sciq_32_42,0.78125,0.7091319052987599
92,sciq,sciq_32_87,0.90625,0.8151071025930101
93,sciq,mean,0.8875,0.792108229988726
94,sciq,std,0.054486236794258416,0.04172643699055939
95,,,,
96,superglue-copa,superglue-copa_32_100,0.625,0.48
97,superglue-copa,superglue-copa_32_13,0.6875,0.42
98,superglue-copa,superglue-copa_32_21,0.65625,0.52
99,superglue-copa,superglue-copa_32_42,0.59375,0.49
100,superglue-copa,superglue-copa_32_87,0.59375,0.51
101,superglue-copa,mean,0.63125,0.484
102,superglue-copa,std,0.036443449342783124,0.03498571136907181
103,,,,
104,swag,swag_32_100,0.46875,0.235
105,swag,swag_32_13,0.375,0.271
106,swag,swag_32_21,0.4375,0.296
107,swag,swag_32_42,0.40625,0.282
108,swag,swag_32_87,0.4375,0.285
109,swag,mean,0.425,0.2738
110,swag,std,0.0318688719599549,0.02097045540754897
111,,,,
112,wino_grande,wino_grande_32_100,0.59375,0.487
113,wino_grande,wino_grande_32_13,0.65625,0.479
114,wino_grande,wino_grande_32_21,0.75,0.486
115,wino_grande,wino_grande_32_42,0.75,0.492
116,wino_grande,wino_grande_32_87,0.59375,0.499
117,wino_grande,mean,0.66875,0.48860000000000003
118,wino_grande,std,0.0701560760020114,0.006651315659326362
119,,,,
120,wiqa,wiqa_32_100,0.5625,0.366
121,wiqa,wiqa_32_13,0.5,0.35
122,wiqa,wiqa_32_21,0.53125,0.385
123,wiqa,wiqa_32_42,0.53125,0.352
124,wiqa,wiqa_32_87,0.46875,0.377
125,wiqa,mean,0.51875,0.366
126,wiqa,std,0.0318688719599549,0.013667479650615922
127,,,,
