,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.78125,0.5906862745098039
1,glue-mrpc,glue-mrpc_16_13,0.71875,0.6274509803921569
2,glue-mrpc,glue-mrpc_16_21,0.8125,0.6225490196078431
3,glue-mrpc,glue-mrpc_16_42,0.75,0.5318627450980392
4,glue-mrpc,glue-mrpc_16_87,0.5625,0.392156862745098
5,glue-mrpc,mean,0.725,0.5529411764705883
6,glue-mrpc,std,0.08705242673240074,0.0873127149296658
7,,,,
8,glue-qqp,glue-qqp_16_100,0.6875,0.515607222359634
9,glue-qqp,glue-qqp_16_13,0.65625,0.6134306208261192
10,glue-qqp,glue-qqp_16_21,0.59375,0.5249072470937423
11,glue-qqp,glue-qqp_16_42,0.6875,0.5247341083353945
12,glue-qqp,glue-qqp_16_87,0.65625,0.5853326737571111
13,glue-qqp,mean,0.65625,0.5528023744744002
14,glue-qqp,std,0.03423265984407288,0.03920063689171709
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.75,0.6245901639344262
17,medical_questions_pairs,medical_questions_pairs_16_13,0.65625,0.6065573770491803
18,medical_questions_pairs,medical_questions_pairs_16_21,0.5625,0.5377049180327869
19,medical_questions_pairs,medical_questions_pairs_16_42,0.59375,0.5606557377049181
20,medical_questions_pairs,medical_questions_pairs_16_87,0.71875,0.6081967213114754
21,medical_questions_pairs,mean,0.65625,0.5875409836065574
22,medical_questions_pairs,std,0.07126096406869613,0.03276392638781475
23,,,,
24,paws,paws_16_100,0.6476476476476476,0.4983515719079382
25,paws,paws_16_13,0.6825396825396826,0.1514826522720332
26,paws,paws_16_21,0.6190476190476191,0.1046460629046981
27,paws,paws_16_42,0.5555555555555556,0.1902842617367074
28,paws,paws_16_87,0.5625,0.0769706877558231
29,paws,mean,0.6134581009581009,0.20434704731544
30,paws,std,0.04883004310150113,0.15205005093687504
31,,,,
