,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.6875,0.4877450980392157
1,glue-mrpc,glue-mrpc_16_13,0.71875,0.5367647058823529
2,glue-mrpc,glue-mrpc_16_21,0.65625,0.5465686274509803
3,glue-mrpc,glue-mrpc_16_42,0.75,0.5343137254901961
4,glue-mrpc,glue-mrpc_16_87,0.5625,0.4044117647058823
5,glue-mrpc,mean,0.675,0.5019607843137254
6,glue-mrpc,std,0.06434768838116875,0.05285032145860218
7,,,,
8,glue-qqp,glue-qqp_16_100,0.5625,0.5672273064556023
9,glue-qqp,glue-qqp_16_13,0.75,0.5943606232995301
10,glue-qqp,glue-qqp_16_21,0.71875,0.5439030422953253
11,glue-qqp,glue-qqp_16_42,0.5625,0.5769478110314123
12,glue-qqp,glue-qqp_16_87,0.5625,0.617363344051447
13,glue-qqp,mean,0.63125,0.5799604254266634
14,glue-qqp,std,0.08477912478906585,0.02481002645276976
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.59375,0.5655737704918032
17,medical_questions_pairs,medical_questions_pairs_16_13,0.65625,0.4918032786885246
18,medical_questions_pairs,medical_questions_pairs_16_21,0.59375,0.5409836065573771
19,medical_questions_pairs,medical_questions_pairs_16_42,0.59375,0.5049180327868853
20,medical_questions_pairs,medical_questions_pairs_16_87,0.65625,0.521311475409836
21,medical_questions_pairs,mean,0.61875,0.5249180327868853
22,medical_questions_pairs,std,0.030618621784789725,0.026155633672366063
23,,,,
24,paws,paws_16_100,0.6825396825396826,0.3200816607667265
25,paws,paws_16_13,0.625,0.2480277396732056
26,paws,paws_16_21,0.6875,0.1656109927626977
27,paws,paws_16_42,0.5733333333333335,0.0685618039299539
28,paws,paws_16_87,0.5307917888563051,0.5027649789823027
29,paws,mean,0.6198329609458642,0.26100943522297726
30,paws,std,0.06103802928531043,0.14713310219155198
31,,,,
