,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.78125,0.5098039215686274
1,glue-mrpc,glue-mrpc_16_13,0.75,0.5735294117647058
2,glue-mrpc,glue-mrpc_16_21,0.6875,0.5171568627450981
3,glue-mrpc,glue-mrpc_16_42,0.75,0.5735294117647058
4,glue-mrpc,glue-mrpc_16_87,0.625,0.4852941176470588
5,glue-mrpc,mean,0.71875,0.5318627450980392
6,glue-mrpc,std,0.05590169943749474,0.03561941593055871
7,,,,
8,glue-qqp,glue-qqp_16_100,0.71875,0.5751174870145931
9,glue-qqp,glue-qqp_16_13,0.6875,0.5969577046747465
10,glue-qqp,glue-qqp_16_21,0.6875,0.5445213950037101
11,glue-qqp,glue-qqp_16_42,0.71875,0.5845659163987138
12,glue-qqp,glue-qqp_16_87,0.78125,0.5444966608953747
13,glue-qqp,mean,0.71875,0.5691318327974276
14,glue-qqp,std,0.03423265984407288,0.021264446768228244
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.65625,0.601639344262295
17,medical_questions_pairs,medical_questions_pairs_16_13,0.5625,0.5934426229508196
18,medical_questions_pairs,medical_questions_pairs_16_21,0.625,0.4983606557377049
19,medical_questions_pairs,medical_questions_pairs_16_42,0.53125,0.521311475409836
20,medical_questions_pairs,medical_questions_pairs_16_87,0.6875,0.580327868852459
21,medical_questions_pairs,mean,0.6125,0.5590163934426229
22,medical_questions_pairs,std,0.057960115596848154,0.0413686827425246
23,,,,
24,paws,paws_16_100,0.6190476190476191,0.4963353101224485
25,paws,paws_16_13,0.6389743589743591,0.2250055223311897
26,paws,paws_16_21,0.5835835835835835,0.3198897281767676
27,paws,paws_16_42,0.6113360323886641,0.4648298321749705
28,paws,paws_16_87,0.6761133603238867,0.124914797286245
29,paws,mean,0.6258109908636225,0.3261950380183242
30,paws,std,0.0307961821663116,0.1406841346199917
31,,,,
