,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.78125,0.6568627450980392
1,glue-mrpc,glue-mrpc_16_13,0.71875,0.6519607843137255
2,glue-mrpc,glue-mrpc_16_21,0.8125,0.7009803921568627
3,glue-mrpc,glue-mrpc_16_42,0.71875,0.6642156862745098
4,glue-mrpc,glue-mrpc_16_87,0.5625,0.4534313725490196
5,glue-mrpc,mean,0.71875,0.6254901960784314
6,glue-mrpc,std,0.08615030470056388,0.08773551267613591
7,,,,
8,glue-qqp,glue-qqp_16_100,0.65625,0.557556270096463
9,glue-qqp,glue-qqp_16_13,0.65625,0.5422705911451892
10,glue-qqp,glue-qqp_16_21,0.71875,0.4726935443977245
11,glue-qqp,glue-qqp_16_42,0.71875,0.5073707642839476
12,glue-qqp,glue-qqp_16_87,0.6875,0.4725204056393767
13,glue-qqp,mean,0.6875,0.5104823151125402
14,glue-qqp,std,0.02795084971874737,0.03494347218723625
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.65625,0.5901639344262295
17,medical_questions_pairs,medical_questions_pairs_16_13,0.59375,0.6131147540983607
18,medical_questions_pairs,medical_questions_pairs_16_21,0.71875,0.5688524590163935
19,medical_questions_pairs,medical_questions_pairs_16_42,0.59375,0.5770491803278689
20,medical_questions_pairs,medical_questions_pairs_16_87,0.625,0.5901639344262295
21,medical_questions_pairs,mean,0.6375,0.5878688524590163
22,medical_questions_pairs,std,0.046770717334674264,0.015010522153783077
23,,,,
24,paws,paws_16_100,0.5835835835835835,0.2914879827674673
25,paws,paws_16_13,0.6666666666666667,0.0325295627747637
26,paws,paws_16_21,0.5076923076923077,0.2096329419260265
27,paws,paws_16_42,0.5835835835835835,0.0589964636866143
28,paws,paws_16_87,0.5933528836754642,0.1551098899854844
29,paws,mean,0.5869758050403211,0.14955136822807122
30,paws,std,0.05039878538858595,0.09558345975860018
31,,,,
