,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.6875,0.5367647058823529
1,glue-mrpc,glue-mrpc_16_13,0.6875,0.4852941176470588
2,glue-mrpc,glue-mrpc_16_21,0.78125,0.5686274509803921
3,glue-mrpc,glue-mrpc_16_42,0.78125,0.6004901960784313
4,glue-mrpc,glue-mrpc_16_87,0.625,0.4901960784313725
5,glue-mrpc,mean,0.7125,0.5362745098039216
6,glue-mrpc,std,0.06059599821770412,0.04448107390990457
7,,,,
8,glue-qqp,glue-qqp_16_100,0.71875,0.5674499134306208
9,glue-qqp,glue-qqp_16_13,0.78125,0.6024486767252041
10,glue-qqp,glue-qqp_16_21,0.875,0.5134058867177839
11,glue-qqp,glue-qqp_16_42,0.78125,0.5550581251545882
12,glue-qqp,glue-qqp_16_87,0.65625,0.5445213950037101
13,glue-qqp,mean,0.7625,0.5565767994063815
14,glue-qqp,std,0.07288689868556625,0.029099211626773494
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.71875,0.5688524590163935
17,medical_questions_pairs,medical_questions_pairs_16_13,0.5625,0.6180327868852459
18,medical_questions_pairs,medical_questions_pairs_16_21,0.625,0.5524590163934426
19,medical_questions_pairs,medical_questions_pairs_16_42,0.625,0.4885245901639344
20,medical_questions_pairs,medical_questions_pairs_16_87,0.6875,0.5622950819672131
21,medical_questions_pairs,mean,0.64375,0.5580327868852459
22,medical_questions_pairs,std,0.054486236794258416,0.04146730951806525
23,,,,
24,paws,paws_16_100,0.7184750733137829,0.1069090424811335
25,paws,paws_16_13,0.8125,0.2514335691172529
26,paws,paws_16_21,0.6235294117647059,0.1655417659335517
27,paws,paws_16_42,0.6476476476476476,0.1090412201984126
28,paws,paws_16_87,0.8117647058823529,0.5080200501253134
29,paws,mean,0.7227833677216978,0.22818912957113283
30,paws,std,0.07934990643105352,0.14944927170863057
31,,,,
