,task,entry,dev_performance,test_performance
0,glue-mrpc,glue-mrpc_16_100,0.75,0.4975490196078431
1,glue-mrpc,glue-mrpc_16_13,0.75,0.4436274509803921
2,glue-mrpc,glue-mrpc_16_21,0.75,0.571078431372549
3,glue-mrpc,glue-mrpc_16_42,0.71875,0.5808823529411765
4,glue-mrpc,glue-mrpc_16_87,0.6875,0.5245098039215687
5,glue-mrpc,mean,0.73125,0.5235294117647059
6,glue-mrpc,std,0.025,0.05022058225437532
7,,,,
8,glue-qqp,glue-qqp_16_100,0.71875,0.4583230274548602
9,glue-qqp,glue-qqp_16_13,0.75,0.347712094978976
10,glue-qqp,glue-qqp_16_21,0.65625,0.5302745486025229
11,glue-qqp,glue-qqp_16_42,0.75,0.5624288894385358
12,glue-qqp,glue-qqp_16_87,0.75,0.5468464011872372
13,glue-qqp,mean,0.725,0.4891169923324264
14,glue-qqp,std,0.03644344934278313,0.079176861027158
15,,,,
16,medical_questions_pairs,medical_questions_pairs_16_100,0.625,0.5508196721311476
17,medical_questions_pairs,medical_questions_pairs_16_13,0.5625,0.5606557377049181
18,medical_questions_pairs,medical_questions_pairs_16_21,0.65625,0.4983606557377049
19,medical_questions_pairs,medical_questions_pairs_16_42,0.59375,0.5163934426229508
20,medical_questions_pairs,medical_questions_pairs_16_87,0.65625,0.5737704918032787
21,medical_questions_pairs,mean,0.61875,0.54
22,medical_questions_pairs,std,0.03644344934278313,0.028196721311475416
23,,,,
24,paws,paws_16_100,0.7490196078431373,0.4912467522900642
25,paws,paws_16_13,0.6101882613510521,0.4656646129849974
26,paws,paws_16_21,0.5901477832512315,0.437856427506639
27,paws,paws_16_42,0.5844155844155844,0.4032371614149476
28,paws,paws_16_87,0.6532019704433498,0.4779806109444008
29,paws,mean,0.637394641460871,0.4551971130282098
30,paws,std,0.06080993008411019,0.03139671565486692
31,,,,
