,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9459299251830372
1,amazon_polarity,amazon_polarity_16_13,1.0,0.93288718335522
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9348905510162584
3,amazon_polarity,amazon_polarity_16_42,1.0,0.9569903228226352
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9419719144065728
5,amazon_polarity,mean,0.9874877810361682,0.9425339793567448
6,amazon_polarity,std,0.015324276005681649,0.008629216666167346
7,,,,
8,anli,anli_16_100,0.4850953644057092,0.072317228222515
9,anli,anli_16_13,0.4594771241830065,0.1774994836702813
10,anli,anli_16_21,0.431547619047619,0.2159878978930295
11,anli,anli_16_42,0.3493729325813284,0.2738135931398172
12,anli,anli_16_87,0.4142302142302141,0.2075495082402977
13,anli,mean,0.4279446508895754,0.18943354223318815
14,anli,std,0.046119590192772036,0.06635053546297104
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9910627007401202,0.5838335129945734
17,dbpedia_14,dbpedia_14_16_13,0.9819901200949588,0.6141887989217166
18,dbpedia_14,dbpedia_14_16_21,0.9910627007401202,0.7602799137996846
19,dbpedia_14,dbpedia_14_16_42,0.9910714285714286,0.5888289098328611
20,dbpedia_14,dbpedia_14_16_87,0.9819761555648654,0.6184519982362789
21,dbpedia_14,mean,0.9874326211422986,0.6331166267570228
22,dbpedia_14,std,0.004449487825072471,0.0650139104195187
23,,,,
24,emo,emo_16_100,0.7504307644110275,0.3999628419644577
25,emo,emo_16_13,0.8112524862524862,0.3805334702781471
26,emo,emo_16_21,0.7871212121212121,0.3765699570203632
27,emo,emo_16_42,0.7710114806889001,0.2796472986153016
28,emo,emo_16_87,0.8173980432044948,0.3692609405520135
29,emo,mean,0.7874427973356243,0.3611949016860566
30,emo,std,0.024916661920846073,0.04201999120591578
31,,,,
32,ethos-race,ethos-race_16_100,0.9375,0.8317214700193423
33,ethos-race,ethos-race_16_13,0.9372549019607844,0.8301082904313865
34,ethos-race,ethos-race_16_21,0.9054187192118226,0.8301082904313865
35,ethos-race,ethos-race_16_42,0.9375,0.805223880597015
36,ethos-race,ethos-race_16_87,0.7793103448275862,0.8455316630499112
37,ethos-race,mean,0.8993967932000387,0.8285387189058083
38,ethos-race,std,0.06130899413858098,0.013018439616546149
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9202273977626996
41,ethos-religion,ethos-religion_16_13,0.9375,0.8226902173913044
42,ethos-religion,ethos-religion_16_21,0.9375,0.7851851851851852
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.8316129032258064
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8817934782608696
45,ethos-religion,mean,0.9562316715542523,0.8483018363651731
46,ethos-religion,std,0.015294345779108078,0.04735644334446597
47,,,,
48,superglue-cb,superglue-cb_16_100,0.84375,0.5714285714285714
49,superglue-cb,superglue-cb_16_13,0.78125,0.6428571428571429
50,superglue-cb,superglue-cb_16_21,0.875,0.6071428571428571
51,superglue-cb,superglue-cb_16_42,0.625,0.7321428571428571
52,superglue-cb,superglue-cb_16_87,0.90625,0.6785714285714286
53,superglue-cb,mean,0.80625,0.6464285714285716
54,superglue-cb,std,0.09960860906568267,0.05578749768504754
55,,,,
56,tab_fact,tab_fact_16_100,0.6113360323886641,0.245561895201927
57,tab_fact,tab_fact_16_13,0.5901477832512315,0.1132131788781702
58,tab_fact,tab_fact_16_21,0.625,0.0699905335076513
59,tab_fact,tab_fact_16_42,0.4909862142099682,0.1938212137136766
60,tab_fact,tab_fact_16_87,0.6113360323886641,0.0308086450601859
61,tab_fact,mean,0.5857612124477056,0.13067909327232222
62,tab_fact,std,0.04868134668017404,0.07892686669449661
63,,,,
64,wiki_qa,wiki_qa_16_100,0.7490196078431373,0.4569239600812506
65,wiki_qa,wiki_qa_16_13,0.5588547189819725,0.4190809006956578
66,wiki_qa,wiki_qa_16_21,0.6532019704433498,0.3853766420250168
67,wiki_qa,wiki_qa_16_42,0.5733333333333335,0.4182875728362156
68,wiki_qa,wiki_qa_16_87,0.6862745098039216,0.4471561744796666
69,wiki_qa,mean,0.644136828081143,0.4253650500235615
70,wiki_qa,std,0.07091449995385453,0.025137509421029113
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9515426513377334
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9597274600537132
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9613139784106236
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9667104289138242
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9524619555729978
77,yelp_polarity,mean,0.987450980392157,0.9583512948577786
78,yelp_polarity,std,0.02509803921568623,0.005684863946341312
79,,,,
