,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9519877088534664
1,amazon_polarity,amazon_polarity_16_13,1.0,0.9287999991977464
2,amazon_polarity,amazon_polarity_16_21,0.9372549019607844,0.9329081512590736
3,amazon_polarity,amazon_polarity_16_42,1.0,0.9559913743093646
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9419916467971388
5,amazon_polarity,mean,0.9811948709102409,0.9423357760833578
6,amazon_polarity,std,0.02508886435764371,0.010505721867620183
7,,,,
8,anli,anli_16_100,0.5835978835978836,0.0328952483419289
9,anli,anli_16_13,0.5925925925925926,0.0739423133568614
10,anli,anli_16_21,0.4181642512077295,0.0255213614572482
11,anli,anli_16_42,0.5347027699968876,0.0291194842336764
12,anli,anli_16_87,0.5618046591677425,0.0241212812769123
13,anli,mean,0.5381724313125671,0.03711993773332544
14,anli,std,0.06324161557738565,0.018661375321869678
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9867213747669156,0.5677158541631587
17,dbpedia_14,dbpedia_14_16_13,0.9731845084074686,0.6459032486085662
18,dbpedia_14,dbpedia_14_16_21,0.9644542861132722,0.4743984965027343
19,dbpedia_14,dbpedia_14_16_42,0.9910627007401202,0.62012121699899
20,dbpedia_14,dbpedia_14_16_87,0.9865940511101802,0.6524173905466933
21,dbpedia_14,mean,0.9804033842275913,0.5921112413640286
22,dbpedia_14,std,0.009983469218532926,0.06597938409407875
23,,,,
24,emo,emo_16_100,0.8258158866995075,0.2778512674381204
25,emo,emo_16_13,0.8723206128329468,0.2145532867149453
26,emo,emo_16_21,0.7907017543859649,0.3781539352949197
27,emo,emo_16_42,0.8713057798708521,0.1922429827559849
28,emo,emo_16_87,0.7725983061101028,0.3445163328589759
29,emo,mean,0.8265484679798748,0.28146356101258924
30,emo,std,0.040729472691768485,0.07179836428814601
31,,,,
32,ethos-race,ethos-race_16_100,0.9375,0.8843304843304842
33,ethos-race,ethos-race_16_13,0.906158357771261,0.8174825174825175
34,ethos-race,ethos-race_16_21,0.8745098039215686,0.7643188854489165
35,ethos-race,ethos-race_16_42,0.9687194525904204,0.8245002750779387
36,ethos-race,ethos-race_16_87,0.8117647058823529,0.8112053659498915
37,ethos-race,mean,0.8997304640331206,0.8203675056579496
38,ethos-race,std,0.05403960123968946,0.03831985963408716
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9202273977626996
41,ethos-religion,ethos-religion_16_13,1.0,0.9372294372294372
42,ethos-religion,ethos-religion_16_21,0.9375,0.8609976921711344
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.9173789173789174
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.9087412587412588
45,ethos-religion,mean,0.9687316715542522,0.9089149406566894
46,ethos-religion,std,0.019764241041704985,0.025680397861918156
47,,,,
48,superglue-cb,superglue-cb_16_100,0.71875,0.5535714285714286
49,superglue-cb,superglue-cb_16_13,0.84375,0.8392857142857143
50,superglue-cb,superglue-cb_16_21,0.9375,0.7678571428571429
51,superglue-cb,superglue-cb_16_42,0.71875,0.6607142857142857
52,superglue-cb,superglue-cb_16_87,0.75,0.6071428571428571
53,superglue-cb,mean,0.79375,0.6857142857142857
54,superglue-cb,std,0.0852386356061616,0.10449099170234138
55,,,,
56,tab_fact,tab_fact_16_100,0.625,0.010256720761091
57,tab_fact,tab_fact_16_13,0.6666666666666667,0.0263030494248617
58,tab_fact,tab_fact_16_21,0.75,0.0891089614649309
59,tab_fact,tab_fact_16_42,0.6113360323886641,0.3335394239158316
60,tab_fact,tab_fact_16_87,0.5076923076923077,0.1118189629933962
61,tab_fact,mean,0.6321390013495277,0.11420542371202227
62,tab_fact,std,0.07880873440832327,0.1159957684641874
63,,,,
64,wiki_qa,wiki_qa_16_100,0.8435972629521017,0.4457259462221623
65,wiki_qa,wiki_qa_16_13,0.6000000000000001,0.4284315716411713
66,wiki_qa,wiki_qa_16_21,0.873015873015873,0.4759667761925098
67,wiki_qa,wiki_qa_16_42,0.7184750733137829,0.5279887538909529
68,wiki_qa,wiki_qa_16_87,0.7490196078431373,0.4575564735216404
69,wiki_qa,mean,0.756821563424979,0.46713390429368734
70,wiki_qa,std,0.09711381588582521,0.03414448929832853
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9562836712928496
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.953814809957448
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9572131070838656
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9656572472427674
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9639471187473596
77,yelp_polarity,mean,0.987450980392157,0.9593831908648582
78,yelp_polarity,std,0.02509803921568623,0.004593830041994531
79,,,,
