,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9499901980788236
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9176835756648558
2,amazon_polarity,amazon_polarity_16_21,1.0,0.932897937763338
3,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.9318429661941112
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9369540394947916
5,amazon_polarity,mean,0.9812316715542522,0.933873743439184
6,amazon_polarity,std,0.01532427600568165,0.010357858074319857
7,,,,
8,anli,anli_16_100,0.4321789321789322,0.1270150709517525
9,anli,anli_16_13,0.5025641025641026,0.1397160946154911
10,anli,anli_16_21,0.3703703703703704,0.1354635074245834
11,anli,anli_16_42,0.4391183529114563,0.1286769644283074
12,anli,anli_16_87,0.4354139854139854,0.1712410687919526
13,anli,mean,0.43592914868776944,0.14042254124241738
14,anli,std,0.041863279931732784,0.016078504643503376
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9865984150258345,0.8068633424030204
17,dbpedia_14,dbpedia_14_16_13,0.9819761555648652,0.49715907250738
18,dbpedia_14,dbpedia_14_16_21,0.9910627007401202,0.6501254403238796
19,dbpedia_14,dbpedia_14_16_42,0.9910627007401202,0.6821637235266658
20,dbpedia_14,dbpedia_14_16_87,0.9865984150258345,0.7584483432094155
21,dbpedia_14,mean,0.9874596774193549,0.6789519843940723
22,dbpedia_14,std,0.0033916400708096403,0.10636816656887561
23,,,,
24,emo,emo_16_100,0.7908800124824465,0.4086146304112341
25,emo,emo_16_13,0.844034090909091,0.3004697740613197
26,emo,emo_16_21,0.8234260653615493,0.4279154848774776
27,emo,emo_16_42,0.8268124805840323,0.2360717405813938
28,emo,emo_16_87,0.8243542609351433,0.3967609943789075
29,emo,mean,0.8219013820544525,0.35396652486206653
30,emo,std,0.01723161242672716,0.07354904928756757
31,,,,
32,ethos-race,ethos-race_16_100,0.9375,0.8032887975334019
33,ethos-race,ethos-race_16_13,0.9054187192118226,0.6608451582722594
34,ethos-race,ethos-race_16_21,0.7810361681329424,0.7123015873015873
35,ethos-race,ethos-race_16_42,0.9375,0.6453804347826086
36,ethos-race,ethos-race_16_87,0.8117647058823529,0.7925912341830186
37,ethos-race,mean,0.8746439186454236,0.7228814424145751
38,ethos-race,std,0.06567353900943411,0.06525586240940032
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9675373134328358
41,ethos-religion,ethos-religion_16_13,0.9687194525904204,0.8783216783216783
42,ethos-religion,ethos-religion_16_21,0.9687194525904204,0.7521367521367521
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.839671636790082
44,ethos-religion,ethos-religion_16_87,1.0,0.8316129032258064
45,ethos-religion,mean,0.9749755620723363,0.8538560567814308
46,ethos-religion,std,0.012512218963831857,0.07009246370214167
47,,,,
48,superglue-cb,superglue-cb_16_100,0.65625,0.5357142857142857
49,superglue-cb,superglue-cb_16_13,0.75,0.4821428571428571
50,superglue-cb,superglue-cb_16_21,0.8125,0.4642857142857143
51,superglue-cb,superglue-cb_16_42,0.6875,0.6785714285714286
52,superglue-cb,superglue-cb_16_87,0.84375,0.6428571428571429
53,superglue-cb,mean,0.75,0.5607142857142857
54,superglue-cb,std,0.07126096406869613,0.08571428571428573
55,,,,
56,tab_fact,tab_fact_16_100,0.5901477832512315,0.0617160192908246
57,tab_fact,tab_fact_16_13,0.5901477832512315,0.0089642579024969
58,tab_fact,tab_fact_16_21,0.6113360323886641,0.0976131177618985
59,tab_fact,tab_fact_16_42,0.6476476476476476,0.0091618567653824
60,tab_fact,tab_fact_16_87,0.5844155844155844,0.0241412592894252
61,tab_fact,mean,0.6047389661908718,0.04031930220200552
62,tab_fact,std,0.023338900199954975,0.034513924973064374
63,,,,
64,wiki_qa,wiki_qa_16_100,0.8435972629521017,0.4440372960017098
65,wiki_qa,wiki_qa_16_13,0.5307917888563051,0.4224124266920273
66,wiki_qa,wiki_qa_16_21,0.7184750733137829,0.452476235090168
67,wiki_qa,wiki_qa_16_42,0.6476476476476476,0.4938796192848464
68,wiki_qa,wiki_qa_16_87,0.6235294117647059,0.4118917859969055
69,wiki_qa,mean,0.6728082369069086,0.4449394726131314
70,wiki_qa,std,0.10438819927660085,0.028468832277205366
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9481371495966808
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9591982179665832
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9591855514912032
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9646042330283192
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9647354354301112
77,yelp_polarity,mean,0.987450980392157,0.9591721175025796
78,yelp_polarity,std,0.02509803921568623,0.00603704834895768
79,,,,
