,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,0.7490196078431373,0.5320923608991964
1,amazon_polarity,amazon_polarity_16_13,0.6113360323886641,0.3864305040140751
2,amazon_polarity,amazon_polarity_16_21,0.6862745098039216,0.4695876352243151
3,amazon_polarity,amazon_polarity_16_42,0.6190476190476191,0.3813976913012018
4,amazon_polarity,amazon_polarity_16_87,0.746031746031746,0.5829518868884142
5,amazon_polarity,mean,0.6823419030230176,0.4704920156654405
6,amazon_polarity,std,0.0592718784368264,0.07930545939268097
7,,,,
8,anli,anli_16_100,0.4246031746031746,0.1211759996797822
9,anli,anli_16_13,0.4095238095238095,0.2956676464683295
10,anli,anli_16_21,0.4126370083816891,0.1665416354088522
11,anli,anli_16_42,0.3324979114452799,0.1858187754708227
12,anli,anli_16_87,0.4617886178861788,0.2424027795245877
13,anli,mean,0.40821010436802635,0.20232136731047484
14,anli,std,0.04217356831026524,0.06075712777607607
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.982226438962682,0.6719044444897876
17,dbpedia_14,dbpedia_14_16_13,0.9016451269219048,0.6416358734737314
18,dbpedia_14,dbpedia_14_16_21,0.8486532219246856,0.5696839386073423
19,dbpedia_14,dbpedia_14_16_42,0.9866027789414886,0.6836563201989765
20,dbpedia_14,dbpedia_14_16_87,0.9865940511101802,0.6796716130250787
21,dbpedia_14,mean,0.9411443235721884,0.6493104379589832
22,dbpedia_14,std,0.05645295301892479,0.04245281627498173
23,,,,
24,emo,emo_16_100,0.7510884709160571,0.3806368050502846
25,emo,emo_16_13,0.8465949820788531,0.1618673671186617
26,emo,emo_16_21,0.808889411027569,0.2628216611838382
27,emo,emo_16_42,0.7281639044506691,0.1714514118838011
28,emo,emo_16_87,0.795628078817734,0.0743528961593819
29,emo,mean,0.7860729694581765,0.2102260282791935
30,emo,std,0.042076547103362,0.10402852729733658
31,,,,
32,ethos-race,ethos-race_16_100,1.0,0.435064935064935
33,ethos-race,ethos-race_16_13,0.9687194525904204,0.367816091954023
34,ethos-race,ethos-race_16_21,0.4909862142099682,0.5316985645933014
35,ethos-race,ethos-race_16_42,0.906158357771261,0.8032887975334019
36,ethos-race,ethos-race_16_87,0.7408906882591093,0.8512820512820514
37,ethos-race,mean,0.8213509425661518,0.5978300880855425
38,ethos-race,std,0.18785098743821182,0.19505050155780768
39,,,,
40,ethos-religion,ethos-religion_16_100,0.8423645320197044,0.9485105543499704
41,ethos-religion,ethos-religion_16_13,0.9054187192118226,0.8137931034482759
42,ethos-religion,ethos-religion_16_21,0.9375,0.9026119402985076
43,ethos-religion,ethos-religion_16_42,0.75,0.2330123423301234
44,ethos-religion,ethos-religion_16_87,0.9375,0.9026119402985076
45,ethos-religion,mean,0.8745566502463055,0.760107976145077
46,ethos-religion,std,0.07131183555870667,0.26714123274159074
47,,,,
48,superglue-cb,superglue-cb_16_100,0.53125,0.5892857142857143
49,superglue-cb,superglue-cb_16_13,0.53125,0.3392857142857143
50,superglue-cb,superglue-cb_16_21,0.65625,0.2678571428571428
51,superglue-cb,superglue-cb_16_42,0.5625,0.5535714285714286
52,superglue-cb,superglue-cb_16_87,0.6875,0.5178571428571429
53,superglue-cb,mean,0.59375,0.45357142857142857
54,superglue-cb,std,0.06555055301063448,0.12657175104763824
55,,,,
56,tab_fact,tab_fact_16_100,0.5607843137254902,0.4974918671962466
57,tab_fact,tab_fact_16_13,0.3333333333333333,0.3304721030042918
58,tab_fact,tab_fact_16_21,0.5465587044534412,0.3908142766285998
59,tab_fact,tab_fact_16_42,0.4589371980676329,0.3465604163278581
60,tab_fact,tab_fact_16_87,0.5195195195195195,0.4998058833627516
61,tab_fact,mean,0.48382661381988346,0.41302890930394953
62,tab_fact,std,0.08294515871995578,0.07265178760709277
63,,,,
64,wiki_qa,wiki_qa_16_100,0.539313399778516,0.4987134101152365
65,wiki_qa,wiki_qa_16_13,0.6761133603238867,0.5070756270756271
66,wiki_qa,wiki_qa_16_21,0.7490196078431373,0.1665438205153072
67,wiki_qa,wiki_qa_16_42,0.7117117117117117,0.5013037152282582
68,wiki_qa,wiki_qa_16_87,0.6190476190476191,0.424366963391079
69,wiki_qa,mean,0.6590411397409741,0.4196007072651017
70,wiki_qa,std,0.07361519952202271,0.13011269575817414
71,,,,
72,yelp_polarity,yelp_polarity_16_100,0.6862745098039216,0.6537546947574283
73,yelp_polarity,yelp_polarity_16_13,0.5901477832512315,0.5128616075753512
74,yelp_polarity,yelp_polarity_16_21,0.5933528836754642,0.5869327205149191
75,yelp_polarity,yelp_polarity_16_42,0.7184750733137829,0.4971940172963185
76,yelp_polarity,yelp_polarity_16_87,0.7184750733137829,0.5236588295980561
77,yelp_polarity,mean,0.6613450646716366,0.5548803739484146
78,yelp_polarity,std,0.0580364412550936,0.058088831179137
79,,,,
