,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9589966787309772
1,amazon_polarity,amazon_polarity_16_13,1.0,0.9318156294620654
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9419544923219804
3,amazon_polarity,amazon_polarity_16_42,1.0,0.9288291187140324
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.936998424960624
5,amazon_polarity,mean,0.9874877810361682,0.9397188688379359
6,amazon_polarity,std,0.015324276005681649,0.01063090430694981
7,,,,
8,dbpedia_14,dbpedia_14_16_100,0.9910627007401202,0.7608490116297644
9,dbpedia_14,dbpedia_14_16_13,0.9821034792216008,0.6874923988567389
10,dbpedia_14,dbpedia_14_16_21,0.9910627007401202,0.6167875345274421
11,dbpedia_14,dbpedia_14_16_42,0.9865940511101802,0.7603544626237015
12,dbpedia_14,dbpedia_14_16_87,0.9910627007401202,0.5652088301449155
13,dbpedia_14,mean,0.9883771265104283,0.6781384475565124
14,dbpedia_14,std,0.00358259500968607,0.077723921627773
15,,,,
16,emo,emo_16_100,0.8121323529411765,0.3842013383366145
17,emo,emo_16_13,0.8583559991394677,0.2839728751876118
18,emo,emo_16_21,0.7676772247360483,0.3177719491306182
19,emo,emo_16_42,0.8131465517241379,0.3691845732921992
20,emo,emo_16_87,0.7963914152980436,0.4050814987992523
21,emo,mean,0.8095407087677747,0.35204244694925924
22,emo,std,0.029421442898158175,0.04460744653646707
23,,,,
24,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9173789173789174
25,ethos-religion,ethos-religion_16_13,1.0,0.839671636790082
26,ethos-religion,ethos-religion_16_21,0.9687194525904204,0.8080075662042876
27,ethos-religion,ethos-religion_16_42,0.9375,0.5895540773589555
28,ethos-religion,ethos-religion_16_87,0.9375,0.8522418478260869
29,ethos-religion,mean,0.9624877810361682,0.8013708091116658
30,ethos-religion,std,0.0233820975728594,0.1117345708002571
31,,,,
32,superglue-cb,superglue-cb_16_100,0.71875,0.5
33,superglue-cb,superglue-cb_16_13,0.71875,0.6071428571428571
34,superglue-cb,superglue-cb_16_21,0.84375,0.5357142857142857
35,superglue-cb,superglue-cb_16_42,0.75,0.5714285714285714
36,superglue-cb,superglue-cb_16_87,0.8125,0.5535714285714286
37,superglue-cb,mean,0.76875,0.5535714285714286
38,superglue-cb,std,0.05077524002897475,0.0357142857142857
39,,,,
40,tab_fact,tab_fact_16_100,0.5835835835835835,0.1063897615245948
41,tab_fact,tab_fact_16_13,0.5901477832512315,0.3306269071425702
42,tab_fact,tab_fact_16_21,0.5607843137254902,0.1251930558087898
43,tab_fact,tab_fact_16_42,0.5307917888563051,0.3332573626729805
44,tab_fact,mean,0.5663268673541526,0.2238667717872338
45,tab_fact,std,0.023230863058513327,0.10828362992699471
46,,,,
47,wiki_qa,wiki_qa_16_100,0.75,0.4369877450985115
48,wiki_qa,wiki_qa_16_13,0.5555555555555556,0.4462903683293488
49,wiki_qa,wiki_qa_16_21,0.625,0.3166125137601648
50,wiki_qa,wiki_qa_16_42,0.6190476190476191,0.3517230300239893
51,wiki_qa,wiki_qa_16_87,0.6476476476476476,0.4214092736715081
52,wiki_qa,mean,0.6394501644501644,0.3946045861767045
53,wiki_qa,std,0.06316936185206845,0.05120123968522847
54,,,,
55,yelp_polarity,yelp_polarity_16_100,1.0,0.9436140952003752
56,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9538143109878984
57,yelp_polarity,yelp_polarity_16_21,1.0,0.9480246519664384
58,yelp_polarity,yelp_polarity_16_42,1.0,0.9533826966633696
59,yelp_polarity,yelp_polarity_16_87,1.0,0.944834304470048
60,yelp_polarity,mean,0.987450980392157,0.948734011857626
61,yelp_polarity,std,0.02509803921568623,0.004227154253569367
62,,,,
