,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8900432900432901,0.858528916120141
1,ag_news,ag_news_16_13,0.7974750384024578,0.6806198859700573
2,ag_news,ag_news_16_21,0.891317348053591,0.5674223104877956
3,ag_news,ag_news_16_42,0.9210445468509983,0.8258663205134972
4,ag_news,ag_news_16_87,0.8926916847179127,0.4788673818392333
5,ag_news,mean,0.87851438161365,0.6822609629861448
6,ag_news,std,0.04212841726381131,0.1457754767481705
7,,,,
8,ai2_arc,ai2_arc_32_100,0.28125,0.2508361204013378
9,ai2_arc,ai2_arc_32_13,0.375,0.2307692307692307
10,ai2_arc,ai2_arc_32_21,0.375,0.2341137123745819
11,ai2_arc,ai2_arc_32_42,0.4375,0.2006688963210702
12,ai2_arc,ai2_arc_32_87,0.375,0.2341137123745819
13,ai2_arc,mean,0.36875,0.23010033444816047
14,ai2_arc,std,0.05,0.01630241820328287
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9579892452467832
17,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.929851565913473
18,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.934868107918535
19,amazon_polarity,amazon_polarity_16_42,0.7810361681329424,0.7390246777861634
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9268770803721056
21,amazon_polarity,mean,0.9374389051808407,0.8977221354474121
22,amazon_polarity,std,0.07913422101692129,0.0800988663817086
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,0.71875,0.505
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,0.65625,0.545
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,0.71875,0.745
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,0.81875,0.759
30,blimp-sentential_negation_npi_licensor_present,std,0.14973935688388673,0.21291782452392286
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,0.65625,0.505
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,0.78125,0.5
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.71875,0.435
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,0.71875,0.655
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,0.625,0.515
37,blimp-sentential_negation_npi_scope,mean,0.7,0.522
38,blimp-sentential_negation_npi_scope,std,0.054486236794258416,0.07222188034107117
39,,,,
40,break-QDMR,break-QDMR_32_100,0.125,0.0289948453608247
41,break-QDMR,break-QDMR_32_13,0.03125,0.0243556701030927
42,break-QDMR,break-QDMR_32_21,0.09375,0.0304123711340206
43,break-QDMR,break-QDMR_32_42,0.0625,0.0289948453608247
44,break-QDMR,break-QDMR_32_87,0.03125,0.0194587628865979
45,break-QDMR,mean,0.06875,0.02644329896907212
46,break-QDMR,std,0.036443449342783124,0.004047622768948581
47,,,,
48,circa,circa_16_100,0.4440357598978288,0.1077719131384213
49,circa,circa_16_13,0.3372494172494172,0.2684728424548836
50,circa,circa_16_21,0.4138785349647517,0.072219749342735
51,circa,circa_16_42,0.3163724685276409,0.0411056863873271
52,circa,circa_16_87,0.44223604826546,0.1280385192624245
53,circa,mean,0.39075444578101975,0.1235217421171583
54,circa,std,0.053701850894074324,0.07836272147194276
55,,,,
56,crawl_domain,crawl_domain_32_100,0.78125,0.6057347670250897
57,crawl_domain,crawl_domain_32_13,0.625,0.5622119815668203
58,crawl_domain,crawl_domain_32_21,0.6875,0.6088069636456733
59,crawl_domain,crawl_domain_32_42,0.75,0.6169994879672299
60,crawl_domain,crawl_domain_32_87,0.78125,0.6067588325652842
61,crawl_domain,mean,0.725,0.6001024065540195
62,crawl_domain,std,0.06059599821770411,0.01935456779097176
63,,,,
64,ethos-disability,ethos-disability_16_100,0.906158357771261,0.7310344827586207
65,ethos-disability,ethos-disability_16_13,0.9372549019607844,0.8104575163398693
66,ethos-disability,ethos-disability_16_21,0.906158357771261,0.7398325358851674
67,ethos-disability,ethos-disability_16_42,1.0,0.7430872483221477
68,ethos-disability,ethos-disability_16_87,0.9687194525904204,0.8365100671140939
69,ethos-disability,mean,0.9436582140187454,0.7721843700839798
70,ethos-disability,std,0.03648545838763583,0.04287009661868006
71,,,,
72,ethos-sexual_orientation,ethos-sexual_orientation_16_100,0.6761133603238867,0.5171634121274409
73,ethos-sexual_orientation,ethos-sexual_orientation_16_13,0.8117647058823529,0.6547619047619047
74,ethos-sexual_orientation,ethos-sexual_orientation_16_21,0.7810361681329424,0.6482758620689655
75,ethos-sexual_orientation,ethos-sexual_orientation_16_42,0.6875,0.5653746770025839
76,ethos-sexual_orientation,ethos-sexual_orientation_16_87,0.9687194525904204,0.744618395303327
77,ethos-sexual_orientation,mean,0.7850267373859204,0.6260388502528443
78,ethos-sexual_orientation,std,0.10568580361588739,0.07863155855298351
79,,,,
80,freebase_qa,freebase_qa_32_100,0.03125,0.0072608913370055
81,freebase_qa,freebase_qa_32_13,0.0,0.0042563845768652
82,freebase_qa,freebase_qa_32_21,0.0,0.0052578868302453
83,freebase_qa,freebase_qa_32_42,0.0,0.0067601402103154
84,freebase_qa,freebase_qa_32_87,0.0,0.0047571357035553
85,freebase_qa,mean,0.00625,0.00565848773159734
86,freebase_qa,std,0.012500000000000002,0.0011593226742904756
87,,,,
88,glue-cola,glue-cola_16_100,0.4045199174779452,0.0096436627879026
89,glue-cola,glue-cola_16_13,0.3779644730092272,0.0992931269441468
90,glue-cola,glue-cola_16_21,0.5039526306789696,0.0149819615635665
