,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.614732572367208
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.4648251631759877
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9389413226110292
3,amazon_polarity,amazon_polarity_16_42,1.0,0.9338942307692308
4,amazon_polarity,amazon_polarity_16_87,1.0,0.9339989439831038
5,amazon_polarity,mean,0.9874877810361682,0.777278446581312
6,amazon_polarity,std,0.01532427600568165,0.19963612858581323
7,,,,
8,anli,anli_16_100,0.4437095919448859,0.3323224454469017
9,anli,anli_16_13,0.371741784785263,0.235035059238418
10,anli,anli_16_21,0.4157894736842105,0.3112750117414505
11,anli,anli_16_42,0.4384002294752802,0.3046675666131482
12,anli,anli_16_87,0.4330128205128205,0.366158881428537
13,anli,mean,0.42053078008049205,0.30989179289369106
14,anli,std,0.02613511784068878,0.043132020203785135
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.863798891990814,0.5269943081847976
17,dbpedia_14,dbpedia_14_16_13,0.9062002608034146,0.395154802685136
18,dbpedia_14,dbpedia_14_16_21,0.8966612448903113,0.3786372573306349
19,dbpedia_14,dbpedia_14_16_42,0.9731828655215752,0.4362963389229444
20,dbpedia_14,dbpedia_14_16_87,0.9124776509750828,0.5768787411033274
21,dbpedia_14,mean,0.9104641828362396,0.4627922896453681
22,dbpedia_14,std,0.03556413561007568,0.07680696856624536
23,,,,
24,emo,emo_16_100,0.7301193543587052,0.2432806826261233
25,emo,emo_16_13,0.793459008097166,0.3993063716280652
26,emo,emo_16_21,0.7725490196078432,0.1904998520634337
27,emo,emo_16_42,0.8135069863722615,0.4725542496161442
28,emo,emo_16_87,0.7797181372549019,0.4800535542921242
29,emo,mean,0.7778705011381756,0.35713894204517815
30,emo,std,0.027658143729114345,0.11911261628478005
31,,,,
32,ethos-race,ethos-race_16_100,0.906158357771261,0.8653250773993808
33,ethos-race,ethos-race_16_13,0.906158357771261,0.7806722689075631
34,ethos-race,ethos-race_16_21,0.8125,0.561344537815126
35,ethos-race,ethos-race_16_42,0.9372549019607844,0.7566433566433567
36,ethos-race,ethos-race_16_87,0.7490196078431373,0.7410714285714286
37,ethos-race,mean,0.8622182450692888,0.7410113338673711
38,ethos-race,std,0.07039574170161686,0.09955040728226683
39,,,,
40,ethos-religion,ethos-religion_16_100,0.906158357771261,0.8817934782608696
41,ethos-religion,ethos-religion_16_13,0.8745098039215686,0.7642276422764227
42,ethos-religion,ethos-religion_16_21,0.9375,0.7751937984496124
43,ethos-religion,ethos-religion_16_42,0.9375,0.747440794499618
44,ethos-religion,ethos-religion_16_87,0.8117647058823529,0.7869387755102042
45,ethos-religion,mean,0.8934865735150366,0.7911188977993453
46,ethos-religion,std,0.047060639544545695,0.047167527145241035
47,,,,
48,superglue-cb,superglue-cb_16_100,0.84375,0.8392857142857143
49,superglue-cb,superglue-cb_16_13,0.8125,0.9107142857142856
50,superglue-cb,superglue-cb_16_21,0.90625,0.7678571428571429
51,superglue-cb,superglue-cb_16_42,0.78125,0.6964285714285714
52,superglue-cb,superglue-cb_16_87,0.9375,0.7321428571428571
53,superglue-cb,mean,0.85625,0.7892857142857144
54,superglue-cb,std,0.057960115596848154,0.07693092581620718
55,,,,
56,tab_fact,tab_fact_16_100,0.5901477832512315,0.4981237387162623
57,tab_fact,tab_fact_16_13,0.6190476190476191,0.248861534335563
58,tab_fact,tab_fact_16_21,0.6559139784946237,0.4879541240481083
59,tab_fact,tab_fact_16_42,0.5270935960591133,0.501737557266969
60,tab_fact,tab_fact_16_87,0.5465587044534412,0.4951053621223653
61,tab_fact,mean,0.5877523362612058,0.4463564632978535
62,tab_fact,std,0.046920231089240566,0.09885138730010555
63,,,,
64,wiki_qa,wiki_qa_16_100,0.6476476476476476,0.2036376809406651
65,wiki_qa,wiki_qa_16_13,0.5625,0.4451103235211092
66,wiki_qa,wiki_qa_16_21,0.5733333333333335,0.0218426453655324
67,wiki_qa,wiki_qa_16_42,0.716256157635468,0.2347367028879549
68,wiki_qa,wiki_qa_16_87,0.6476476476476476,0.3328003681157047
69,wiki_qa,mean,0.6294769572528194,0.24762554416619326
70,wiki_qa,std,0.05626543682858946,0.1409496083308946
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.619147631393219
73,yelp_polarity,yelp_polarity_16_13,0.9687194525904204,0.9651227382619616
74,yelp_polarity,yelp_polarity_16_21,0.9375,0.4626828265074024
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9552557180733444
76,yelp_polarity,yelp_polarity_16_87,1.0,0.1597757515484673
77,yelp_polarity,mean,0.981243890518084,0.6323969331568791
78,yelp_polarity,std,0.025003057540048484,0.3057101436585144
79,,,,
