,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9158218790961676
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9529864130733784
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.8725681760258261
3,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.9059544819692732
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9299596567622952
5,amazon_polarity,mean,0.9749755620723363,0.9154581213853881
6,amazon_polarity,std,0.012512218963831857,0.026640818681401154
7,,,,
8,anli,anli_16_100,0.4247416629985956,0.3141207838634658
9,anli,anli_16_13,0.4309941520467835,0.2608117796377075
10,anli,anli_16_21,0.4467382536801774,0.3064596932845991
11,anli,anli_16_42,0.4362519201228878,0.2507598279891274
12,anli,anli_16_87,0.4707489138383448,0.3279118839938993
13,anli,mean,0.4418949805373578,0.2920127937537598
14,anli,std,0.016130190680098258,0.030533690504302723
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9865984150258345,0.7183681615610947
17,dbpedia_14,dbpedia_14_16_13,0.9865984150258345,0.7173803597962846
18,dbpedia_14,dbpedia_14_16_21,0.9910627007401202,0.8564524606998681
19,dbpedia_14,dbpedia_14_16_42,0.9910714285714286,0.65197100897935
20,dbpedia_14,dbpedia_14_16_87,0.9865984150258345,0.59117593987898
21,dbpedia_14,mean,0.9883858748778103,0.7070695861831154
22,dbpedia_14,std,0.002189184026331014,0.08833618004024074
23,,,,
24,emo,emo_16_100,0.7537314269694422,0.3324596340617378
25,emo,emo_16_13,0.873662068174719,0.0843673942767802
26,emo,emo_16_21,0.8025244495832732,0.1156705689972399
27,emo,emo_16_42,0.8265533486121722,0.1467817068229894
28,emo,emo_16_87,0.8165584415584416,0.3716020177748071
29,emo,mean,0.8146059469796096,0.2101762643867109
30,emo,std,0.03869327553275256,0.11814361137537538
31,,,,
32,ethos-race,ethos-race_16_100,0.9687194525904204,0.7082264746498323
33,ethos-race,ethos-race_16_13,0.906158357771261,0.495164410058027
34,ethos-race,ethos-race_16_21,0.8435972629521017,0.7306501547987616
35,ethos-race,ethos-race_16_42,0.8423645320197044,0.5529290853031861
36,ethos-race,ethos-race_16_87,0.7810361681329424,0.7374400852121428
37,ethos-race,mean,0.8683751546932861,0.6448820420043899
38,ethos-race,std,0.06389858142352381,0.10080316785066762
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9375,0.9326625386996904
41,ethos-religion,ethos-religion_16_13,0.9687194525904204,0.9227764956506302
42,ethos-religion,ethos-religion_16_21,0.9375,0.7919655667144907
43,ethos-religion,ethos-religion_16_42,0.906158357771261,0.9058441558441558
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8197034911525586
45,ethos-religion,mean,0.9437194525904203,0.8745904496123051
46,ethos-religion,std,0.02340170517318281,0.05746391250140754
47,,,,
48,superglue-cb,superglue-cb_16_100,0.75,0.4464285714285714
49,superglue-cb,superglue-cb_16_13,0.6875,0.6964285714285714
50,superglue-cb,superglue-cb_16_21,0.90625,0.6964285714285714
51,superglue-cb,superglue-cb_16_42,0.71875,0.6964285714285714
52,superglue-cb,superglue-cb_16_87,0.75,0.5
53,superglue-cb,mean,0.7625,0.6071428571428571
54,superglue-cb,std,0.07551903733496608,0.11065666703449763
55,,,,
56,tab_fact,tab_fact_16_100,0.6190476190476191,0.4907645057236125
57,tab_fact,tab_fact_16_13,0.5933528836754642,0.4855067692833178
58,tab_fact,tab_fact_16_21,0.5933528836754642,0.0334945538117314
59,tab_fact,tab_fact_16_42,0.6235294117647059,0.4834200970566202
60,tab_fact,tab_fact_16_87,0.6761133603238867,0.4504990322643957
61,tab_fact,mean,0.6210792316974281,0.3887369916279355
62,tab_fact,std,0.03025355151139997,0.17818565219613755
63,,,,
64,wiki_qa,wiki_qa_16_100,0.6666666666666667,0.4231756560768209
65,wiki_qa,wiki_qa_16_13,0.5607843137254902,0.3247289933033329
66,wiki_qa,wiki_qa_16_21,0.6862745098039216,0.2859694542571504
67,wiki_qa,wiki_qa_16_42,0.6235294117647059,0.4297629159126999
68,wiki_qa,wiki_qa_16_87,0.6389743589743591,0.3196460128153294
69,wiki_qa,mean,0.6352458521870286,0.3566566064730667
70,wiki_qa,std,0.04309730601751831,0.05857498861131863
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9457480520965628
73,yelp_polarity,yelp_polarity_16_13,0.906158357771261,0.958683798508794
74,yelp_polarity,yelp_polarity_16_21,0.9687194525904204,0.9292094452833608
75,yelp_polarity,yelp_polarity_16_42,1.0,0.957880032773214
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9594713237800068
77,yelp_polarity,mean,0.9749755620723363,0.9501985304883878
78,yelp_polarity,std,0.036479073437937375,0.011639058396786204
79,,,,
