,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9559913743093646
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.924772436620778
2,amazon_polarity,amazon_polarity_16_21,0.9372549019607844,0.9339482154008742
3,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.9539815926370548
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.938967713920664
5,amazon_polarity,mean,0.9686826519464091,0.941532266577747
6,amazon_polarity,std,0.019841793372227644,0.011908301125654977
7,,,,
8,anli,anli_16_100,0.4668306346929015,0.0161472659343666
9,anli,anli_16_13,0.4273504273504273,0.0221785621601934
10,anli,anli_16_21,0.4472353043781615,0.0642144915398682
11,anli,anli_16_42,0.5468817204301075,0.0193810340150667
12,anli,anli_16_87,0.3507333814239184,0.0113365310351075
13,anli,mean,0.44780629365510316,0.02665157693692048
14,anli,std,0.06327682755423847,0.019124499416469407
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9910627007401202,0.5916258693556913
17,dbpedia_14,dbpedia_14_16_13,0.9819717916492108,0.7200337752646009
18,dbpedia_14,dbpedia_14_16_21,0.8497909998147191,0.416554766839512
19,dbpedia_14,dbpedia_14_16_42,0.9186460429724188,0.4682793156021793
20,dbpedia_14,dbpedia_14_16_87,0.9911900243968556,0.6518437223999535
21,dbpedia_14,mean,0.9465323119146648,0.5696674898923874
22,dbpedia_14,std,0.05544321238759878,0.11275477040107712
23,,,,
24,emo,emo_16_100,0.793096725367263,0.2407306561790113
25,emo,emo_16_13,0.8429082491582491,0.1877739677068402
26,emo,emo_16_21,0.7681948406452882,0.1427698918030116
27,emo,emo_16_42,0.8597262952101662,0.2237237172668393
28,emo,emo_16_87,0.7864705882352941,0.4264858049326636
29,emo,mean,0.8100793397232522,0.2442968075776732
30,emo,std,0.035050395387234166,0.09708897598773164
31,,,,
32,ethos-race,ethos-race_16_100,0.9054187192118226,0.4836438923395444
33,ethos-race,ethos-race_16_13,0.7810361681329424,0.4385521885521884
34,ethos-race,ethos-race_16_21,0.8435972629521017,0.683531746031746
35,ethos-race,ethos-race_16_42,0.8423645320197044,0.7522198023119451
36,ethos-race,ethos-race_16_87,0.6000000000000001,0.4744489795918367
37,ethos-race,mean,0.7944833364633144,0.5664793217654521
38,ethos-race,std,0.10489617753438049,0.1264099994471877
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9058441558441558
41,ethos-religion,ethos-religion_16_13,0.9687194525904204,0.9202273977626996
42,ethos-religion,ethos-religion_16_21,0.906158357771261,0.7754838709677419
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.8918870939108823
44,ethos-religion,ethos-religion_16_87,0.906158357771261,0.8561507936507936
45,ethos-religion,mean,0.9436950146627566,0.8699186624272546
46,ethos-religion,std,0.03064855201136335,0.05179132351812998
47,,,,
48,superglue-cb,superglue-cb_16_100,0.65625,0.6964285714285714
49,superglue-cb,superglue-cb_16_13,0.5625,0.6071428571428571
50,superglue-cb,superglue-cb_16_21,0.84375,0.5
51,superglue-cb,superglue-cb_16_42,0.65625,0.4464285714285714
52,superglue-cb,superglue-cb_16_87,0.71875,0.6964285714285714
53,superglue-cb,mean,0.6875,0.5892857142857142
54,superglue-cb,std,0.09270248108869579,0.10164463907684076
55,,,,
56,tab_fact,tab_fact_16_100,0.5076923076923077,0.0105040606117377
57,tab_fact,tab_fact_16_13,0.5625,0.0165734126010794
58,tab_fact,tab_fact_16_21,0.4980392156862745,0.0196439274627734
59,tab_fact,tab_fact_16_42,0.6113360323886641,0.0437239072438194
60,tab_fact,tab_fact_16_87,0.5555555555555556,0.01525958826084
61,tab_fact,mean,0.5470246222645603,0.021140979236049982
62,tab_fact,std,0.0409751696476567,0.011668995363821056
63,,,,
64,wiki_qa,wiki_qa_16_100,0.75,0.4296911148243056
65,wiki_qa,wiki_qa_16_13,0.6559139784946237,0.4377751516019672
66,wiki_qa,wiki_qa_16_21,0.7184750733137829,0.3951636879850541
67,wiki_qa,wiki_qa_16_42,0.6875,0.4519239656356336
68,wiki_qa,wiki_qa_16_87,0.6559139784946237,0.4164727883142891
69,wiki_qa,mean,0.6935606060606061,0.4262053416722499
70,wiki_qa,std,0.03654423058913987,0.019317171601187705
71,,,,
72,yelp_polarity,yelp_polarity_16_100,0.9687194525904204,0.9481095403029304
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.950921051781874
74,yelp_polarity,yelp_polarity_16_21,0.9687194525904204,0.9547042065488182
75,yelp_polarity,yelp_polarity_16_42,0.9687194525904204,0.9630261717605376
76,yelp_polarity,yelp_polarity_16_87,0.9687194525904204,0.956051532867269
77,yelp_polarity,mean,0.9624265424644932,0.9545625006522858
78,yelp_polarity,std,0.012585820251854372,0.005074876811769971
79,,,,
