,task,entry,dev_performance,test_performance
0,ag_news,ag_news_16_100,0.8747135217723453,0.3722903434709601
1,ag_news,ag_news_16_13,0.8131000384024578,0.561264479511872
2,ag_news,ag_news_16_21,0.8927083333333333,0.8323337051623539
3,ag_news,ag_news_16_42,0.8594086021505377,0.2518223558074381
4,ag_news,ag_news_16_87,0.8919843597262953,0.2798607189216869
5,ag_news,mean,0.8663829710769939,0.4595143205748622
6,ag_news,std,0.029344732440113888,0.21557679808626698
7,,,,
8,ai2_arc,ai2_arc_32_100,0.3125,0.2976588628762542
9,ai2_arc,ai2_arc_32_13,0.34375,0.2508361204013378
10,ai2_arc,ai2_arc_32_21,0.3125,0.2240802675585284
11,ai2_arc,ai2_arc_32_42,0.375,0.2274247491638795
12,ai2_arc,ai2_arc_32_87,0.34375,0.2073578595317725
13,ai2_arc,mean,0.3375,0.2414715719063545
14,ai2_arc,std,0.023385358667337135,0.03133120649800772
15,,,,
16,amazon_polarity,amazon_polarity_16_100,1.0,0.9459894139251293
17,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9348560971185348
18,amazon_polarity,amazon_polarity_16_21,0.9375,0.9227992007210756
19,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.9399805536993986
20,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.934998374959374
21,amazon_polarity,mean,0.9687316715542522,0.9357247280847025
22,amazon_polarity,std,0.019764241041704985,0.0076397276562884
23,,,,
24,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_100,1.0,1.0
25,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_13,1.0,1.0
26,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_21,1.0,1.0
27,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_42,1.0,1.0
28,blimp-sentential_negation_npi_licensor_present,blimp-sentential_negation_npi_licensor_present_16_87,1.0,1.0
29,blimp-sentential_negation_npi_licensor_present,mean,1.0,1.0
30,blimp-sentential_negation_npi_licensor_present,std,0.0,0.0
31,,,,
32,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_100,1.0,0.995
33,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_13,1.0,1.0
34,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_21,0.71875,0.545
35,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_42,1.0,1.0
36,blimp-sentential_negation_npi_scope,blimp-sentential_negation_npi_scope_16_87,1.0,1.0
37,blimp-sentential_negation_npi_scope,mean,0.94375,0.908
38,blimp-sentential_negation_npi_scope,std,0.1125,0.18151033028453228
39,,,,
