,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,0.9687194525904204,0.9379642674180328
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.6019363806641013
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.4587844745697219
3,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.5921404702399339
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.6096375234651787
5,amazon_polarity,mean,0.9687194525904204,0.6400926232713937
6,amazon_polarity,std,0.0,0.15892324065832236
7,,,,
8,anli,anli_16_100,0.4675324675324675,0.0833898056830387
9,anli,anli_16_13,0.4519140989729225,0.1645839377572315
10,anli,anli_16_21,0.4299840510366826,0.2863484417362038
11,anli,anli_16_42,0.4196305486628067,0.288571912792647
12,anli,anli_16_87,0.4358506780691274,0.2456525621208927
13,anli,mean,0.44098236885480135,0.21370933201800274
14,anli,std,0.016897384021372294,0.07911725414313207
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9820991153059464,0.6201899567180417
17,dbpedia_14,dbpedia_14_16_13,0.9776348295916608,0.7235177729800423
18,dbpedia_14,dbpedia_14_16_21,0.9865984150258345,0.5371332550433522
19,dbpedia_14,dbpedia_14_16_42,0.9910627007401202,0.6511790595393706
20,dbpedia_14,dbpedia_14_16_87,0.9910627007401202,0.6555805211717504
21,dbpedia_14,mean,0.9856915522807365,0.6375201130905114
22,dbpedia_14,std,0.0052218244989741145,0.060475115962028314
23,,,,
24,emo,emo_16_100,0.65039130780232,0.2728201856776429
25,emo,emo_16_13,0.7431244830438378,0.3870505535166565
26,emo,emo_16_21,0.8279258098223616,0.3295281283063205
27,emo,emo_16_42,0.7174107142857143,0.1082529176198411
28,emo,emo_16_87,0.7756875477463714,0.345706508362344
29,emo,mean,0.742907972540121,0.28867165869656103
30,emo,std,0.059181117793344465,0.09736819137682806
31,,,,
32,ethos-race,ethos-race_16_100,0.906158357771261,0.6847826086956521
33,ethos-race,ethos-race_16_13,0.8117647058823529,0.6547619047619049
34,ethos-race,ethos-race_16_21,0.8435972629521017,0.7992188886916386
35,ethos-race,ethos-race_16_42,0.9372549019607844,0.8172268907563025
36,ethos-race,ethos-race_16_87,0.716256157635468,0.4899184899184899
37,ethos-race,mean,0.8430062772403936,0.6891817565647976
38,ethos-race,std,0.07734722542141528,0.11782500156714243
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9504273504273504
41,ethos-religion,ethos-religion_16_13,0.9375,0.9087412587412588
42,ethos-religion,ethos-religion_16_21,0.9375,0.8651162790697674
43,ethos-religion,ethos-religion_16_42,0.9375,0.9350746268656716
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8817934782608696
45,ethos-religion,mean,0.9499877810361681,0.9082305986729835
46,ethos-religion,std,0.015294345779108078,0.03180941487191394
47,,,,
48,superglue-cb,superglue-cb_16_100,0.75,0.5714285714285714
49,superglue-cb,superglue-cb_16_13,0.625,0.625
50,superglue-cb,superglue-cb_16_21,0.8125,0.6428571428571429
51,superglue-cb,superglue-cb_16_42,0.6875,0.5
52,superglue-cb,superglue-cb_16_87,0.78125,0.5178571428571429
53,superglue-cb,mean,0.73125,0.5714285714285714
54,superglue-cb,std,0.06731456008918131,0.05646924393157821
55,,,,
56,tab_fact,tab_fact_16_100,0.6476476476476476,0.1537613224327396
57,tab_fact,tab_fact_16_13,0.5307917888563051,0.1726427349527185
58,tab_fact,tab_fact_16_21,0.5333333333333333,0.0298724289012017
59,tab_fact,tab_fact_16_42,0.5933528836754642,0.3339771938167286
60,tab_fact,tab_fact_16_87,0.6190476190476191,0.1058281160267017
61,tab_fact,mean,0.5848346545120738,0.159216359226018
62,tab_fact,std,0.04639305268783981,0.10033098337222907
63,,,,
64,wiki_qa,wiki_qa_16_100,0.5465587044534412,0.3143278051687682
65,wiki_qa,wiki_qa_16_13,0.5151515151515151,0.3699341782100402
66,wiki_qa,wiki_qa_16_21,0.7810361681329424,0.4022903950533829
67,wiki_qa,wiki_qa_16_42,0.5607843137254902,0.3926248967324789
68,wiki_qa,wiki_qa_16_87,0.6476476476476476,0.2681010166243328
69,wiki_qa,mean,0.6102356698222072,0.34945565835780057
70,wiki_qa,std,0.09603505122175561,0.050846840846076165
71,,,,
72,yelp_polarity,yelp_polarity_16_100,0.9687194525904204,0.2618604265633907
73,yelp_polarity,yelp_polarity_16_13,0.906158357771261,0.0608357667918058
74,yelp_polarity,yelp_polarity_16_21,0.9687194525904204,0.9317494660342291
75,yelp_polarity,yelp_polarity_16_42,0.8745098039215686,0.3706216596343179
76,yelp_polarity,yelp_polarity_16_87,0.875,0.1600186780002548
77,yelp_polarity,mean,0.9186214133747341,0.3570171994047997
78,yelp_polarity,std,0.04248203529692561,0.3053158788929891
79,,,,
