,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.951995199519952
1,amazon_polarity,amazon_polarity_16_13,1.0,0.9348905510162584
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9389486558195442
3,amazon_polarity,amazon_polarity_16_42,1.0,0.9369393987622106
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9389950585997466
5,amazon_polarity,mean,0.9874877810361682,0.9403537727435424
6,amazon_polarity,std,0.015324276005681649,0.006014116999377846
7,,,,
8,anli,anli_16_100,0.3976048191614467,0.1110166119196556
9,anli,anli_16_13,0.4711725550435228,0.1850876223407661
10,anli,anli_16_21,0.405982905982906,0.0655153129479216
11,anli,anli_16_42,0.3166463166463166,0.0231208038387357
12,anli,anli_16_87,0.3981481481481481,0.2477263789713952
13,anli,mean,0.397910948996468,0.12649334600369486
14,anli,std,0.049064263695898835,0.0809622996078025
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9910627007401202,0.5641527840655507
17,dbpedia_14,dbpedia_14_16_13,0.9864587697248988,0.7622893750011803
18,dbpedia_14,dbpedia_14_16_21,0.9910670646557744,0.5931120810761635
19,dbpedia_14,dbpedia_14_16_42,0.99553135037006,0.4816632379085878
20,dbpedia_14,dbpedia_14_16_87,0.9683787839132012,0.8040157616995578
21,dbpedia_14,mean,0.9864997338808109,0.641046647950208
22,dbpedia_14,std,0.009503912659180361,0.12237008727627416
23,,,,
24,emo,emo_16_100,0.792421749474725,0.3999506419118205
25,emo,emo_16_13,0.8447056774642983,0.260225721116631
26,emo,emo_16_21,0.8264087374761817,0.2448020519278554
27,emo,emo_16_42,0.7931551626563629,0.2036982153185249
28,emo,emo_16_87,0.8194805194805195,0.3035102249854546
29,emo,mean,0.8152343693104175,0.2824373710520573
30,emo,std,0.02009657328856032,0.06687759458162693
31,,,,
32,ethos-race,ethos-race_16_100,0.9687194525904204,0.466774193548387
33,ethos-race,ethos-race_16_13,1.0,0.6241359447004609
34,ethos-race,ethos-race_16_21,0.875,0.8245002750779387
35,ethos-race,ethos-race_16_42,0.9375,0.5768607221812823
36,ethos-race,ethos-race_16_87,0.7117117117117117,0.859903381642512
37,ethos-race,mean,0.8985862328604265,0.6704349034301161
38,ethos-race,std,0.10217250019769109,0.1496742120089313
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9326625386996904
41,ethos-religion,ethos-religion_16_13,1.0,0.9202273977626996
42,ethos-religion,ethos-religion_16_21,0.9687194525904204,0.8153469387755102
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.9202273977626996
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8688222482827945
45,ethos-religion,mean,0.9749755620723363,0.891457304256679
46,ethos-religion,std,0.012512218963831857,0.04395097586814617
47,,,,
48,superglue-cb,superglue-cb_16_100,0.78125,0.5535714285714286
49,superglue-cb,superglue-cb_16_13,0.6875,0.7321428571428571
50,superglue-cb,superglue-cb_16_21,0.875,0.5357142857142857
51,superglue-cb,superglue-cb_16_42,0.71875,0.6964285714285714
52,superglue-cb,superglue-cb_16_87,0.75,0.4642857142857143
53,superglue-cb,mean,0.7625,0.5964285714285713
54,superglue-cb,std,0.06434768838116875,0.10139335404698847
55,,,,
56,tab_fact,tab_fact_16_100,0.6476476476476476,0.1554387380287174
57,tab_fact,tab_fact_16_13,0.6476476476476476,0.1427727594369513
58,tab_fact,tab_fact_16_21,0.6559139784946237,0.063909919441967
59,tab_fact,tab_fact_16_42,0.6000000000000001,0.3323238247006694
60,tab_fact,tab_fact_16_87,0.6666666666666667,0.0591425090215339
61,tab_fact,mean,0.6435751880913172,0.15071755012596783
62,tab_fact,std,0.022879812072139554,0.0989826259274383
63,,,,
64,wiki_qa,wiki_qa_16_100,0.716256157635468,0.4518096560042005
65,wiki_qa,wiki_qa_16_13,0.5733333333333335,0.2348044725160335
66,wiki_qa,wiki_qa_16_21,0.6559139784946237,0.3423716350657932
67,wiki_qa,wiki_qa_16_42,0.5901477832512315,0.4943453972404346
68,wiki_qa,wiki_qa_16_87,0.5933528836754642,0.3954903119193787
69,wiki_qa,mean,0.6258008272780242,0.38376429454916805
70,wiki_qa,std,0.05322746505238733,0.09044139739143649
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9438401980954793
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9660526292280214
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9673646218787658
75,yelp_polarity,yelp_polarity_16_42,1.0,0.955225639212914
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9643315078429032
77,yelp_polarity,mean,0.987450980392157,0.9593629192516167
78,yelp_polarity,std,0.02509803921568623,0.008849161489102123
79,,,,
