,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9489300852867576
1,amazon_polarity,amazon_polarity_16_13,1.0,0.924738013023334
2,amazon_polarity,amazon_polarity_16_21,0.9375,0.9177776708219024
3,amazon_polarity,amazon_polarity_16_42,0.9687194525904204,0.8942358540454785
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9319016660057122
5,amazon_polarity,mean,0.9749877810361681,0.923516657836637
6,amazon_polarity,std,0.023388628882482915,0.01793289607320407
7,,,,
8,anli,anli_16_100,0.4261225761927024,0.1535432009215679
9,anli,anli_16_13,0.4181929181929182,0.3066598280410393
10,anli,anli_16_21,0.5385562946538557,0.08373851715115
11,anli,anli_16_42,0.4371980676328502,0.0260045768658245
12,anli,anli_16_87,0.5009044350005448,0.0394572228167998
13,anli,mean,0.46419485833457425,0.12188066915927628
14,anli,std,0.04726884831036359,0.1025539144205569
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9910627007401202,0.5213012537090463
17,dbpedia_14,dbpedia_14_16_13,0.98225708905263,0.7173788386921249
18,dbpedia_14,dbpedia_14_16_21,0.9867213747669156,0.6491553129828906
19,dbpedia_14,dbpedia_14_16_42,0.9910627007401202,0.8043833908654492
20,dbpedia_14,dbpedia_14_16_87,0.99553135037006,0.6515300303195721
21,dbpedia_14,mean,0.9893270431339692,0.6687497653138166
22,dbpedia_14,std,0.00450093770858245,0.09293308621561687
23,,,,
24,emo,emo_16_100,0.8246506813869243,0.3025634242130894
25,emo,emo_16_13,0.8597262952101662,0.2394511603502903
26,emo,emo_16_21,0.8383515480289674,0.4110924387615609
27,emo,emo_16_42,0.7965909090909091,0.1997634066719286
28,emo,emo_16_87,0.7930688733173521,0.3436528652324113
29,emo,mean,0.8224776614068638,0.2993046590458561
30,emo,std,0.025215724359609632,0.07478608542558883
31,,,,
32,ethos-race,ethos-race_16_100,0.9054187192118226,0.5344827586206896
33,ethos-race,ethos-race_16_13,0.9687194525904204,0.5567255434782609
34,ethos-race,ethos-race_16_21,0.75,0.5396825396825397
35,ethos-race,ethos-race_16_42,0.8117647058823529,0.5790322580645162
36,ethos-race,ethos-race_16_87,0.8117647058823529,0.8851232394366197
37,ethos-race,mean,0.8495335167133897,0.6190092678565252
38,ethos-race,std,0.07757361698630588,0.13396382352773792
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9663312693498451
41,ethos-religion,ethos-religion_16_13,1.0,0.8950904392764858
42,ethos-religion,ethos-religion_16_21,0.9687194525904204,0.8437551020408163
43,ethos-religion,ethos-religion_16_42,0.9687194525904204,0.9173789173789174
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.9227764956506302
45,ethos-religion,mean,0.9749755620723363,0.9090664447393391
46,ethos-religion,std,0.012512218963831857,0.039993057019506645
47,,,,
48,superglue-cb,superglue-cb_16_100,0.6875,0.5714285714285714
49,superglue-cb,superglue-cb_16_13,0.625,0.5714285714285714
50,superglue-cb,superglue-cb_16_21,0.71875,0.4821428571428571
51,superglue-cb,superglue-cb_16_42,0.625,0.5714285714285714
52,superglue-cb,superglue-cb_16_87,0.84375,0.6607142857142857
53,superglue-cb,mean,0.7,0.5714285714285714
54,superglue-cb,std,0.08052561704203204,0.05646924393157821
55,,,,
56,tab_fact,tab_fact_16_100,0.6235294117647059,0.1214981327931571
57,tab_fact,tab_fact_16_13,0.5307917888563051,0.0290134133040785
58,tab_fact,tab_fact_16_21,0.46843853820598,0.0169261693059051
59,tab_fact,tab_fact_16_42,0.6235294117647059,0.0982507648984852
60,tab_fact,tab_fact_16_87,0.6532019704433498,0.0203494264428833
61,tab_fact,mean,0.5798982242070093,0.05720758134890184
62,tab_fact,std,0.06930440659001784,0.04380375502598995
63,,,,
64,wiki_qa,wiki_qa_16_100,0.7810361681329424,0.5232507774176306
65,wiki_qa,wiki_qa_16_13,0.6190476190476191,0.3887287552804794
66,wiki_qa,wiki_qa_16_21,0.8125,0.4226633918930312
67,wiki_qa,wiki_qa_16_42,0.7184750733137829,0.3901891469670406
68,wiki_qa,wiki_qa_16_87,0.6825396825396826,0.4904604040525148
69,wiki_qa,mean,0.7227197086068055,0.4430584951221393
70,wiki_qa,std,0.06905311542776894,0.054480440437531044
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9494686310736336
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9510479906301366
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9470656136895892
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9522365435836606
76,yelp_polarity,yelp_polarity_16_87,1.0,0.955104398298201
77,yelp_polarity,mean,0.987450980392157,0.9509846354550442
78,yelp_polarity,std,0.02509803921568623,0.0026907521107351726
79,,,,
