,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9509940702825042
1,amazon_polarity,amazon_polarity_16_13,1.0,0.9338833702651476
2,amazon_polarity,amazon_polarity_16_21,0.9372549019607844,0.9299091622743076
3,amazon_polarity,amazon_polarity_16_42,1.0,0.93791034253462
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.9329886750860894
5,amazon_polarity,mean,0.9811948709102409,0.9371371240885337
6,amazon_polarity,std,0.02508886435764371,0.007384481019610673
7,,,,
8,anli,anli_16_100,0.511873117136275,0.1167121302776899
9,anli,anli_16_13,0.3768225238813474,0.1031614924284449
10,anli,anli_16_21,0.4069478908188585,0.0447548144216735
11,anli,anli_16_42,0.3275226445958153,0.0174820655604736
12,anli,anli_16_87,0.4281775572098152,0.0152827117426258
13,anli,mean,0.41026874672842234,0.05947864288618154
14,anli,std,0.0610258451865809,0.042702804087081464
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9867213747669156,0.7211657759051002
17,dbpedia_14,dbpedia_14_16_13,0.97773455423225,0.7221534102185496
18,dbpedia_14,dbpedia_14_16_21,0.9867213747669156,0.6504251074786929
19,dbpedia_14,dbpedia_14_16_42,0.9910714285714286,0.7186847854268964
20,dbpedia_14,dbpedia_14_16_87,0.9910627007401202,0.6864888853305979
21,dbpedia_14,mean,0.9866622866155261,0.6997835928719673
22,dbpedia_14,std,0.004868584303098653,0.028028096219004917
23,,,,
24,emo,emo_16_100,0.8125658125658125,0.3503862843250984
25,emo,emo_16_13,0.8245941558441559,0.3098569128672875
26,emo,emo_16_21,0.7578898527174389,0.3681200867999958
27,emo,emo_16_42,0.7653013399717254,0.321930751458604
28,emo,emo_16_87,0.7718551587301588,0.3683187837186689
29,emo,mean,0.7864412639658582,0.3437225638339309
30,emo,std,0.026881105389955293,0.02394319833388353
31,,,,
32,ethos-race,ethos-race_16_100,0.9375,0.4423076923076923
33,ethos-race,ethos-race_16_13,0.8745098039215686,0.7087517934002869
34,ethos-race,ethos-race_16_21,0.8117647058823529,0.7078358208955223
35,ethos-race,ethos-race_16_42,0.9054187192118226,0.7287731523931781
36,ethos-race,ethos-race_16_87,0.6476476476476476,0.6969814241486068
37,ethos-race,mean,0.8353681753326784,0.6569299766290573
38,ethos-race,std,0.10263155039330735,0.10780091924799055
39,,,,
40,ethos-religion,ethos-religion_16_100,0.9687194525904204,0.9173789173789174
41,ethos-religion,ethos-religion_16_13,1.0,0.8918870939108823
42,ethos-religion,ethos-religion_16_21,0.9375,0.8153469387755102
43,ethos-religion,ethos-religion_16_42,0.9375,0.8883183568677793
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8153469387755102
45,ethos-religion,mean,0.9624877810361682,0.8656556491417199
46,ethos-religion,std,0.0233820975728594,0.04228218577773348
47,,,,
48,superglue-cb,superglue-cb_16_100,0.6875,0.5714285714285714
49,superglue-cb,superglue-cb_16_13,0.625,0.625
50,superglue-cb,superglue-cb_16_21,0.78125,0.3571428571428571
51,superglue-cb,superglue-cb_16_42,0.625,0.5714285714285714
52,superglue-cb,superglue-cb_16_87,0.78125,0.6071428571428571
53,superglue-cb,mean,0.7,0.5464285714285715
54,superglue-cb,std,0.0701560760020114,0.09689042833036098
55,,,,
56,tab_fact,tab_fact_16_100,0.75,0.4817077672377599
57,tab_fact,tab_fact_16_13,0.625,0.1987737161304581
58,tab_fact,tab_fact_16_21,0.625,0.0132728975000884
59,tab_fact,tab_fact_16_42,0.5588547189819725,0.0045224391072183
60,tab_fact,tab_fact_16_87,0.5625,0.0035336480825816
61,tab_fact,mean,0.6242709437963945,0.14036209361162127
62,tab_fact,std,0.06914302652648893,0.18614772926824008
63,,,,
64,wiki_qa,wiki_qa_16_100,0.7810361681329424,0.4949318726826026
65,wiki_qa,wiki_qa_16_13,0.6476476476476476,0.3894447922501565
66,wiki_qa,wiki_qa_16_21,0.8423645320197044,0.4047312732712226
67,wiki_qa,wiki_qa_16_42,0.6532019704433498,0.3444178858613047
68,wiki_qa,wiki_qa_16_87,0.7490196078431373,0.4056547066355203
69,wiki_qa,mean,0.7346539852173564,0.40783610614016136
70,wiki_qa,std,0.07505168004240963,0.04890844943462549
71,,,,
72,yelp_polarity,yelp_polarity_16_100,1.0,0.9474360924444584
73,yelp_polarity,yelp_polarity_16_13,0.9372549019607844,0.9582890223448576
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9514032468432774
75,yelp_polarity,yelp_polarity_16_42,1.0,0.9503921387849692
76,yelp_polarity,yelp_polarity_16_87,1.0,0.9574985099460293
77,yelp_polarity,mean,0.987450980392157,0.9530038020727185
78,yelp_polarity,std,0.02509803921568623,0.004207562355262747
79,,,,
