,task,entry,dev_performance,test_performance
0,amazon_polarity,amazon_polarity_16_100,1.0,0.9459783913565426
1,amazon_polarity,amazon_polarity_16_13,0.9687194525904204,0.9097559801703808
2,amazon_polarity,amazon_polarity_16_21,0.9687194525904204,0.9189409079218752
3,amazon_polarity,amazon_polarity_16_42,1.0,0.6016279858196922
4,amazon_polarity,amazon_polarity_16_87,0.9687194525904204,0.931990206589749
5,amazon_polarity,mean,0.9812316715542522,0.8616586943716479
6,amazon_polarity,std,0.01532427600568165,0.13058859306306989
7,,,,
8,anli,anli_16_100,0.4679012345679011,0.1867572893891832
9,anli,anli_16_13,0.4781444403246406,0.0901986536116877
10,anli,anli_16_21,0.3994708994708995,0.3341492028028328
11,anli,anli_16_42,0.4074197120708748,0.206779904286395
12,anli,anli_16_87,0.3637226970560303,0.1799227577401851
13,anli,mean,0.42333179669806925,0.19956156156605676
14,anli,std,0.043281964620773404,0.07832728168809859
15,,,,
16,dbpedia_14,dbpedia_14_16_100,0.9822527251369758,0.6203865324813459
17,dbpedia_14,dbpedia_14_16_13,0.9774768558449772,0.6459960496187416
18,dbpedia_14,dbpedia_14_16_21,0.99553135037006,0.6439827664698894
19,dbpedia_14,dbpedia_14_16_42,0.98212540148024,0.5194366095644388
20,dbpedia_14,dbpedia_14_16_87,0.9819761555648654,0.7175144395583778
21,dbpedia_14,mean,0.9838724976794238,0.6294632795385586
22,dbpedia_14,std,0.006100904886496712,0.06391464653871376
23,,,,
24,emo,emo_16_100,0.6566155377319829,0.2930120793374743
25,emo,emo_16_13,0.8104214669738864,0.4300510210579856
26,emo,emo_16_21,0.7848272642390289,0.2442453668436854
27,emo,emo_16_42,0.8293560606060606,0.4312916875341001
28,emo,emo_16_87,0.8204099821746881,0.418224499732888
29,emo,mean,0.7803260623451294,0.3633649309012267
30,emo,std,0.06362538716061,0.07900588008985512
31,,,,
32,ethos-race,ethos-race_16_100,0.9687194525904204,0.6739001775498126
33,ethos-race,ethos-race_16_13,0.8435972629521017,0.606580383595821
34,ethos-race,ethos-race_16_21,0.875,0.7768790688498717
35,ethos-race,ethos-race_16_42,0.9372549019607844,0.4256892230576441
36,ethos-race,ethos-race_16_87,0.6761133603238867,0.853781512605042
37,ethos-race,mean,0.8601369955654388,0.6673660731316383
38,ethos-race,std,0.10207496406430085,0.14757310509698185
39,,,,
40,ethos-religion,ethos-religion_16_100,0.8745098039215686,0.9173789173789174
41,ethos-religion,ethos-religion_16_13,0.9372549019607844,0.9350746268656716
42,ethos-religion,ethos-religion_16_21,0.9375,0.8105210252973697
43,ethos-religion,ethos-religion_16_42,0.8745098039215686,0.835142118863049
44,ethos-religion,ethos-religion_16_87,0.9687194525904204,0.8273809523809523
45,ethos-religion,mean,0.9184987924788685,0.8650995281571919
46,ethos-religion,std,0.03769619201136172,0.05084997400448202
47,,,,
48,superglue-cb,superglue-cb_16_100,0.65625,0.5892857142857143
49,superglue-cb,superglue-cb_16_13,0.6875,0.5714285714285714
50,superglue-cb,superglue-cb_16_21,0.8125,0.5714285714285714
51,superglue-cb,superglue-cb_16_42,0.75,0.6428571428571429
52,superglue-cb,superglue-cb_16_87,0.8125,0.4464285714285714
53,superglue-cb,mean,0.74375,0.5642857142857143
54,superglue-cb,std,0.06373774391990981,0.06448382173309927
55,,,,
56,tab_fact,tab_fact_16_100,0.5465587044534412,0.3137672877924606
57,tab_fact,tab_fact_16_13,0.5555555555555556,0.1999521711887402
58,tab_fact,tab_fact_16_21,0.5076923076923077,0.2376171015342504
59,tab_fact,tab_fact_16_42,0.6825396825396826,0.4905374431523746
60,tab_fact,tab_fact_16_87,0.6389743589743591,0.4421059889526344
61,tab_fact,mean,0.5862641218430692,0.33679599852409203
62,tab_fact,std,0.06440561913116756,0.11297755005869202
63,,,,
64,wiki_qa,wiki_qa_16_100,0.7117117117117117,0.3860535419179742
65,wiki_qa,wiki_qa_16_13,0.4458874458874459,0.4235154782588224
66,wiki_qa,wiki_qa_16_21,0.7490196078431373,0.3648414644149358
67,wiki_qa,wiki_qa_16_42,0.6389743589743591,0.2373257157513864
68,wiki_qa,wiki_qa_16_87,0.6875,0.3121022204811154
69,wiki_qa,mean,0.6466186248833308,0.3447676841648469
70,wiki_qa,std,0.10653243554690428,0.06468307796145714
71,,,,
72,yelp_polarity,yelp_polarity_16_100,0.9687194525904204,0.174366335257368
73,yelp_polarity,yelp_polarity_16_13,0.906158357771261,0.1702912402738045
74,yelp_polarity,yelp_polarity_16_21,1.0,0.9265392250984988
75,yelp_polarity,yelp_polarity_16_42,0.873015873015873,0.1746375891495015
76,yelp_polarity,yelp_polarity_16_87,1.0,0.4567025835466086
77,yelp_polarity,mean,0.949578736675511,0.38050739466515626
78,yelp_polarity,std,0.051377380221578325,0.2942868707295568
79,,,,
