,prefix,lr,bsz,dev_performance,test_performance
0,amazon_polarity_16_100,0.5,8,0.9375,0.9099481301229508
1,amazon_polarity_16_100,0.4,8,0.9375,0.9148834754779294
2,amazon_polarity_16_100,0.3,8,1.0,0.9409687724806421
3,amazon_polarity_16_100,0.2,8,0.9054187192118226,0.9169633808509553
4,amazon_polarity_16_100_best,0.3,8,1.0,0.9409687724806421
5,amazon_polarity_16_13,0.5,8,0.875,0.8599859985998599
6,amazon_polarity_16_13,0.4,8,0.8435972629521017,0.8539012372363717
7,amazon_polarity_16_13,0.3,8,0.906158357771261,0.7660122099083193
8,amazon_polarity_16_13,0.2,8,0.8745098039215686,0.875801282051282
9,amazon_polarity_16_13_best,0.3,8,0.906158357771261,0.7660122099083193
10,amazon_polarity_16_21,0.5,8,0.716256157635468,0.16895455573678755
11,amazon_polarity_16_21,0.4,8,0.9687194525904204,0.8948400517186641
12,amazon_polarity_16_21,0.3,8,0.9375,0.8582215308834014
13,amazon_polarity_16_21,0.2,8,0.9372549019607843,0.9078049152005643
14,amazon_polarity_16_21_best,0.4,8,0.9687194525904204,0.8948400517186641
15,amazon_polarity_16_42,0.5,8,0.716256157635468,0.0041731402794284965
16,amazon_polarity_16_42,0.4,8,0.716256157635468,0.5884178783242786
17,amazon_polarity_16_42,0.3,8,0.9687194525904204,0.8627875911554496
18,amazon_polarity_16_42,0.2,8,0.906158357771261,0.9009642480935618
19,amazon_polarity_16_42_best,0.3,8,0.9687194525904204,0.8627875911554496
20,amazon_polarity_16_87,0.5,8,0.9687194525904204,0.8826450011284135
21,amazon_polarity_16_87,0.4,8,0.9687194525904204,0.8629274886414913
22,amazon_polarity_16_87,0.3,8,0.9375,0.8649609737214055
23,amazon_polarity_16_87,0.2,8,0.906158357771261,0.8618585431481838
24,amazon_polarity_16_87_best,0.5,8,0.9687194525904204,0.8826450011284135
