,prefix,lr,bsz,dev_performance,test_performance
0,anli_16_100,0.5,8,0.43401561251459836,0.22538835648746125
1,anli_16_100,0.4,8,0.43915343915343913,0.11658496894317535
2,anli_16_100,0.3,8,0.41469750293279706,0.29624372689927275
3,anli_16_100,0.2,8,0.3968253968253968,0.18259211234390055
4,anli_16_100_best,0.4,8,0.43915343915343913,0.11658496894317535
5,anli_16_13,0.5,8,0.4699925678186547,0.09712238544386016
6,anli_16_13,0.4,8,0.4452653372561839,0.20418607854875895
7,anli_16_13,0.3,8,0.3711206896551724,0.35277647025417674
8,anli_16_13,0.2,8,0.4566193853427896,0.313137474579597
9,anli_16_13_best,0.5,8,0.4699925678186547,0.09712238544386016
10,anli_16_21,0.5,8,0.316624895572264,0.17316859320370817
11,anli_16_21,0.4,8,0.3468018931710615,0.21159992808377326
12,anli_16_21,0.3,8,0.4033631332481907,0.14680952345524703
13,anli_16_21,0.2,8,0.3672388076315145,0.09839188999991164
14,anli_16_21_best,0.3,8,0.4033631332481907,0.14680952345524703
15,anli_16_42,0.5,8,0.25102084676552755,0.17077198530263782
16,anli_16_42,0.4,8,0.4849206349206349,0.2400683016250158
17,anli_16_42,0.3,8,0.3731481481481482,0.14403870932368343
18,anli_16_42,0.2,8,0.41906873614190693,0.19846724676969693
19,anli_16_42_best,0.4,8,0.4849206349206349,0.2400683016250158
20,anli_16_87,0.5,8,0.4289155589968598,0.11215859529586163
21,anli_16_87,0.4,8,0.38950617283950617,0.2683953691178511
22,anli_16_87,0.3,8,0.38552188552188554,0.3222092789479712
23,anli_16_87,0.2,8,0.36291534110993284,0.30833684847111303
24,anli_16_87_best,0.5,8,0.4289155589968598,0.11215859529586163
