,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.04568833166456256,0.03941476260400863
1,dbpedia_14_16_100,0.4,8,0.9646166237756099,0.5523426552165959
2,dbpedia_14_16_100,0.3,8,0.9462988125273368,0.3958817646322715
3,dbpedia_14_16_100,0.2,8,0.8195511988606746,0.3927361291941113
4,dbpedia_14_16_100_best,0.4,8,0.9646166237756099,0.5523426552165959
5,dbpedia_14_16_13,0.5,8,0.9730205278592374,0.5708967453193384
6,dbpedia_14_16_13,0.4,8,0.9554087617451673,0.7906987632573859
7,dbpedia_14_16_13,0.3,8,0.9186090324712488,0.516115612298006
8,dbpedia_14_16_13,0.2,8,0.9414308098606011,0.637128364631676
9,dbpedia_14_16_13_best,0.5,8,0.9730205278592374,0.5708967453193384
10,dbpedia_14_16_21,0.5,8,0.9645357263139859,0.6270717067115955
11,dbpedia_14_16_21,0.4,8,0.915743912165885,0.5254983956019071
12,dbpedia_14_16_21,0.3,8,0.8883784100150323,0.44561363500669854
13,dbpedia_14_16_21,0.2,8,0.8593915415516213,0.45235355548366596
14,dbpedia_14_16_21_best,0.5,8,0.9645357263139859,0.6270717067115955
15,dbpedia_14_16_42,0.5,8,0.9866027789414886,0.5223057283772232
16,dbpedia_14_16_42,0.4,8,0.9015426792957383,0.3820252701785925
17,dbpedia_14_16_42,0.3,8,0.9012468148465047,0.6417061593726163
18,dbpedia_14_16_42,0.2,8,0.8144177876120776,0.5204562235737535
19,dbpedia_14_16_42_best,0.5,8,0.9866027789414886,0.5223057283772232
20,dbpedia_14_16_87,0.5,8,0.9690379377557475,0.5771438395677329
21,dbpedia_14_16_87,0.4,8,0.9774768558449773,0.5845524425848574
22,dbpedia_14_16_87,0.3,8,0.9595241936900152,0.4676497691745784
23,dbpedia_14_16_87,0.2,8,0.9732891397028022,0.6063773485171188
24,dbpedia_14_16_87_best,0.4,8,0.9774768558449773,0.5845524425848574
