,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.761908656677354,0.2530649663645602
1,emo_16_100,0.4,8,0.7293948412698413,0.20390935460005227
2,emo_16_100,0.3,8,0.0,0.0
3,emo_16_100,0.2,8,0.7176134781397939,0.33456786551417467
4,emo_16_100_best,0.5,8,0.761908656677354,0.2530649663645602
5,emo_16_13,0.5,8,0.705448717948718,0.29042110643879665
6,emo_16_13,0.4,8,0.6738095238095239,0.201668123716036
7,emo_16_13,0.3,8,0.7763573232323232,0.24947396221510335
8,emo_16_13,0.2,8,0.628027378027378,0.3482672792591976
9,emo_16_13_best,0.3,8,0.7763573232323232,0.24947396221510335
10,emo_16_21,0.5,8,0.7488530668677729,0.39696243311422963
11,emo_16_21,0.4,8,0.747259118701244,0.3691317128312531
12,emo_16_21,0.3,8,0.7318014705882353,0.28111361443384264
13,emo_16_21,0.2,8,0.7636849606613806,0.4638090184615515
14,emo_16_21_best,0.2,8,0.7636849606613806,0.4638090184615515
15,emo_16_42,0.5,8,0.7237067983438219,0.26986174430673965
16,emo_16_42,0.4,8,0.6933458378691645,0.33290717128840874
17,emo_16_42,0.3,8,0.7149976565861453,0.43165340428220306
18,emo_16_42,0.2,8,0.628906955736224,0.3631340472735185
19,emo_16_42_best,0.5,8,0.7237067983438219,0.26986174430673965
20,emo_16_87,0.5,8,0.7786585015237768,0.5439438445845611
21,emo_16_87,0.4,8,0.7457208927797163,0.15542408855152712
22,emo_16_87,0.3,8,0.7751277272968041,0.4074195859958414
23,emo_16_87,0.2,8,0.7704650673400674,0.41314744943622894
24,emo_16_87_best,0.5,8,0.7786585015237768,0.5439438445845611
