,prefix,lr,bsz,dev_performance,test_performance
0,ethos-race_16_100,0.5,8,0.906158357771261,0.7643188854489165
1,ethos-race_16_100,0.4,8,0.7184750733137829,0.49306326304106546
2,ethos-race_16_100,0.3,8,0.8398398398398398,0.4912280701754386
3,ethos-race_16_100,0.2,8,0.9054187192118226,0.7441176470588236
4,ethos-race_16_100_best,0.5,8,0.906158357771261,0.7643188854489165
5,ethos-race_16_13,0.5,8,0.5844155844155844,0.44936708860759494
6,ethos-race_16_13,0.4,8,0.8398398398398398,0.0
7,ethos-race_16_13,0.3,8,0.8095238095238095,0.4827586206896552
8,ethos-race_16_13,0.2,8,0.9375,0.6532759445241512
9,ethos-race_16_13_best,0.2,8,0.9375,0.6532759445241512
10,ethos-race_16_21,0.5,8,0.7810361681329424,0.7635869565217391
11,ethos-race_16_21,0.4,8,0.6235294117647059,0.4076797385620915
12,ethos-race_16_21,0.3,8,0.5607843137254902,0.41414141414141414
13,ethos-race_16_21,0.2,8,0.8435972629521017,0.7548309178743962
14,ethos-race_16_21_best,0.2,8,0.8435972629521017,0.7548309178743962
15,ethos-race_16_42,0.5,8,0.75,0.6497584541062803
16,ethos-race_16_42,0.4,8,0.6945917285259808,0.4236751152073733
17,ethos-race_16_42,0.3,8,0.6536796536796536,0.41491228070175445
18,ethos-race_16_42,0.2,8,0.8095238095238095,0.634965034965035
19,ethos-race_16_42_best,0.2,8,0.8095238095238095,0.634965034965035
20,ethos-race_16_87,0.5,8,0.7408906882591093,0.879857960149931
21,ethos-race_16_87,0.4,8,0.6389743589743591,0.8317214700193423
22,ethos-race_16_87,0.3,8,0.6666666666666667,0.7727611940298507
23,ethos-race_16_87,0.2,8,0.6761133603238867,0.8112053659498915
24,ethos-race_16_87_best,0.5,8,0.7408906882591093,0.879857960149931
