,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.9375,0.9058441558441558
1,ethos-religion_16_100,0.4,8,0.3333333333333333,0.43137254901960786
2,ethos-religion_16_100,0.3,8,0.9375,0.9350746268656716
3,ethos-religion_16_100,0.2,8,0.8423645320197044,0.9326625386996904
4,ethos-religion_16_100_best,0.5,8,0.9375,0.9058441558441558
5,ethos-religion_16_13,0.5,8,0.6945917285259808,0.4387096774193549
6,ethos-religion_16_13,0.4,8,0.8745098039215686,0.8390544707091471
7,ethos-religion_16_13,0.3,8,0.8745098039215686,0.856409315972859
8,ethos-religion_16_13,0.2,8,0.9054187192118226,0.8744588744588745
9,ethos-religion_16_13_best,0.2,8,0.9054187192118226,0.8744588744588745
10,ethos-religion_16_21,0.5,8,0.9372549019607843,0.8105210252973697
11,ethos-religion_16_21,0.4,8,0.9372549019607843,0.8883183568677793
12,ethos-religion_16_21,0.3,8,0.9375,0.9058441558441558
13,ethos-religion_16_21,0.2,8,0.9372549019607843,0.879857960149931
14,ethos-religion_16_21_best,0.3,8,0.9375,0.9058441558441558
15,ethos-religion_16_42,0.5,8,0.8423645320197044,0.9026119402985076
16,ethos-religion_16_42,0.4,8,0.875,0.8918870939108823
17,ethos-religion_16_42,0.3,8,0.9687194525904204,0.8918870939108823
18,ethos-religion_16_42,0.2,8,0.8435972629521017,0.8883183568677793
19,ethos-religion_16_42_best,0.3,8,0.9687194525904204,0.8918870939108823
20,ethos-religion_16_87,0.5,8,0.9687194525904204,0.9026119402985076
21,ethos-religion_16_87,0.4,8,0.9687194525904204,0.8561507936507936
22,ethos-religion_16_87,0.3,8,0.9687194525904204,0.8950904392764858
23,ethos-religion_16_87,0.2,8,0.906158357771261,0.8376865671641792
24,ethos-religion_16_87_best,0.5,8,0.9687194525904204,0.9026119402985076
