,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.5625,0.2857142857142857
1,superglue-cb_16_100,0.4,8,0.8125,0.44642857142857145
2,superglue-cb_16_100,0.3,8,0.78125,0.5892857142857143
3,superglue-cb_16_100,0.2,8,0.75,0.5357142857142857
4,superglue-cb_16_100_best,0.4,8,0.8125,0.44642857142857145
5,superglue-cb_16_13,0.5,8,0.65625,0.4642857142857143
6,superglue-cb_16_13,0.4,8,0.5,0.4107142857142857
7,superglue-cb_16_13,0.3,8,0.75,0.625
8,superglue-cb_16_13,0.2,8,0.625,0.39285714285714285
9,superglue-cb_16_13_best,0.3,8,0.75,0.625
10,superglue-cb_16_21,0.5,8,0.84375,0.625
11,superglue-cb_16_21,0.4,8,0.84375,0.5535714285714286
12,superglue-cb_16_21,0.3,8,0.8125,0.6785714285714286
13,superglue-cb_16_21,0.2,8,0.84375,0.44642857142857145
14,superglue-cb_16_21_best,0.5,8,0.84375,0.625
15,superglue-cb_16_42,0.5,8,0.5,0.2857142857142857
16,superglue-cb_16_42,0.4,8,0.6875,0.5892857142857143
17,superglue-cb_16_42,0.3,8,0.6875,0.6785714285714286
18,superglue-cb_16_42,0.2,8,0.625,0.5178571428571429
19,superglue-cb_16_42_best,0.4,8,0.6875,0.5892857142857143
20,superglue-cb_16_87,0.5,8,0.625,0.5178571428571429
21,superglue-cb_16_87,0.4,8,0.65625,0.26785714285714285
22,superglue-cb_16_87,0.3,8,0.71875,0.5535714285714286
23,superglue-cb_16_87,0.2,8,0.75,0.4107142857142857
24,superglue-cb_16_87_best,0.2,8,0.75,0.4107142857142857
