,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.3575498575498575,0.13411280270796513
1,tab_fact_16_100,0.4,8,0.46843853820598,0.33047210300429186
2,tab_fact_16_100,0.3,8,0.7793103448275862,0.5010663338883549
3,tab_fact_16_100,0.2,8,0.6235294117647059,0.16775479832715207
4,tab_fact_16_100_best,0.3,8,0.7793103448275862,0.5010663338883549
5,tab_fact_16_13,0.5,8,0.5901477832512315,0.3307451502418478
6,tab_fact_16_13,0.4,8,0.6559139784946237,0.1210831973139127
7,tab_fact_16_13,0.3,8,0.6559139784946237,0.15876759540260924
8,tab_fact_16_13,0.2,8,0.4980392156862745,0.32366561707564
9,tab_fact_16_13_best,0.4,8,0.6559139784946237,0.1210831973139127
10,tab_fact_16_21,0.5,8,0.3333333333333333,0.0
11,tab_fact_16_21,0.4,8,0.4458874458874459,0.016714413339329406
12,tab_fact_16_21,0.3,8,0.6101882613510521,0.00022485513752556777
13,tab_fact_16_21,0.2,8,0.4682306940371457,0.33135431449826847
14,tab_fact_16_21_best,0.3,8,0.6101882613510521,0.00022485513752556777
15,tab_fact_16_42,0.5,8,0.5307917888563051,0.4976559813002923
16,tab_fact_16_42,0.4,8,0.3333333333333333,0.0029235144970720223
17,tab_fact_16_42,0.3,8,0.5333333333333333,0.24848847333957624
18,tab_fact_16_42,0.2,8,0.6000000000000001,0.25171783011620796
19,tab_fact_16_42_best,0.2,8,0.6000000000000001,0.25171783011620796
20,tab_fact_16_87,0.5,8,0.5933528836754642,0.24609532165894213
21,tab_fact_16_87,0.4,8,0.5607843137254902,0.09241695365765998
22,tab_fact_16_87,0.3,8,0.6825396825396826,0.4986250751827882
23,tab_fact_16_87,0.2,8,0.6389743589743591,0.33198187726287304
24,tab_fact_16_87_best,0.3,8,0.6825396825396826,0.4986250751827882
