,prefix,lr,bsz,dev_performance,test_performance
0,yelp_polarity_16_100,0.5,8,1.0,0.9354984380714685
1,yelp_polarity_16_100,0.4,8,0.9687194525904204,0.07904534096810789
2,yelp_polarity_16_100,0.3,8,0.8125,0.8192980052979218
3,yelp_polarity_16_100,0.2,8,0.9375,0.8476669600492093
4,yelp_polarity_16_100_best,0.5,8,1.0,0.9354984380714685
5,yelp_polarity_16_13,0.5,8,0.7490196078431373,0.6376136541241315
6,yelp_polarity_16_13,0.4,8,0.6113360323886641,0.47887946130790526
7,yelp_polarity_16_13,0.3,8,0.6825396825396826,0.5399867009359607
8,yelp_polarity_16_13,0.2,8,0.8095238095238095,0.8223488980389191
9,yelp_polarity_16_13_best,0.2,8,0.8095238095238095,0.8223488980389191
10,yelp_polarity_16_21,0.5,8,0.906158357771261,0.3409971196014199
11,yelp_polarity_16_21,0.4,8,0.9372549019607843,0.8682786162481295
12,yelp_polarity_16_21,0.3,8,0.8435972629521017,0.5340677639120649
13,yelp_polarity_16_21,0.2,8,0.8745098039215686,0.8508808549720297
14,yelp_polarity_16_21_best,0.4,8,0.9372549019607843,0.8682786162481295
15,yelp_polarity_16_42,0.5,8,0.8423645320197044,0.780309324318212
16,yelp_polarity_16_42,0.4,8,0.7333333333333334,0.0
17,yelp_polarity_16_42,0.3,8,0.6476476476476476,0.6279495290598216
18,yelp_polarity_16_42,0.2,8,0.7810361681329424,0.5083428175573056
19,yelp_polarity_16_42_best,0.5,8,0.8423645320197044,0.780309324318212
20,yelp_polarity_16_87,0.5,8,0.7490196078431373,0.6654772957034424
21,yelp_polarity_16_87,0.4,8,0.8745098039215686,0.34244010666568775
22,yelp_polarity_16_87,0.3,8,0.9375,0.8056828902762166
23,yelp_polarity_16_87,0.2,8,0.8125,0.5759700043201336
24,yelp_polarity_16_87_best,0.3,8,0.9375,0.8056828902762166
