,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.7537314269694422,0.33245963406173784
1,emo_16_100,0.4,8,0.7498788845563039,0.3239814704286255
2,emo_16_100,0.3,8,0.733973089468779,0.310295641697495
3,emo_16_100,0.2,8,0.7498559907834101,0.3417333603978749
4,emo_16_100_best,0.5,8,0.7537314269694422,0.33245963406173784
5,emo_16_13,0.5,8,0.8413752913752913,0.11213086319655437
6,emo_16_13,0.4,8,0.780278488206877,0.10579426919390328
7,emo_16_13,0.3,8,0.873662068174719,0.08436739427678028
8,emo_16_13,0.2,8,0.7916666666666666,0.3833512756264965
9,emo_16_13_best,0.3,8,0.873662068174719,0.08436739427678028
10,emo_16_21,0.5,8,0.7566353354166154,0.13723549291062317
11,emo_16_21,0.4,8,0.8025244495832732,0.11567056899723996
12,emo_16_21,0.3,8,0.7877027027027027,0.2443444776060689
13,emo_16_21,0.2,8,0.7653439153439152,0.1637805452145416
14,emo_16_21_best,0.4,8,0.8025244495832732,0.11567056899723996
15,emo_16_42,0.5,8,0.7967741935483871,0.168288337674344
16,emo_16_42,0.4,8,0.8265533486121722,0.1467817068229894
17,emo_16_42,0.3,8,0.7327787155373362,0.25728205394361064
18,emo_16_42,0.2,8,0.7372722997722998,0.14450394117263018
19,emo_16_42_best,0.4,8,0.8265533486121722,0.1467817068229894
20,emo_16_87,0.5,8,0.8165584415584416,0.37160201777480717
21,emo_16_87,0.4,8,0.7818362193362194,0.13829649375604028
22,emo_16_87,0.3,8,0.7746723996723998,0.3006027051668499
23,emo_16_87,0.2,8,0.7218253968253968,0.4105259736672074
24,emo_16_87_best,0.5,8,0.8165584415584416,0.37160201777480717
