,prefix,lr,bsz,dev_performance,test_performance
0,dbpedia_14_16_100,0.5,8,0.3952647899862215,0.3192215004932146
1,dbpedia_14_16_100,0.4,8,0.11498029508593534,0.08025207598044115
2,dbpedia_14_16_100,0.3,8,0.1245345068987809,0.1187355508716266
3,dbpedia_14_16_100,0.2,8,0.05282334260649523,0.026080949988889202
4,dbpedia_14_16_100_best,0.5,8,0.3952647899862215,0.3192215004932146
5,dbpedia_14_16_13,0.5,8,0.060031803579098666,0.010601200001071525
6,dbpedia_14_16_13,0.4,8,0.066307911535387,0.016044697001440494
7,dbpedia_14_16_13,0.3,8,0.11475159985029049,0.060856417022197344
8,dbpedia_14_16_13,0.2,8,0.056913863278115144,0.029997895534535614
9,dbpedia_14_16_13_best,0.3,8,0.11475159985029049,0.060856417022197344
10,dbpedia_14_16_21,0.5,8,0.1746100375231241,0.1394210518472774
11,dbpedia_14_16_21,0.4,8,0.09128023537141387,0.04810263099986528
12,dbpedia_14_16_21,0.3,8,0.05581797664292635,0.0402732922290327
13,dbpedia_14_16_21,0.2,8,0.0445169970822337,0.02022454943077747
14,dbpedia_14_16_21_best,0.5,8,0.1746100375231241,0.1394210518472774
15,dbpedia_14_16_42,0.5,8,0.08242901746991259,0.012025883515299303
16,dbpedia_14_16_42,0.4,8,0.16868017576963074,0.07841842630528417
17,dbpedia_14_16_42,0.3,8,0.05851316603196303,0.02453195594723706
18,dbpedia_14_16_42,0.2,8,0.0552718062260047,0.018247439487849383
19,dbpedia_14_16_42_best,0.4,8,0.16868017576963074,0.07841842630528417
20,dbpedia_14_16_87,0.5,8,0.07346803058325077,0.017445121297461487
21,dbpedia_14_16_87,0.4,8,0.0901874136374937,0.06054021125330055
22,dbpedia_14_16_87,0.3,8,0.061464262142871484,0.0346654571503911
23,dbpedia_14_16_87,0.2,8,0.05457669787448294,0.027175661431532258
24,dbpedia_14_16_87_best,0.4,8,0.0901874136374937,0.06054021125330055
