,prefix,lr,bsz,dev_performance,test_performance
0,emo_16_100,0.5,8,0.2505484861781483,0.04729741568112133
1,emo_16_100,0.4,8,0.2277777777777778,0.043761291883696464
2,emo_16_100,0.3,8,0.23552022689953725,0.03427363395026725
3,emo_16_100,0.2,8,0.217858709960509,0.03393767675257918
4,emo_16_100_best,0.5,8,0.2505484861781483,0.04729741568112133
5,emo_16_13,0.5,8,0.23076923076923078,0.04012249342932043
6,emo_16_13,0.4,8,0.2897623608830505,0.03154834166311928
7,emo_16_13,0.3,8,0.20853462157809982,0.03167854221146765
8,emo_16_13,0.2,8,0.21743697478991597,0.03826613080547574
9,emo_16_13_best,0.4,8,0.2897623608830505,0.03154834166311928
10,emo_16_21,0.5,8,0.23392857142857143,0.04740650656882946
11,emo_16_21,0.4,8,0.23446115288220554,0.0337088983910494
12,emo_16_21,0.3,8,0.2300653594771242,0.048775773564390404
13,emo_16_21,0.2,8,0.22478991596638653,0.0428240268843188
14,emo_16_21_best,0.4,8,0.23446115288220554,0.0337088983910494
15,emo_16_42,0.5,8,0.3629129129129129,0.06813091170116173
16,emo_16_42,0.4,8,0.21765734265734268,0.03324837737583468
17,emo_16_42,0.3,8,0.22004608294930872,0.04041940527737243
18,emo_16_42,0.2,8,0.1468058968058968,0.025658687790597552
19,emo_16_42_best,0.5,8,0.3629129129129129,0.06813091170116173
20,emo_16_87,0.5,8,0.2440667318162781,0.057998635256980235
21,emo_16_87,0.4,8,0.2120826259196378,0.027648234964029166
22,emo_16_87,0.3,8,0.19865392965696915,0.05534399999455197
23,emo_16_87,0.2,8,0.2091503267973856,0.04281145790239352
24,emo_16_87_best,0.5,8,0.2440667318162781,0.057998635256980235
