,prefix,lr,bsz,dev_performance,test_performance
0,ethos-religion_16_100,0.5,8,0.4920634920634921,0.48552754435107376
1,ethos-religion_16_100,0.4,8,0.6101882613510521,0.4596273291925466
2,ethos-religion_16_100,0.3,8,0.3333333333333333,0.4387096774193549
3,ethos-religion_16_100,0.2,8,0.3333333333333333,0.49155844155844153
4,ethos-religion_16_100_best,0.4,8,0.6101882613510521,0.4596273291925466
5,ethos-religion_16_13,0.5,8,0.5195195195195195,0.5171634121274409
6,ethos-religion_16_13,0.4,8,0.3816425120772947,0.4387096774193549
7,ethos-religion_16_13,0.3,8,0.3333333333333333,0.5396825396825398
8,ethos-religion_16_13,0.2,8,0.3992490613266583,0.5396825396825398
9,ethos-religion_16_13_best,0.5,8,0.5195195195195195,0.5171634121274409
10,ethos-religion_16_21,0.5,8,0.3992490613266583,0.6170774647887324
11,ethos-religion_16_21,0.4,8,0.3333333333333333,0.4387096774193549
12,ethos-religion_16_21,0.3,8,0.4909862142099682,0.4387096774193549
13,ethos-religion_16_21,0.2,8,0.4589371980676329,0.4387096774193549
14,ethos-religion_16_21_best,0.3,8,0.4909862142099682,0.4387096774193549
15,ethos-religion_16_42,0.5,8,0.5333333333333333,0.49155844155844153
16,ethos-religion_16_42,0.4,8,0.3992490613266583,0.4387096774193549
17,ethos-religion_16_42,0.3,8,0.4458874458874459,0.4796650717703349
18,ethos-religion_16_42,0.2,8,0.4589371980676329,0.5741433918802189
19,ethos-religion_16_42_best,0.5,8,0.5333333333333333,0.49155844155844153
20,ethos-religion_16_87,0.5,8,0.46843853820598,0.49155844155844153
21,ethos-religion_16_87,0.4,8,0.4181818181818182,0.4350649350649351
22,ethos-religion_16_87,0.3,8,0.5134502923976608,0.5316985645933014
23,ethos-religion_16_87,0.2,8,0.4589371980676329,0.49155844155844153
24,ethos-religion_16_87_best,0.3,8,0.5134502923976608,0.5316985645933014
