,prefix,lr,bsz,dev_performance,test_performance
0,superglue-cb_16_100,0.5,8,0.53125,0.5178571428571429
1,superglue-cb_16_100,0.4,8,0.5,0.23214285714285715
2,superglue-cb_16_100,0.3,8,0.5,0.08928571428571429
3,superglue-cb_16_100,0.2,8,0.5,0.5
4,superglue-cb_16_100_best,0.5,8,0.53125,0.5178571428571429
5,superglue-cb_16_13,0.5,8,0.28125,0.125
6,superglue-cb_16_13,0.4,8,0.25,0.08928571428571429
7,superglue-cb_16_13,0.3,8,0.5,0.35714285714285715
8,superglue-cb_16_13,0.2,8,0.5,0.10714285714285714
9,superglue-cb_16_13_best,0.3,8,0.5,0.35714285714285715
10,superglue-cb_16_21,0.5,8,0.5625,0.10714285714285714
11,superglue-cb_16_21,0.4,8,0.65625,0.08928571428571429
12,superglue-cb_16_21,0.3,8,0.4375,0.08928571428571429
13,superglue-cb_16_21,0.2,8,0.5,0.08928571428571429
14,superglue-cb_16_21_best,0.4,8,0.65625,0.08928571428571429
15,superglue-cb_16_42,0.5,8,0.46875,0.19642857142857142
16,superglue-cb_16_42,0.4,8,0.5,0.17857142857142858
17,superglue-cb_16_42,0.3,8,0.5,0.10714285714285714
18,superglue-cb_16_42,0.2,8,0.0625,0.08928571428571429
19,superglue-cb_16_42_best,0.4,8,0.5,0.17857142857142858
20,superglue-cb_16_87,0.5,8,0.5,0.4642857142857143
21,superglue-cb_16_87,0.4,8,0.53125,0.4642857142857143
22,superglue-cb_16_87,0.3,8,0.5,0.26785714285714285
23,superglue-cb_16_87,0.2,8,0.09375,0.10714285714285714
24,superglue-cb_16_87_best,0.4,8,0.53125,0.4642857142857143
