,prefix,lr,bsz,dev_performance,test_performance
0,tab_fact_16_100,0.5,8,0.3333333333333333,0.33047210300429186
1,tab_fact_16_100,0.4,8,0.3333333333333333,0.33047210300429186
2,tab_fact_16_100,0.3,8,0.46843853820598,0.3311539798652483
3,tab_fact_16_100,0.2,8,0.3333333333333333,0.33047210300429186
4,tab_fact_16_100_best,0.3,8,0.46843853820598,0.3311539798652483
5,tab_fact_16_13,0.5,8,0.3333333333333333,0.33047210300429186
6,tab_fact_16_13,0.4,8,0.3333333333333333,0.33047210300429186
7,tab_fact_16_13,0.3,8,0.3333333333333333,0.33047210300429186
8,tab_fact_16_13,0.2,8,0.3333333333333333,0.33047210300429186
9,tab_fact_16_13_best,0.5,8,0.3333333333333333,0.33047210300429186
10,tab_fact_16_21,0.5,8,0.3333333333333333,0.33047210300429186
11,tab_fact_16_21,0.4,8,0.3992490613266583,0.33047210300429186
12,tab_fact_16_21,0.3,8,0.3333333333333333,0.33047210300429186
13,tab_fact_16_21,0.2,8,0.5151515151515151,0.3349734394132839
14,tab_fact_16_21_best,0.2,8,0.5151515151515151,0.3349734394132839
15,tab_fact_16_42,0.5,8,0.3333333333333333,0.33047210300429186
16,tab_fact_16_42,0.4,8,0.3333333333333333,0.33047210300429186
17,tab_fact_16_42,0.3,8,0.3333333333333333,0.33047210300429186
18,tab_fact_16_42,0.2,8,0.39139139139139134,0.3373174086208301
19,tab_fact_16_42_best,0.2,8,0.39139139139139134,0.3373174086208301
20,tab_fact_16_87,0.5,8,0.4458874458874459,0.33047210300429186
21,tab_fact_16_87,0.4,8,0.3333333333333333,0.3306437454867474
22,tab_fact_16_87,0.3,8,0.3333333333333333,0.33047210300429186
23,tab_fact_16_87,0.2,8,0.3992490613266583,0.33724740154282734
24,tab_fact_16_87_best,0.5,8,0.4458874458874459,0.33047210300429186
