,prefix,lr,bsz,dev_performance,test_performance
0,wiki_qa_16_100,0.5,8,0.3333333333333333,0.4867605633802817
1,wiki_qa_16_100,0.4,8,0.3333333333333333,0.486664162283997
2,wiki_qa_16_100,0.3,8,0.3333333333333333,0.48685692827638
3,wiki_qa_16_100,0.2,8,0.3333333333333333,0.48685692827638
4,wiki_qa_16_100_best,0.5,8,0.3333333333333333,0.4867605633802817
5,wiki_qa_16_13,0.5,8,0.6666666666666667,0.48685692827638
6,wiki_qa_16_13,0.4,8,0.4589371980676329,0.48685692827638
7,wiki_qa_16_13,0.3,8,0.3333333333333333,0.4867605633802817
8,wiki_qa_16_13,0.2,8,0.3333333333333333,0.48685692827638
9,wiki_qa_16_13_best,0.5,8,0.6666666666666667,0.48685692827638
10,wiki_qa_16_21,0.5,8,0.43529411764705883,0.5023654117045151
11,wiki_qa_16_21,0.4,8,0.539313399778516,0.49060508740621206
12,wiki_qa_16_21,0.3,8,0.3333333333333333,0.48685692827638
13,wiki_qa_16_21,0.2,8,0.3992490613266583,0.49404055538907204
14,wiki_qa_16_21_best,0.4,8,0.539313399778516,0.49060508740621206
15,wiki_qa_16_42,0.5,8,0.4181818181818182,0.48685692827638
16,wiki_qa_16_42,0.4,8,0.5844155844155844,0.48656772496712375
17,wiki_qa_16_42,0.3,8,0.3333333333333333,0.48685692827638
18,wiki_qa_16_42,0.2,8,0.3333333333333333,0.48685692827638
19,wiki_qa_16_42_best,0.4,8,0.5844155844155844,0.48656772496712375
20,wiki_qa_16_87,0.5,8,0.4589371980676329,0.4843396226415094
21,wiki_qa_16_87,0.4,8,0.3333333333333333,0.48685692827638
22,wiki_qa_16_87,0.3,8,0.3333333333333333,0.48685692827638
23,wiki_qa_16_87,0.2,8,0.3333333333333333,0.48685692827638
24,wiki_qa_16_87_best,0.5,8,0.4589371980676329,0.4843396226415094
